slug,name,centre_slug,grade,distance_km,climb_m,descent_m,time_mins,surface,drainage,features,family_friendly,ebike_ok,strava_segment,description
50-to-01,50 to 01,bikepark-wales,orange,1.8,0,300,8,machine-built,excellent,"massive-jumps,pro-line",false,false,,"Pro-level jump line. Huge gaps and mandatory air time. Competition grade features."
blue-velvet,Blue Velvet,antur-stiniog,blue,1.5,0,250,10,natural,moderate,"flow,forest,beginner-dh",true,true,,"Beginner-friendly downhill at Antur. Flowing through forest. Good intro to gravity riding."
cliffhanger,Cliffhanger,antur-stiniog,red,2.0,0,250,12,natural,moderate,"exposure,technical,slate",false,true,,"Technical red with slate features and exposure. Classic Antur terrain through quarry landscape."
ewok-village,Ewok Village,antur-stiniog,red,1.8,0,250,10,natural,moderate,"woods,roots,flow",false,true,,"Flowing red through ancient woodland. Roots and natural features. Fun and fast."
antur,Antur,antur-stiniog,black,2.5,0,250,10,natural,moderate,"steep,technical,slate",false,false,,"Flagship black run. Steep, technical, and fast through dramatic slate landscape. Proper challenge."
the-wall,The Wall,afan-forest,red,24.0,750,750,180,singletrack,moderate,"natural,technical,valley-views",false,true,,"Epic valley-side trail with big climbs and technical descents. Raw, natural feel. Classic Welsh trail."
blade,Blade,afan-forest,red,12.0,400,400,90,singletrack,good,"flow,jumps,modern",false,true,,"Modern addition to Afan. Flow-focused with optional jumps. Great fun on a hardtail."
penhydd,Penhydd,afan-forest,red,18.0,600,600,150,singletrack,moderate,"natural,remote,technical",false,true,,"Remote feeling trail through the valley. Natural terrain with technical sections."
whites-level,White's Level,afan-forest,blue,11.0,300,300,90,singletrack,good,"valley,forest,accessible",true,true,,"Most accessible Afan trail. Blue grade through beautiful valley scenery. Good for intermediates."
twrch,Twrch Trail,cwmcarn,red,17.0,550,550,120,singletrack,moderate,"technical,views,valley",false,true,,"Classic Welsh red through Cwmcarn forest. Technical climbs and fast descents with valley views."
cafall,Cafall Trail,cwmcarn,red,23.0,700,700,180,singletrack,moderate,"epic,natural,remote",false,true,,"Longer Cwmcarn option. Natural terrain, remote feeling, proper day out."
black-route,Black Route,llandegla,black,22.0,600,600,150,singletrack,excellent,"technical,all-weather,north-shore",false,true,,"Llandegla's toughest. Technical features, north shore, and challenging terrain. Excellent drainage."
red-route,Red Route,llandegla,red,18.0,450,450,120,singletrack,excellent,"flow,berms,all-weather",false,true,,"Well-built red with great flow. Excellent drainage means it rides well year-round. Popular for good reason."
blue-route,Blue Route,llandegla,blue,12.0,250,250,75,singletrack,excellent,"progression,flow,family",true,true,,"Perfect progression trail. Well-built with good flow. Family groups often ride together."
gwydir-mawr,Gwydir Mawr (Marin Trail),gwydir-forest,red,25.0,800,800,180,natural,moderate,"epic-views,technical,natural,snowdonia",false,true,,"Proper mountain bike trail through Snowdonia. Big climbs on forest roads, all descents on sweetest singletrack. Tight technical to open flowing. Exposed ridgelines and dark forest."
gwydir-bach,Gwydir Bach,gwydir-forest,red,8.7,250,250,60,natural,moderate,"shorter,introduction,snowdonia",false,true,,"Shorter version of Marin Trail. 45-90 mins. Good introduction to natural Snowdonia riding."
syfydrin,Syfydrin,nant-yr-arian,red,19.0,500,500,150,singletrack,moderate,"views,technical,red-kites",false,true,,"Technical red with stunning views. Red kites soaring overhead. Remote mid-Wales atmosphere."
summit,Summit Trail,nant-yr-arian,red,35.0,900,900,240,singletrack,moderate,"epic,endurance,remote",false,false,,"Serious day out. Big climbing, remote terrain, proper Welsh adventure. Pack food and spares."
pendam,Pendam,nant-yr-arian,blue,9.0,200,200,60,singletrack,good,"accessible,views,family",true,true,,"Accessible blue with great views. Good for families wanting something beyond green."
