slug,name,region,lat,lon,facilities,price_from,near_spots,dog_allowed,open_season,description
beddgelert-campsite,Beddgelert Campsite,snowdonia,53.0200,-4.1100,toilets|showers|shop|laundry,15,Beddgelert|Aberglaslyn Pass,Yes,Apr-Oct,"Forestry England site in Beddgelert Forest. Station for Welsh Highland Railway."
dolgam-campsite,Dolgam Campsite,snowdonia,53.0900,-3.9400,toilets|showers|farm-shop,10,Moel Siabod|Plas y Brenin|Capel Curig,Yes,Apr-Oct,"Riverside camping in Capel Curig with views of Moel Siabod."
shell-island,Shell Island,snowdonia,52.8200,-4.1400,toilets|showers|shops|restaurant,10,Harlech Beach|Mochras,Yes,Apr-Oct,"Massive coastal site, tidal access. Great for families and groups."
llechwedd-glamping,Llechwedd Glamping,snowdonia,52.9960,-3.9400,ensuite|kitchenette|decking,100,Zip World Llechwedd|Antur Stiniog,Yes,Apr-Oct,"Luxury glamping overlooking the slate quarries and Zip World."
graig-wen,Graig Wen,snowdonia,52.7300,-3.9600,toilets|showers|shop,20,Mawddach Trail|Cadair Idris|Barmouth,Yes,Apr-Oct,"Award-winning site near the Mawddach Estuary. Glamping and camping."
caerfai-bay-caravan-and-tent-park,Caerfai Bay Caravan & Tent Park,pembrokeshire,51.8750,-5.2600,toilets|showers|shop,18,St Davids|Caerfai Bay|Pembrokeshire Coast Path,Yes,Apr-Oct,"Overlooking Caerfai Bay, walking distance to St Davids."
celtic-camping,Celtic Camping,pembrokeshire,51.9400,-5.1900,toilets|showers|bunkhouse|charging,12,Abereiddy|Blue Lagoon|Porthgain,Yes,Apr-Oct,"Large, relaxed site near the Blue Lagoon. Rustic vibe."
trellyn-woodland-camping,Trellyn Woodland Camping,pembrokeshire,51.9500,-5.1000,toilets|showers|campfires|sauna,25,Abercastle|Strumble Head,Yes,Apr-Oct,"Peaceful woodland camping near Abercastle. Campfires allowed."
porthclais-campsite,Porthclais Campsite,pembrokeshire,51.8700,-5.2800,toilets|showers|shop,15,Porthclais Harbour|St Davids,Yes,Apr-Oct,"Rugged coastal site next to the harbour. Climber favourite."
hungerford-farm,Hungerford Farm,pembrokeshire,51.7000,-4.8000,toilets|showers|dog-walk,15,Narberth|Oakwood,Yes,Apr-Oct,"Quiet site near Narberth, good base for south Pembrokeshire."
freshwater-east-caravan-club,Freshwater East Caravan Club,pembrokeshire,51.6500,-4.8600,toilets|showers|laundry,20,Freshwater East|Stackpole,Yes,Apr-Oct,"Reliable facilities near the beach."
buckspool-farm,Buckspool Farm,pembrokeshire,51.6100,-4.9300,toilets|showers,12,Barafundle Bay|Bosherston Lily Ponds|Broad Haven South,Yes,Apr-Oct,"Closest camping to Barafundle Bay and Bosherston."
pencelli-castle-caravan-and-camping-park,Pencelli Castle Caravan & Camping Park,brecon-beacons,51.9100,-3.3200,toilets|showers|shop|drying-room,20,Brecon|Talybont Reservoir|Pen y Fan,Yes,Apr-Oct,"High-quality facilities in a historic setting near Brecon."
priory-mill-farm,Priory Mill Farm,brecon-beacons,51.9500,-3.3800,toilets|showers,15,Brecon|River Honddu,Yes,Apr-Oct,"Riverside camping near Brecon town. Quiet and scenic."
cwmdu-campsite,Cwmdu Campsite,brecon-beacons,51.9000,-3.1800,toilets|showers|shop,18,Crickhowell|Black Mountains|Tretower,Yes,Apr-Oct,"Peaceful site in the Black Mountains."
riverside-caravan-park,Riverside Caravan Park,brecon-beacons,51.9400,-3.3900,toilets|showers|laundry,20,Brecon|Canal,Yes,Apr-Oct,"Central Brecon location, river access."
cantref-camping,Cantref Camping,brecon-beacons,51.9200,-3.3500,toilets|showers|adventure-farm,15,Pen y Fan|Brecon,Yes,Apr-Oct,"Part of the adventure farm, great for families."
aberbran-fawr,Aberbran Fawr,brecon-beacons,51.9500,-3.4500,toilets|showers,12,Brecon|National Park Visitor Centre,Yes,Apr-Oct,"Farm camping near Brecon. Pick your own fruit nearby."
hillend-camping,Hillend Camping,gower,51.5970,-4.2680,toilets|showers|shop|cafe,25,Llangennith Beach|Rhossili Down,Yes,Apr-Oct,"Famous dunes campsite right on Llangennith beach."
nicholaston-farm,Nicholaston Farm,gower,51.5700,-4.1200,toilets|showers|farm-shop,20,Three Cliffs Bay|Oxwich Bay,Yes,Apr-Oct,"Overlooking Three Cliffs Bay/Tor Bay. Farm shop on site."
skysea-caravan-and-camping,Skysea Caravan & Camping,gower,51.5450,-4.2100,toilets|showers|shop,20,Port Eynon|Horton,Yes,Apr-Oct,"Beachfront at Port Eynon."
bank-farm,Bank Farm,gower,51.5500,-4.2200,toilets|showers|pool|clubhouse,20,Horton Beach|Port Eynon,Yes,Apr-Oct,"Horton, Gower. Pool and clubhouse."
fforest-fields,Fforest Fields,mid-wales,52.1700,-3.3100,toilets|showers|lakes|cafe,18,Builth Wells|Elan Valley,Yes,Apr-Oct,"Award-winning site in the Hundred House valley. Lakes and trails."
elan-oaks,Elan Oaks,mid-wales,52.2700,-3.5800,toilets|showers,20,Elan Valley Trail|Reservoirs,Yes,Apr-Oct,"Located within the Elan Valley estate. Direct cycle path access."
wyeside-camping,Wyeside Camping,mid-wales,52.3000,-3.5100,toilets|showers,15,Rhayader|River Wye|Elan Valley,Yes,Apr-Oct,"Riverside camping in Rhayader. Walk to town."
llwyngwern-farm,Llwyngwern Farm,mid-wales,52.6100,-3.8300,toilets|showers,12,Machynlleth|Dyfi Bike Park|CAT,Yes,Apr-Oct,"Near Machynlleth and Centre for Alternative Technology."
clarach-bay-holiday-village,Clarach Bay Holiday Village,mid-wales,52.4300,-4.0800,toilets|showers|entertainment|pool,20,Clarach Bay|Aberystwyth,Yes,Apr-Oct,"Beachfront holiday park near Aberystwyth."
shoreside-caravan-and-camping-park,Shoreside Caravan & Camping Park,anglesey,53.2300,-4.5200,toilets|showers|tennis,20,Rhosneigr Beach|RAF Valley,Yes,Apr-Oct,"Right in Rhosneigr, close to the beach."
pen-y-bont,Pen-y-Bont,anglesey,53.2500,-4.5500,toilets|showers,15,Rhosneigr|Llyn Maelog,Yes,Apr-Oct,"Near Rhosneigr, peaceful setting."
kingsbridge-caravan-park,Kingsbridge Caravan Park,anglesey,53.2800,-4.0800,toilets|showers,20,Beaumaris|Menai Strait,Yes,Apr-Oct,"Near Beaumaris and Menai Bridge."
home-farm-caravan-park,Home Farm Caravan Park,anglesey,53.3300,-4.2500,toilets|showers|pool|play-area,25,Moelfre|Lligwy Beach,Yes,Apr-Oct,"5-star park near Marianglas."
tyddyn-isaf,Tyddyn Isaf,anglesey,53.3600,-4.2700,toilets|showers|shop|takeaway,25,Lligwy Bay|Coastal Path,Yes,Apr-Oct,"Overlooking Lligwy Bay. Private beach path."
aberafon-camping,Aberafon Camping,llyn-peninsula,53.0100,-4.4100,toilets|showers|beach-access,15,Gyrn Goch|Rivals,Yes,Apr-Oct,"Beachfront site with private beach access. Gyrn Goch."
tyddyn-mawr-porth-iago,Tyddyn Mawr (Porth Iago),llyn-peninsula,52.8500,-4.7000,toilets|showers,15,Porth Iago|Whistling Sands,Yes,Apr-Oct,"Famous campsite just above Porth Iago beach."
dwyros-campsite,Dwyros Campsite,llyn-peninsula,52.8000,-4.7200,toilets|showers,15,Aberdaron|Bardsey Island,Yes,Apr-Oct,"Overlooking Aberdaron bay. Simple and scenic."
tyn-y-mur,Tyn-y-Mur,llyn-peninsula,52.8200,-4.5000,toilets|showers,20,Abersoch|Hell's Mouth,Yes,Apr-Oct,"Overlooking Abersoch and Hells Mouth."
bolmynydd-camping-park,Bolmynydd Camping Park,llyn-peninsula,52.8500,-4.4700,toilets|showers|wifi,20,Llanbedrog|Abersoch,Yes,Apr-Oct,"Sheltered family park near Llanbedrog."
