spot_slug,image_url,source,license,author,attribution_text,width,height,description
snowdon-pyg,https://upload.wikimedia.org/wikipedia/commons/a/a5/On_the_Pyg_Track_with_a_view_of_Snowdon%2C_1993_-_geograph.org.uk_-_5940732.jpg,Wikimedia Commons,CC BY-SA 2.0,Mark Anderson,"On the Pyg Track with a view of Snowdon, 1993 by Mark Anderson via Wikimedia Commons",683,1024,"On the Pyg Track with a view of Snowdon, 1993"
snowdon-pyg,https://upload.wikimedia.org/wikipedia/commons/b/bf/Pyg_Track_en_route_to_Snowdon_-_geograph.org.uk_-_4757568.jpg,Wikimedia Commons,CC BY-SA 2.0,Peter S,Pyg Track en route to Snowdon by Peter S via Wikimedia Commons,4608,3456,Pyg Track en route to Snowdon
snowdon-pyg,https://upload.wikimedia.org/wikipedia/commons/8/8b/Pyg_Track_to_Snowdon_-_geograph.org.uk_-_6890280.jpg,Wikimedia Commons,CC BY-SA 2.0,Chris Thomas-Atkin,Pyg Track to Snowdon by Chris Thomas-Atkin via Wikimedia Commons,4032,2709,Pyg Track to Snowdon
snowdon-miners,https://upload.wikimedia.org/wikipedia/commons/1/13/Crib_Goch_o%27r_Wyddfa.jpg,Wikimedia Commons,CC BY-SA 4.0,SteveCymro,SteveCymro (CC BY-SA 4.0) via Wikimedia Commons,5184,2920,"Crib Goch and associated ridge, along with the Pug Track, Miners Track, Glaslyn and Llyn Llydaw viewed from near the summit of Yr Wyddfa (Snowdon)."
snowdon-miners,https://upload.wikimedia.org/wikipedia/commons/6/6a/Eryri-Snowdonia._%2814736978280%29.jpg,Wikimedia Commons,CC BY-SA 2.0,Hefin Owen from Wales,Hefin Owen from Wales (CC BY-SA 2.0) via Wikimedia Commons,4288,2848,Taken on the Miner's track looking towards Lliwedd&Snowdon.
snowdon-miners,https://upload.wikimedia.org/wikipedia/commons/b/b0/Pen_Y_Pass_-_Flickr_-_Petersrockypics.jpg,Wikimedia Commons,CC BY-SA 2.0,Petersrockypics,Petersrockypics (CC BY-SA 2.0) via Wikimedia Commons,1920,1280,"Pen-y-Pass is a mountain pass in Eryri/Snowdonia, Gwynedd, north-west Wales. It is a popular location from which to walk up Yr Wyddfa/Snowdon, as three of the popular routes (the Miners Track, the Pyg Track and the ascent via Crib Goch) can be started here. Glyder Fawr, to the north, is also acce..."
snowdon-miners,https://upload.wikimedia.org/wikipedia/commons/3/3b/End_of_Miners_Track_from_Mount_Snowdon_at_Pen-y-Pass_-_geograph.org.uk_-_4084437.jpg,Wikimedia Commons,CC BY-SA 2.0,Chris Morgan,End of Miners Track from Mount Snowdon at Pen-y-Pass by Chris Morgan via Wikimedia Commons,3986,2222,End of Miners Track from Mount Snowdon at Pen-y-Pass
snowdon-miners,https://upload.wikimedia.org/wikipedia/commons/c/c1/Llyn_Teyrn%2C_Snowdon_and_the_Miners%27_Track_-_geograph.org.uk_-_3448840.jpg,Wikimedia Commons,CC BY-SA 2.0,Gareth James,"Llyn Teyrn, Snowdon and the Miners' Track by Gareth James via Wikimedia Commons",4000,3000,"Llyn Teyrn, Snowdon and the Miners' Track"
snowdon-miners,https://upload.wikimedia.org/wikipedia/commons/b/be/Snowdon%2C_the_Miners%27_Track%2C_ascent_from_Glaslyn_-_geograph.org.uk_-_2970871.jpg,Wikimedia Commons,CC BY-SA 2.0,Christopher Hilton,"Snowdon, the Miners' Track: ascent from Glaslyn by Christopher Hilton via Wikimedia Commons",1600,1067,"Snowdon, the Miners' Track: ascent from Glaslyn"
snowdon-miners,https://upload.wikimedia.org/wikipedia/commons/4/4b/Snowdon%2C_the_Miners%27_Track%2C_climb_from_Llyn_Llydaw_to_Glaslyn_-_geograph.org.uk_-_2970847.jpg,Wikimedia Commons,CC BY-SA 2.0,Christopher Hilton,"Snowdon, the Miners' Track: climb from Llyn Llydaw to Glaslyn by Christopher Hilton via Wikimedia Commons",1600,1067,"Snowdon, the Miners' Track: climb from Llyn Llydaw to Glaslyn"
snowdon-miners,https://upload.wikimedia.org/wikipedia/commons/3/3c/Snowdon_from_the_Miners%27_Track_-_geograph.org.uk_-_5157753.jpg,Wikimedia Commons,CC BY-SA 2.0,Jim Barton,Snowdon from the Miners' Track by Jim Barton via Wikimedia Commons,1024,683,Snowdon from the Miners' Track
snowdon-miners,https://upload.wikimedia.org/wikipedia/commons/a/ab/Start_of_Miners_Track_to_Mount_Snowdon_at_Pen-y-Pass_-_geograph.org.uk_-_4084427.jpg,Wikimedia Commons,CC BY-SA 2.0,Chris Morgan,Start of Miners Track to Mount Snowdon at  Pen-y-Pass by Chris Morgan via Wikimedia Commons,3936,2128,Start of Miners Track to Mount Snowdon at  Pen-y-Pass
snowdon-miners,https://upload.wikimedia.org/wikipedia/commons/4/44/The_Miner%27s_Track_with_Llyn_Cwmffynnon_and_Snowdon_beyond_-_geograph.org.uk_-_1977683.jpg,Wikimedia Commons,CC BY-SA 2.0,Ian Greig,The Miner's Track with Llyn Cwmffynnon and Snowdon beyond by Ian Greig via Wikimedia Commons,4592,3056,The Miner's Track with Llyn Cwmffynnon and Snowdon beyond
snowdon-watkin,https://upload.wikimedia.org/wikipedia/commons/c/ce/Beautiful_Eryri_-_Flickr_-_Petersrockypics.jpg,Wikimedia Commons,CC BY-SA 2.0,Petersrockypics,Petersrockypics (CC BY-SA 2.0) via Wikimedia Commons,2192,1280,"Beautiful Eryri (Snowdonia in English). Here is one of the many spectacular sights to be had, ascending the ""Watkin path"" leading up to Yr Wyddfa (Snowdon).
This Photo is CC- By - SA - 4.0.

Credit - Petersrockypics"
snowdon-watkin,https://upload.wikimedia.org/wikipedia/commons/5/5f/Last_stretch_of_the_Watkin_Path_to_Snowdon%27s_summit_-_geograph.org.uk_-_6193246.jpg,Wikimedia Commons,CC BY-SA 2.0,Gareth James,Last stretch of the Watkin Path to Snowdon's summit by Gareth James via Wikimedia Commons,3888,5184,Last stretch of the Watkin Path to Snowdon's summit
snowdon-watkin,https://upload.wikimedia.org/wikipedia/commons/b/b7/Looking_back_to_Snowdon_from_the_Watkin_Path_-_geograph.org.uk_-_4167882.jpg,Wikimedia Commons,CC BY-SA 2.0,Gareth James,Looking back to Snowdon from the Watkin Path by Gareth James via Wikimedia Commons,4000,3000,Looking back to Snowdon from the Watkin Path
snowdon-watkin,https://upload.wikimedia.org/wikipedia/commons/9/96/Looking_down_the_Watkin_Path_towards_Y_Lliwedd_-_geograph.org.uk_-_4167872.jpg,Wikimedia Commons,CC BY-SA 2.0,Gareth James,Looking down the Watkin Path towards Y Lliwedd by Gareth James via Wikimedia Commons,4000,3000,Looking down the Watkin Path towards Y Lliwedd
snowdon-watkin,https://upload.wikimedia.org/wikipedia/commons/0/00/Plas_Cwm_Llan_Gladstone_Rock_Watkins_Path_2019_01.jpg,Wikimedia Commons,CC BY 4.0,Julian Herzog (Website),Julian Herzog (Website) (CC BY 4.0) via Wikimedia Commons,5760,3845,Abandoned farm of Plas Cwm Llan (right) and Gladstone Rock (centre) along the Watkin path to the peak of Yr Wyddfa (Snowdon). Afon Cwm Llan in the foreground.
snowdon-watkin,https://upload.wikimedia.org/wikipedia/commons/9/98/Snowdon_from_the_Watkin_Path_-_geograph.org.uk_-_4282002.jpg,Wikimedia Commons,CC BY-SA 2.0,Peter S,Snowdon from the Watkin Path by Peter S via Wikimedia Commons,4608,3456,Snowdon from the Watkin Path
snowdon-watkin,https://upload.wikimedia.org/wikipedia/commons/4/41/Snowdon_from_the_Watkin_Path_-_geograph.org.uk_-_6192568.jpg,Wikimedia Commons,CC BY-SA 2.0,Gareth James,Snowdon from the Watkin Path by Gareth James via Wikimedia Commons,4970,3727,Snowdon from the Watkin Path
snowdon-watkin,https://upload.wikimedia.org/wikipedia/commons/d/d3/Watkin_Path_passing_through_the_waste_tips_of_South_Snowdon_Quarry_-_geograph.org.uk_-_6192558.jpg,Wikimedia Commons,CC BY-SA 2.0,Gareth James,Watkin Path passing through the waste tips of South Snowdon Quarry by Gareth James via Wikimedia Commons,5184,3888,Watkin Path passing through the waste tips of South Snowdon Quarry
snowdon-watkin,https://upload.wikimedia.org/wikipedia/commons/e/eb/Watkin_Path_up_Snowdon_-_geograph.org.uk_-_4281941.jpg,Wikimedia Commons,CC BY-SA 2.0,Peter S,Watkin Path up Snowdon by Peter S via Wikimedia Commons,4608,3456,Watkin Path up Snowdon
snowdon-watkin,https://upload.wikimedia.org/wikipedia/commons/1/1f/Watkin_Path_up_Snowdon_from_Bwlch_y_Saethau_-_geograph.org.uk_-_4282004.jpg,Wikimedia Commons,CC BY-SA 2.0,Peter S,Watkin Path up Snowdon from Bwlch y Saethau by Peter S via Wikimedia Commons,4608,3456,Watkin Path up Snowdon from Bwlch y Saethau
snowdon-rhyd-ddu,https://upload.wikimedia.org/wikipedia/commons/5/52/Golygfeydd_ysblennydd_o%27r_Wyddfa_ac_Eryri_o_gwmpas_Rhyd-ddu_%281475429%29.jpg,Wikimedia Commons,CC BY-SA 4.0,Geoff Charles,Geoff Charles (CC BY-SA 4.0) via Wikimedia Commons,1633,1250,Spectacular views of Snowdon and Snowdonia around Rhyd-ddu
snowdon-rhyd-ddu,https://upload.wikimedia.org/wikipedia/commons/0/07/Golygfeydd_ysblennydd_o%27r_Wyddfa_ac_Eryri_o_gwmpas_Rhyd-ddu_%281475430%29.jpg,Wikimedia Commons,CC BY-SA 4.0,Geoff Charles,Geoff Charles (CC BY-SA 4.0) via Wikimedia Commons,1250,1639,Spectacular views of Snowdon and Snowdonia around Rhyd-ddu
snowdon-rhyd-ddu,https://upload.wikimedia.org/wikipedia/commons/d/d7/Golygfeydd_ysblennydd_o%27r_Wyddfa_ac_Eryri_o_gwmpas_Rhyd-ddu_%281475431%29.jpg,Wikimedia Commons,CC BY-SA 4.0,Geoff Charles,Geoff Charles (CC BY-SA 4.0) via Wikimedia Commons,1250,1634,Spectacular views of Snowdon and Snowdonia around Rhyd-ddu
snowdon-rhyd-ddu,https://upload.wikimedia.org/wikipedia/commons/c/c6/Golygfeydd_ysblennydd_o%27r_Wyddfa_ac_Eryri_o_gwmpas_Rhyd-ddu_%281475432%29.jpg,Wikimedia Commons,CC BY-SA 4.0,Geoff Charles,Geoff Charles (CC BY-SA 4.0) via Wikimedia Commons,1250,1631,Spectacular views of Snowdon and Snowdonia around Rhyd-ddu
snowdon-rhyd-ddu,https://upload.wikimedia.org/wikipedia/commons/c/c7/Golygfeydd_ysblennydd_o%27r_Wyddfa_ac_Eryri_o_gwmpas_Rhyd-ddu_%281475433%29.jpg,Wikimedia Commons,CC BY-SA 4.0,Geoff Charles,Geoff Charles (CC BY-SA 4.0) via Wikimedia Commons,1250,1632,Spectacular views of Snowdon and Snowdonia around Rhyd-ddu
snowdon-rhyd-ddu,https://upload.wikimedia.org/wikipedia/commons/a/a8/Golygfeydd_ysblennydd_o%27r_Wyddfa_ac_Eryri_o_gwmpas_Rhyd-ddu_%281475434%29.jpg,Wikimedia Commons,CC BY-SA 4.0,Geoff Charles,Geoff Charles (CC BY-SA 4.0) via Wikimedia Commons,1250,1628,Spectacular views of Snowdon and Snowdonia around Rhyd-ddu
snowdon-rhyd-ddu,https://upload.wikimedia.org/wikipedia/commons/1/1f/Golygfeydd_ysblennydd_o%27r_Wyddfa_ac_Eryri_o_gwmpas_Rhyd-ddu_%281475435%29.jpg,Wikimedia Commons,CC BY-SA 4.0,Geoff Charles,Geoff Charles (CC BY-SA 4.0) via Wikimedia Commons,1250,1631,Spectacular views of Snowdon and Snowdonia around Rhyd-ddu
snowdon-rhyd-ddu,https://upload.wikimedia.org/wikipedia/commons/1/17/Golygfeydd_ysblennydd_o%27r_Wyddfa_ac_Eryri_o_gwmpas_Rhyd-ddu_%281475436%29.jpg,Wikimedia Commons,CC BY-SA 4.0,Geoff Charles,Geoff Charles (CC BY-SA 4.0) via Wikimedia Commons,1250,1617,Spectacular views of Snowdon and Snowdonia around Rhyd-ddu
snowdon-rhyd-ddu,https://upload.wikimedia.org/wikipedia/commons/2/2c/Golygfeydd_ysblennydd_o%27r_Wyddfa_ac_Eryri_o_gwmpas_Rhyd-ddu_%281475437%29.jpg,Wikimedia Commons,CC BY-SA 4.0,Geoff Charles,Geoff Charles (CC BY-SA 4.0) via Wikimedia Commons,1250,1633,Spectacular views of Snowdon and Snowdonia around Rhyd-ddu
snowdon-rhyd-ddu,https://upload.wikimedia.org/wikipedia/commons/7/74/Golygfeydd_ysblennydd_o%27r_Wyddfa_ac_Eryri_o_gwmpas_Rhyd-ddu_%281475438%29.jpg,Wikimedia Commons,CC BY-SA 4.0,Geoff Charles,Geoff Charles (CC BY-SA 4.0) via Wikimedia Commons,1250,1646,Spectacular views of Snowdon and Snowdonia around Rhyd-ddu
snowdon-ranger,https://upload.wikimedia.org/wikipedia/commons/c/c6/Llwybr_Cwellyn_-_Snowdon_Ranger_path_-_Parc_Cenedlaethol_Eryri_%28Snowdonia_Nationsl_Park%29%2C_Wales_01.jpg,Wikimedia Commons,CC BY-SA 4.0,Llywelyn2000,Llywelyn2000 (CC BY-SA 4.0) via Wikimedia Commons,7800,3383,"Snowdon Ranger path - Snowdonia Nationsl Park, Wales"
snowdon-ranger,https://upload.wikimedia.org/wikipedia/commons/4/41/Llwybr_Cwellyn_-_Snowdon_Ranger_path_-_Parc_Cenedlaethol_Eryri_%28Snowdonia_Nationsl_Park%29%2C_Wales_02.jpg,Wikimedia Commons,CC BY-SA 4.0,Llywelyn2000,Llywelyn2000 (CC BY-SA 4.0) via Wikimedia Commons,5184,3888,"Snowdon Ranger path - Snowdonia Nationsl Park, Wales"
snowdon-ranger,https://upload.wikimedia.org/wikipedia/commons/5/50/Llwybr_Cwellyn_-_Snowdon_Ranger_path_-_Parc_Cenedlaethol_Eryri_%28Snowdonia_Nationsl_Park%29%2C_Wales_03.jpg,Wikimedia Commons,CC BY-SA 4.0,Llywelyn2000,Llywelyn2000 (CC BY-SA 4.0) via Wikimedia Commons,5184,3888,"Snowdon Ranger path - Snowdonia Nationsl Park, Wales"
snowdon-ranger,https://upload.wikimedia.org/wikipedia/commons/e/e7/Llwybr_Cwellyn_-_Snowdon_Ranger_path_-_Parc_Cenedlaethol_Eryri_%28Snowdonia_Nationsl_Park%29%2C_Wales_04.jpg,Wikimedia Commons,CC BY-SA 4.0,Llywelyn2000,Llywelyn2000 (CC BY-SA 4.0) via Wikimedia Commons,5184,3888,"Snowdon Ranger path - Snowdonia Nationsl Park, Wales"
snowdon-ranger,https://upload.wikimedia.org/wikipedia/commons/5/55/Llwybr_Cwellyn_-_Snowdon_Ranger_path_-_Parc_Cenedlaethol_Eryri_%28Snowdonia_Nationsl_Park%29%2C_Wales_05.jpg,Wikimedia Commons,CC BY-SA 4.0,Llywelyn2000,Llywelyn2000 (CC BY-SA 4.0) via Wikimedia Commons,9401,3708,"Snowdon Ranger path - Snowdonia Nationsl Park, Wales"
snowdon-ranger,https://upload.wikimedia.org/wikipedia/commons/7/79/Llwybr_Cwellyn_-_Snowdon_Ranger_path_-_Parc_Cenedlaethol_Eryri_%28Snowdonia_Nationsl_Park%29%2C_Wales_06.jpg,Wikimedia Commons,CC BY-SA 4.0,Llywelyn2000,Llywelyn2000 (CC BY-SA 4.0) via Wikimedia Commons,5184,3888,"Snowdon Ranger path - Snowdonia Nationsl Park, Wales"
snowdon-ranger,https://upload.wikimedia.org/wikipedia/commons/1/16/Llwybr_Cwellyn_-_Snowdon_Ranger_path_-_Parc_Cenedlaethol_Eryri_%28Snowdonia_Nationsl_Park%29%2C_Wales_07.jpg,Wikimedia Commons,CC BY-SA 4.0,Llywelyn2000,Llywelyn2000 (CC BY-SA 4.0) via Wikimedia Commons,5184,3888,"Snowdon Ranger path - Snowdonia Nationsl Park, Wales"
snowdon-ranger,https://upload.wikimedia.org/wikipedia/commons/c/c5/Llwybr_Cwellyn_-_Snowdon_Ranger_path_-_Parc_Cenedlaethol_Eryri_%28Snowdonia_Nationsl_Park%29%2C_Wales_08.jpg,Wikimedia Commons,CC BY-SA 4.0,Llywelyn2000,Llywelyn2000 (CC BY-SA 4.0) via Wikimedia Commons,5184,3888,"Snowdon Ranger path - Snowdonia Nationsl Park, Wales"
snowdon-ranger,https://upload.wikimedia.org/wikipedia/commons/d/dc/Snowdon_Ranger_path_on_a_cold_February_day._%2815837572103%29.jpg,Wikimedia Commons,CC BY 2.0,Scott Wylie from UK,Scott Wylie from UK (CC BY 2.0) via Wikimedia Commons,1776,1184,Fujifilm X-T1
snowdon-ranger,https://upload.wikimedia.org/wikipedia/commons/5/52/Snowdon_Ranger_path_on_a_cold_February_day._%2816431627106%29.jpg,Wikimedia Commons,CC BY 2.0,Scott Wylie from UK,Scott Wylie from UK (CC BY 2.0) via Wikimedia Commons,1776,1184,Fujifilm X-T1
crib-goch,https://upload.wikimedia.org/wikipedia/commons/a/aa/Crib_Goch%2C_Snowdonia%2C_Wales_-_August_2007.jpg,Wikimedia Commons,CC BY-SA 3.0,Diliff,Diliff (CC BY-SA 3.0) via Wikimedia Commons,5623,2800,"A four-segment panoramic image of Crib Goch facing east in Snowdonia National Park, Wales. Taken with a Canon 5D and 24-105mm f/4L lens at 24mm."
crib-goch,https://upload.wikimedia.org/wikipedia/commons/6/61/Crib_Goch_-_Looking_Back_over_the_ridge.jpg,Wikimedia Commons,CC BY 4.0,Staceymacnaughtosl,Staceymacnaughtosl (CC BY 4.0) via Wikimedia Commons,1024,768,Cloud hit Crib Goch
crib-goch,https://upload.wikimedia.org/wikipedia/commons/1/13/Crib_Goch_o%27r_Wyddfa.jpg,Wikimedia Commons,CC BY-SA 4.0,SteveCymro,SteveCymro (CC BY-SA 4.0) via Wikimedia Commons,5184,2920,"Crib Goch and associated ridge, along with the Pug Track, Miners Track, Glaslyn and Llyn Llydaw viewed from near the summit of Yr Wyddfa (Snowdon)."
crib-goch,https://upload.wikimedia.org/wikipedia/commons/8/84/Crib_goch.jpg,Wikimedia Commons,CC BY 4.0,Staceymacnaughtosl,Staceymacnaughtosl (CC BY 4.0) via Wikimedia Commons,1536,864,"Crib Goch ridge photograph, Snowdonia. Taken on a sunny day in July 2023"
crib-goch,https://upload.wikimedia.org/wikipedia/commons/2/2e/Y_Grib_Goch_ridge%2C_Crib_Goch%2C_Parc_Cenedlaethol_Eryri_National_Park_%28Snowdonia_NP%29%2C_Gwynedd%2C_Cymru_%28Wales%29_01.jpg,Wikimedia Commons,CC BY-SA 4.0,Llywelyn2000,Llywelyn2000 (CC BY-SA 4.0) via Wikimedia Commons,5184,3888,"Crib Goch, Parc Cenedlaethol Eryri National Park (Snowdonia NP), Gwynedd, Cymru (Wales)"
crib-goch,https://upload.wikimedia.org/wikipedia/commons/3/3f/Y_Grib_Goch_ridge%2C_Crib_Goch%2C_Parc_Cenedlaethol_Eryri_National_Park_%28Snowdonia_NP%29%2C_Gwynedd%2C_Cymru_%28Wales%29_02.jpg,Wikimedia Commons,CC BY-SA 4.0,Llywelyn2000,Llywelyn2000 (CC BY-SA 4.0) via Wikimedia Commons,5184,3888,"Crib Goch, Parc Cenedlaethol Eryri National Park (Snowdonia NP), Gwynedd, Cymru (Wales)"
crib-goch,https://upload.wikimedia.org/wikipedia/commons/7/7f/Y_Grib_Goch_ridge%2C_Crib_Goch%2C_Parc_Cenedlaethol_Eryri_National_Park_%28Snowdonia_NP%29%2C_Gwynedd%2C_Cymru_%28Wales%29_03.jpg,Wikimedia Commons,CC BY-SA 4.0,Llywelyn2000,Llywelyn2000 (CC BY-SA 4.0) via Wikimedia Commons,5184,3888,"Crib Goch, Parc Cenedlaethol Eryri National Park (Snowdonia NP), Gwynedd, Cymru (Wales)"
crib-goch,https://upload.wikimedia.org/wikipedia/commons/9/94/Y_Grib_Goch_ridge%2C_Crib_Goch%2C_Parc_Cenedlaethol_Eryri_National_Park_%28Snowdonia_NP%29%2C_Gwynedd%2C_Cymru_%28Wales%29_04.jpg,Wikimedia Commons,CC BY-SA 4.0,Llywelyn2000,Llywelyn2000 (CC BY-SA 4.0) via Wikimedia Commons,5184,3888,"Crib Goch, Parc Cenedlaethol Eryri National Park (Snowdonia NP), Gwynedd, Cymru (Wales)"
crib-goch,https://upload.wikimedia.org/wikipedia/commons/6/6a/Y_Grib_Goch_ridge%2C_Crib_Goch%2C_Parc_Cenedlaethol_Eryri_National_Park_%28Snowdonia_NP%29%2C_Gwynedd%2C_Cymru_%28Wales%29_05.jpg,Wikimedia Commons,CC BY-SA 4.0,Llywelyn2000,Llywelyn2000 (CC BY-SA 4.0) via Wikimedia Commons,5184,3888,"Crib Goch, Parc Cenedlaethol Eryri National Park (Snowdonia NP), Gwynedd, Cymru (Wales)"
crib-goch,https://upload.wikimedia.org/wikipedia/commons/3/3a/Y_Grib_Goch_ridge%2C_Crib_Goch%2C_Parc_Cenedlaethol_Eryri_National_Park_%28Snowdonia_NP%29%2C_Gwynedd%2C_Cymru_%28Wales%29_06.jpg,Wikimedia Commons,CC BY-SA 4.0,Llywelyn2000,Llywelyn2000 (CC BY-SA 4.0) via Wikimedia Commons,5184,3888,"Crib Goch, Parc Cenedlaethol Eryri National Park (Snowdonia NP), Gwynedd, Cymru (Wales)"
tryfan-north-ridge,https://upload.wikimedia.org/wikipedia/commons/d/da/The_Cannon_Stone%2C_Tryfan.jpg,Wikimedia Commons,CC BY-SA 4.0,Nick Moyes,Nick Moyes (CC BY-SA 4.0) via Wikimedia Commons,3264,2448,"Father and daughter standing together on The Cannon Stone, North ridge of Tryfan, Ogwen Valley, Snowdonia, Wales. (Llyn Ogwen in background."
tryfan-north-ridge,https://upload.wikimedia.org/wikipedia/commons/0/0a/The_Cannon_Stone%2C_Tryfan_-_family_group.jpg,Wikimedia Commons,CC BY-SA 4.0,Nick Moyes,Nick Moyes (CC BY-SA 4.0) via Wikimedia Commons,3264,2448,"Family group perched on The Cannon Stone, North ridge of Tryfan, Ogwen Valley, Snowdonia"
