slug,image_url,width,height,license,author,source_url,title
rhosneigr,https://upload.wikimedia.org/wikipedia/commons/5/5a/Rhosneigr_from_Traeth_Crigyll_-_geograph.org.uk_-_4970135.jpg,5184,3456,CC BY-SA 2.0,Jeff Buck,https://commons.wikimedia.org/wiki/File:Rhosneigr_from_Traeth_Crigyll_-_geograph.org.uk_-_4970135.jpg,Rhosneigr from Traeth Crigyll - geograph.org.uk - 4970135.jpg
rhosneigr,https://upload.wikimedia.org/wikipedia/commons/f/f4/Traeth_Crigyll%2C_Rhosneigr_-_geograph.org.uk_-_5046588.jpg,2784,1568,CC BY-SA 2.0,Richard Cooke,"https://commons.wikimedia.org/wiki/File:Traeth_Crigyll,_Rhosneigr_-_geograph.org.uk_-_5046588.jpg","Traeth Crigyll, Rhosneigr - geograph.org.uk - 5046588.jpg"
rhosneigr,https://upload.wikimedia.org/wikipedia/commons/6/6e/Traeth_Crigyll_-_geograph.org.uk_-_8094332.jpg,1373,1036,CC BY-SA 2.0,Chris Andrews,https://commons.wikimedia.org/wiki/File:Traeth_Crigyll_-_geograph.org.uk_-_8094332.jpg,Traeth Crigyll - geograph.org.uk - 8094332.jpg
rhosneigr,https://upload.wikimedia.org/wikipedia/commons/5/58/Arwerthiant_yng_Nghapel_Rhosneigr_%281469371%29.jpg,1264,1250,CC BY-SA 4.0,Geoff Charles,https://commons.wikimedia.org/wiki/File:Arwerthiant_yng_Nghapel_Rhosneigr_(1469371).jpg,Arwerthiant yng Nghapel Rhosneigr (1469371).jpg
rhosneigr,https://upload.wikimedia.org/wikipedia/commons/e/e8/Arwerthiant_yng_Nghapel_Rhosneigr_%281469373%29.jpg,1261,1250,CC BY-SA 4.0,Geoff Charles,https://commons.wikimedia.org/wiki/File:Arwerthiant_yng_Nghapel_Rhosneigr_(1469373).jpg,Arwerthiant yng Nghapel Rhosneigr (1469373).jpg
rhosneigr,https://upload.wikimedia.org/wikipedia/commons/6/6b/Golygfa_tuag_at_Rhosneigr_-_geograph.org.uk_-_7320971.jpg,1024,576,CC BY-SA 2.0,Mike Parker,https://commons.wikimedia.org/wiki/File:Golygfa_tuag_at_Rhosneigr_-_geograph.org.uk_-_7320971.jpg,Golygfa tuag at Rhosneigr - geograph.org.uk - 7320971.jpg
rhosneigr,https://upload.wikimedia.org/wikipedia/commons/d/de/Kitesurfers_in_Cymyran_Bay%2C_Anglesey_-_geograph.org.uk_-_6302610.jpg,1024,683,CC BY-SA 2.0,Robin Drayton,"https://commons.wikimedia.org/wiki/File:Kitesurfers_in_Cymyran_Bay,_Anglesey_-_geograph.org.uk_-_6302610.jpg","Kitesurfers in Cymyran Bay, Anglesey - geograph.org.uk - 6302610.jpg"
rhosneigr,https://upload.wikimedia.org/wikipedia/commons/c/cd/Rhosneigr_Clock_Tower_01_977.PNG,1536,2048,Public domain,Ijanderson977,https://commons.wikimedia.org/wiki/File:Rhosneigr_Clock_Tower_01_977.PNG,Rhosneigr Clock Tower 01 977.PNG
rhosneigr,https://upload.wikimedia.org/wikipedia/commons/3/37/Rhosneigr_Disaster_Memorial_01_977.PNG,2048,1536,Public domain,Ijanderson977,https://commons.wikimedia.org/wiki/File:Rhosneigr_Disaster_Memorial_01_977.PNG,Rhosneigr Disaster Memorial 01 977.PNG
rhosneigr,https://upload.wikimedia.org/wikipedia/commons/7/7e/Rhosneigr_Swyddfa%27r_Post_01_977.PNG,2048,1536,Public domain,Ijanderson977,https://commons.wikimedia.org/wiki/File:Rhosneigr_Swyddfa%27r_Post_01_977.PNG,Rhosneigr Swyddfa'r Post 01 977.PNG
trearddur-bay,https://upload.wikimedia.org/wikipedia/commons/a/a3/A_busy_Trearddur_Bay_-_geograph.org.uk_-_5924403.jpg,1024,683,CC BY-SA 2.0,DS Pugh,https://commons.wikimedia.org/wiki/File:A_busy_Trearddur_Bay_-_geograph.org.uk_-_5924403.jpg,A busy Trearddur Bay - geograph.org.uk - 5924403.jpg
trearddur-bay,https://upload.wikimedia.org/wikipedia/commons/c/c1/Cannon_at_Trearddur_Bay_-_geograph.org.uk_-_6169253.jpg,1024,771,CC BY-SA 2.0,Arthur C Harris,https://commons.wikimedia.org/wiki/File:Cannon_at_Trearddur_Bay_-_geograph.org.uk_-_6169253.jpg,Cannon at Trearddur Bay - geograph.org.uk - 6169253.jpg
trearddur-bay,https://upload.wikimedia.org/wikipedia/commons/7/79/Canoeists_at_Trearddur_Bay_-_geograph.org.uk_-_5344759.jpg,3775,5033,CC BY-SA 2.0,Neil Theasby,https://commons.wikimedia.org/wiki/File:Canoeists_at_Trearddur_Bay_-_geograph.org.uk_-_5344759.jpg,Canoeists at Trearddur Bay - geograph.org.uk - 5344759.jpg
trearddur-bay,https://upload.wikimedia.org/wikipedia/commons/9/94/Caravan_park_south_of_Trearddur_Bay_-_geograph.org.uk_-_5925273.jpg,1024,683,CC BY-SA 2.0,DS Pugh,https://commons.wikimedia.org/wiki/File:Caravan_park_south_of_Trearddur_Bay_-_geograph.org.uk_-_5925273.jpg,Caravan park south of Trearddur Bay - geograph.org.uk - 5925273.jpg
trearddur-bay,https://upload.wikimedia.org/wikipedia/commons/4/4a/Entrance_to_Trearddur_Bay_Hotel_-_geograph.org.uk_-_5922898.jpg,1024,683,CC BY-SA 2.0,DS Pugh,https://commons.wikimedia.org/wiki/File:Entrance_to_Trearddur_Bay_Hotel_-_geograph.org.uk_-_5922898.jpg,Entrance to Trearddur Bay Hotel - geograph.org.uk - 5922898.jpg
trearddur-bay,https://upload.wikimedia.org/wikipedia/commons/2/27/Holiday_park_at_Trearddur_Bay_-_geograph.org.uk_-_5921636.jpg,1024,683,CC BY-SA 2.0,DS Pugh,https://commons.wikimedia.org/wiki/File:Holiday_park_at_Trearddur_Bay_-_geograph.org.uk_-_5921636.jpg,Holiday park at Trearddur Bay - geograph.org.uk - 5921636.jpg
trearddur-bay,https://upload.wikimedia.org/wikipedia/commons/7/78/Hotel_near_Trearddur_Bay_-_geograph.org.uk_-_5921634.jpg,1024,683,CC BY-SA 2.0,DS Pugh,https://commons.wikimedia.org/wiki/File:Hotel_near_Trearddur_Bay_-_geograph.org.uk_-_5921634.jpg,Hotel near Trearddur Bay - geograph.org.uk - 5921634.jpg
trearddur-bay,https://upload.wikimedia.org/wikipedia/commons/d/d3/Melin_y_Gof%2C_Trearddur_Bay_-_geograph.org.uk_-_5422305.jpg,1200,1600,CC BY-SA 2.0,Chris Andrews,"https://commons.wikimedia.org/wiki/File:Melin_y_Gof,_Trearddur_Bay_-_geograph.org.uk_-_5422305.jpg","Melin y Gof, Trearddur Bay - geograph.org.uk - 5422305.jpg"
trearddur-bay,https://upload.wikimedia.org/wikipedia/commons/1/12/Millennium_Cross%2C_Trearddur_Bay_-_geograph.org.uk_-_7137919.jpg,768,1024,CC BY-SA 2.0,David Dixon,"https://commons.wikimedia.org/wiki/File:Millennium_Cross,_Trearddur_Bay_-_geograph.org.uk_-_7137919.jpg","Millennium Cross, Trearddur Bay - geograph.org.uk - 7137919.jpg"
trearddur-bay,https://upload.wikimedia.org/wikipedia/commons/e/e0/Noddfa_Eglwys_Unedig%2C_Trearddur_Bay_-_geograph.org.uk_-_3791638.jpg,1600,1119,CC BY-SA 2.0,nick macneill,"https://commons.wikimedia.org/wiki/File:Noddfa_Eglwys_Unedig,_Trearddur_Bay_-_geograph.org.uk_-_3791638.jpg","Noddfa Eglwys Unedig, Trearddur Bay - geograph.org.uk - 3791638.jpg"
benllech,https://upload.wikimedia.org/wikipedia/commons/a/af/Anglesey_NFU_branch_annual_dinner_at_Benllech_%281587580%29.jpg,1200,1822,CC BY-SA 4.0,Geoff Charles,https://commons.wikimedia.org/wiki/File:Anglesey_NFU_branch_annual_dinner_at_Benllech_(1587580).jpg,Anglesey NFU branch annual dinner at Benllech (1587580).jpg
benllech,https://upload.wikimedia.org/wikipedia/commons/b/bc/Anglesey_NFU_branch_annual_dinner_at_Benllech_%281587582%29.jpg,1822,1200,CC BY-SA 4.0,Geoff Charles,https://commons.wikimedia.org/wiki/File:Anglesey_NFU_branch_annual_dinner_at_Benllech_(1587582).jpg,Anglesey NFU branch annual dinner at Benllech (1587582).jpg
benllech,https://upload.wikimedia.org/wikipedia/commons/c/c4/Anglesey_NFU_branch_annual_dinner_at_Benllech_%281587583%29.jpg,1822,1200,CC BY-SA 4.0,Geoff Charles,https://commons.wikimedia.org/wiki/File:Anglesey_NFU_branch_annual_dinner_at_Benllech_(1587583).jpg,Anglesey NFU branch annual dinner at Benllech (1587583).jpg
benllech,https://upload.wikimedia.org/wikipedia/commons/e/e0/Anglesey_NFU_branch_annual_dinner_at_Benllech_%281587584%29.jpg,1822,1200,CC BY-SA 4.0,Geoff Charles,https://commons.wikimedia.org/wiki/File:Anglesey_NFU_branch_annual_dinner_at_Benllech_(1587584).jpg,Anglesey NFU branch annual dinner at Benllech (1587584).jpg
benllech,https://upload.wikimedia.org/wikipedia/commons/e/ef/Anglesey_NFU_branch_annual_dinner_at_Benllech_%281587585%29.jpg,1822,1200,CC BY-SA 4.0,Geoff Charles,https://commons.wikimedia.org/wiki/File:Anglesey_NFU_branch_annual_dinner_at_Benllech_(1587585).jpg,Anglesey NFU branch annual dinner at Benllech (1587585).jpg
benllech,https://upload.wikimedia.org/wikipedia/commons/e/e8/Beach_at_Benllech_-_geograph.org.uk_-_3757578.jpg,1600,1196,CC BY-SA 2.0,nick macneill,https://commons.wikimedia.org/wiki/File:Beach_at_Benllech_-_geograph.org.uk_-_3757578.jpg,Beach at Benllech - geograph.org.uk - 3757578.jpg
benllech,https://upload.wikimedia.org/wikipedia/commons/8/83/Benllech_views_%281505484%29.jpg,1264,1250,CC BY-SA 4.0,Geoff Charles,https://commons.wikimedia.org/wiki/File:Benllech_views_(1505484).jpg,Benllech views (1505484).jpg
benllech,https://upload.wikimedia.org/wikipedia/commons/b/bc/Benllech_views_%281505485%29.jpg,1250,1251,CC BY-SA 4.0,Geoff Charles,https://commons.wikimedia.org/wiki/File:Benllech_views_(1505485).jpg,Benllech views (1505485).jpg
benllech,https://upload.wikimedia.org/wikipedia/commons/b/bf/Benllech_views_%281505486%29.jpg,1262,1250,CC BY-SA 4.0,Geoff Charles,https://commons.wikimedia.org/wiki/File:Benllech_views_(1505486).jpg,Benllech views (1505486).jpg
benllech,https://upload.wikimedia.org/wikipedia/commons/b/b9/Benllech_views_%281505487%29.jpg,1264,1250,CC BY-SA 4.0,Geoff Charles,https://commons.wikimedia.org/wiki/File:Benllech_views_(1505487).jpg,Benllech views (1505487).jpg
red-wharf-bay,https://upload.wikimedia.org/wikipedia/commons/c/cb/Early_evening_at_Red_Wharf_Bay_-_geograph.org.uk_-_2551491.jpg,3264,2162,CC BY-SA 2.0,Mat Fascione,https://commons.wikimedia.org/wiki/File:Early_evening_at_Red_Wharf_Bay_-_geograph.org.uk_-_2551491.jpg,Early evening at Red Wharf Bay - geograph.org.uk - 2551491.jpg
red-wharf-bay,https://upload.wikimedia.org/wikipedia/commons/3/37/Red_Wharf_Bay%2C_The_Ship_Inn_-_geograph.org.uk_-_7137968.jpg,1024,768,CC BY-SA 2.0,David Dixon,"https://commons.wikimedia.org/wiki/File:Red_Wharf_Bay,_The_Ship_Inn_-_geograph.org.uk_-_7137968.jpg","Red Wharf Bay, The Ship Inn - geograph.org.uk - 7137968.jpg"
red-wharf-bay,https://upload.wikimedia.org/wikipedia/commons/e/e7/Red_Wharf_Bay_-_Flickr_-_Terry_Kearney.jpg,4038,2691,CC0,"Terry  Kearney from liverpool, merseyside",https://commons.wikimedia.org/wiki/File:Red_Wharf_Bay_-_Flickr_-_Terry_Kearney.jpg,Red Wharf Bay - Flickr - Terry Kearney.jpg
red-wharf-bay,https://upload.wikimedia.org/wikipedia/commons/1/11/Red_Wharf_Bay_-_geograph.org.uk_-_2529760.jpg,2494,1922,CC BY-SA 2.0,Mat Fascione,https://commons.wikimedia.org/wiki/File:Red_Wharf_Bay_-_geograph.org.uk_-_2529760.jpg,Red Wharf Bay - geograph.org.uk - 2529760.jpg
red-wharf-bay,https://upload.wikimedia.org/wikipedia/commons/e/e8/Red_Wharf_Bay_and_Benllech_railway_station_1909.jpg,1024,586,Public domain,Unknown authorUnknown author,https://commons.wikimedia.org/wiki/File:Red_Wharf_Bay_and_Benllech_railway_station_1909.jpg,Red Wharf Bay and Benllech railway station 1909.jpg
red-wharf-bay,https://upload.wikimedia.org/wikipedia/commons/7/7c/Red_Wharf_Limestone_Formation%2C_Red_Wharf_Bay%2C_Anglesey%2C_North_Wales%2C_UK.jpg,3264,2448,CC BY 4.0,Silica Cat,"https://commons.wikimedia.org/wiki/File:Red_Wharf_Limestone_Formation,_Red_Wharf_Bay,_Anglesey,_North_Wales,_UK.jpg","Red Wharf Limestone Formation, Red Wharf Bay, Anglesey, North Wales, UK.jpg"
red-wharf-bay,https://upload.wikimedia.org/wikipedia/commons/b/bb/Sunset_over_Red_Wharf_Bay_-_geograph.org.uk_-_2529397.jpg,2658,2444,CC BY-SA 2.0,Mat Fascione,https://commons.wikimedia.org/wiki/File:Sunset_over_Red_Wharf_Bay_-_geograph.org.uk_-_2529397.jpg,Sunset over Red Wharf Bay - geograph.org.uk - 2529397.jpg
red-wharf-bay,https://upload.wikimedia.org/wikipedia/commons/e/ec/The_Ship_Inn%2C_Red_Wharf_Bay_-_geograph.org.uk_-_3178272.jpg,3303,2231,CC BY-SA 2.0,Christine Courtney,"https://commons.wikimedia.org/wiki/File:The_Ship_Inn,_Red_Wharf_Bay_-_geograph.org.uk_-_3178272.jpg","The Ship Inn, Red Wharf Bay - geograph.org.uk - 3178272.jpg"
red-wharf-bay,https://upload.wikimedia.org/wikipedia/commons/9/94/The_Ship_Inn%2C_Red_Wharf_Bay_-_geograph.org.uk_-_3396986.jpg,1280,856,CC BY-SA 2.0,Stephen McKay,"https://commons.wikimedia.org/wiki/File:The_Ship_Inn,_Red_Wharf_Bay_-_geograph.org.uk_-_3396986.jpg","The Ship Inn, Red Wharf Bay - geograph.org.uk - 3396986.jpg"
red-wharf-bay,https://upload.wikimedia.org/wikipedia/commons/c/ca/The_Ship_Inn_at_Red_Wharf_Bay_-_geograph.org.uk_-_2529583.jpg,3112,2009,CC BY-SA 2.0,Mat Fascione,https://commons.wikimedia.org/wiki/File:The_Ship_Inn_at_Red_Wharf_Bay_-_geograph.org.uk_-_2529583.jpg,The Ship Inn at Red Wharf Bay - geograph.org.uk - 2529583.jpg
church-bay,https://upload.wikimedia.org/wikipedia/commons/1/1b/Church_Bay_Anglesey_Wales_banner.jpg,2048,293,CC BY-SA 4.0,ZcarstvnzAuthor of original photo: Peter Gill / UK,https://commons.wikimedia.org/wiki/File:Church_Bay_Anglesey_Wales_banner.jpg,Church Bay Anglesey Wales banner.jpg
church-bay,https://upload.wikimedia.org/wikipedia/commons/b/b0/Porth_Swtan_%28Church_Bay%29%2C_Anglesey_-_geograph.org.uk_-_6196011.jpg,4000,3000,CC BY-SA 2.0,Jeff Buck,"https://commons.wikimedia.org/wiki/File:Porth_Swtan_(Church_Bay),_Anglesey_-_geograph.org.uk_-_6196011.jpg","Porth Swtan (Church Bay), Anglesey - geograph.org.uk - 6196011.jpg"
church-bay,https://upload.wikimedia.org/wikipedia/commons/9/97/Porth_Swtan_%28Church_Bay%29%2C_Anglesey_-_geograph.org.uk_-_6196044.jpg,4000,3000,CC BY-SA 2.0,Jeff Buck,"https://commons.wikimedia.org/wiki/File:Porth_Swtan_(Church_Bay),_Anglesey_-_geograph.org.uk_-_6196044.jpg","Porth Swtan (Church Bay), Anglesey - geograph.org.uk - 6196044.jpg"
church-bay,https://upload.wikimedia.org/wikipedia/commons/2/2a/Porth_Swtan_-_Church_Bay_2015_1.jpg,5184,3456,CC BY-SA 4.0,Photograph by Mike Peel (www.mikepeel.net).,https://commons.wikimedia.org/wiki/File:Porth_Swtan_-_Church_Bay_2015_1.jpg,Porth Swtan - Church Bay 2015 1.jpg
church-bay,https://upload.wikimedia.org/wikipedia/commons/0/05/Porth_Swtan_-_Church_Bay_2015_2.jpg,5184,3456,CC BY-SA 4.0,Photograph by Mike Peel (www.mikepeel.net).,https://commons.wikimedia.org/wiki/File:Porth_Swtan_-_Church_Bay_2015_2.jpg,Porth Swtan - Church Bay 2015 2.jpg
church-bay,https://upload.wikimedia.org/wikipedia/commons/3/3c/Porth_Swtan_-_Church_Bay_2015_3.jpg,5184,3456,CC BY-SA 4.0,Photograph by Mike Peel (www.mikepeel.net).,https://commons.wikimedia.org/wiki/File:Porth_Swtan_-_Church_Bay_2015_3.jpg,Porth Swtan - Church Bay 2015 3.jpg
church-bay,https://upload.wikimedia.org/wikipedia/commons/6/6d/Porth_Swtan_-_Church_Bay_2015_4.jpg,5184,3456,CC BY-SA 4.0,Photograph by Mike Peel (www.mikepeel.net).,https://commons.wikimedia.org/wiki/File:Porth_Swtan_-_Church_Bay_2015_4.jpg,Porth Swtan - Church Bay 2015 4.jpg
church-bay,https://upload.wikimedia.org/wikipedia/commons/3/34/The_Anglesey_Coastal_Path_approaching_Porth_Swtan_%28Church_Bay%29_-_geograph.org.uk_-_6174448.jpg,4000,3000,CC BY-SA 2.0,Jeff Buck,https://commons.wikimedia.org/wiki/File:The_Anglesey_Coastal_Path_approaching_Porth_Swtan_(Church_Bay)_-_geograph.org.uk_-_6174448.jpg,The Anglesey Coastal Path approaching Porth Swtan (Church Bay) - geograph.org.uk - 6174448.jpg
church-bay,https://upload.wikimedia.org/wikipedia/commons/0/05/The_Anglesey_Coastal_Path_approaching_Porth_Swtan_%28Church_Bay%29_-_geograph.org.uk_-_6196024.jpg,4000,3000,CC BY-SA 2.0,Jeff Buck,https://commons.wikimedia.org/wiki/File:The_Anglesey_Coastal_Path_approaching_Porth_Swtan_(Church_Bay)_-_geograph.org.uk_-_6196024.jpg,The Anglesey Coastal Path approaching Porth Swtan (Church Bay) - geograph.org.uk - 6196024.jpg
church-bay,https://upload.wikimedia.org/wikipedia/commons/b/bc/The_Anglesey_Coastal_Path_near_Porth_Swtan_%28Church_Bay%29_-_geograph.org.uk_-_6196032.jpg,4000,3000,CC BY-SA 2.0,Jeff Buck,https://commons.wikimedia.org/wiki/File:The_Anglesey_Coastal_Path_near_Porth_Swtan_(Church_Bay)_-_geograph.org.uk_-_6196032.jpg,The Anglesey Coastal Path near Porth Swtan (Church Bay) - geograph.org.uk - 6196032.jpg
cable-bay,https://upload.wikimedia.org/wikipedia/commons/1/18/A_View_at_Porth_Trecastell_-_geograph.org.uk_-_7016964.jpg,1024,768,CC BY-SA 2.0,David Bremner,https://commons.wikimedia.org/wiki/File:A_View_at_Porth_Trecastell_-_geograph.org.uk_-_7016964.jpg,A View at Porth Trecastell - geograph.org.uk - 7016964.jpg
cable-bay,https://upload.wikimedia.org/wikipedia/commons/f/fa/Beach_at_Porth_Trecastell_-_geograph.org.uk_-_7375813.jpg,5184,2912,CC BY-SA 2.0,Colin Park,https://commons.wikimedia.org/wiki/File:Beach_at_Porth_Trecastell_-_geograph.org.uk_-_7375813.jpg,Beach at Porth Trecastell - geograph.org.uk - 7375813.jpg
cable-bay,https://upload.wikimedia.org/wikipedia/commons/1/19/Cable_Bay_in_2012.JPG,4000,3000,CC BY-SA 3.0,Schwede66,https://commons.wikimedia.org/wiki/File:Cable_Bay_in_2012.JPG,Cable Bay in 2012.JPG
cable-bay,https://upload.wikimedia.org/wikipedia/commons/d/d9/Cable_Bay_info_panel_77.JPG,4000,3000,CC BY-SA 3.0,Schwede66,https://commons.wikimedia.org/wiki/File:Cable_Bay_info_panel_77.JPG,Cable Bay info panel 77.JPG
cable-bay,https://upload.wikimedia.org/wikipedia/commons/7/74/Cable_Bay_sample_of_original_telegraph_cable_78.JPG,4000,3000,CC BY-SA 3.0,Schwede66,https://commons.wikimedia.org/wiki/File:Cable_Bay_sample_of_original_telegraph_cable_78.JPG,Cable Bay sample of original telegraph cable 78.JPG
cable-bay,https://upload.wikimedia.org/wikipedia/commons/8/8b/Car_Park%2C_Porth_Trecastell_-_geograph.org.uk_-_7113287.jpg,1024,683,CC BY-SA 2.0,David Dixon,"https://commons.wikimedia.org/wiki/File:Car_Park,_Porth_Trecastell_-_geograph.org.uk_-_7113287.jpg","Car Park, Porth Trecastell - geograph.org.uk - 7113287.jpg"
cable-bay,https://upload.wikimedia.org/wikipedia/commons/d/dc/Isle_of_Anglesey_Coastal_Path_above_Porth_Trecastell_-_geograph.org.uk_-_3924289.jpg,4320,3240,CC BY-SA 2.0,Chris Heaton,https://commons.wikimedia.org/wiki/File:Isle_of_Anglesey_Coastal_Path_above_Porth_Trecastell_-_geograph.org.uk_-_3924289.jpg,Isle of Anglesey Coastal Path above Porth Trecastell - geograph.org.uk - 3924289.jpg
cable-bay,https://upload.wikimedia.org/wikipedia/commons/2/26/Porth_Terfyn_with_Porth_Trecastell_behind_-_geograph.org.uk_-_7375811.jpg,5184,2912,CC BY-SA 2.0,Colin Park,https://commons.wikimedia.org/wiki/File:Porth_Terfyn_with_Porth_Trecastell_behind_-_geograph.org.uk_-_7375811.jpg,Porth Terfyn with Porth Trecastell behind - geograph.org.uk - 7375811.jpg
cable-bay,https://upload.wikimedia.org/wikipedia/commons/b/b8/Porth_Trecastell_%28Cable_Bay%29_-_geograph.org.uk_-_6581657.jpg,4000,3000,CC BY-SA 2.0,Eirian Evans,https://commons.wikimedia.org/wiki/File:Porth_Trecastell_(Cable_Bay)_-_geograph.org.uk_-_6581657.jpg,Porth Trecastell (Cable Bay) - geograph.org.uk - 6581657.jpg
cable-bay,https://upload.wikimedia.org/wikipedia/commons/6/68/Porth_Trecastell_%28not_Cable_Bay%29_-_geograph.org.uk_-_4680255.jpg,4184,2789,CC BY-SA 2.0,Jeff Buck,https://commons.wikimedia.org/wiki/File:Porth_Trecastell_(not_Cable_Bay)_-_geograph.org.uk_-_4680255.jpg,Porth Trecastell (not Cable Bay) - geograph.org.uk - 4680255.jpg
lligwy,https://upload.wikimedia.org/wikipedia/commons/e/e5/Beach_Cafe%2C_Traeth_Lligwy_-_geograph.org.uk_-_4293748.jpg,1600,1200,CC BY-SA 2.0,Chris Andrews,"https://commons.wikimedia.org/wiki/File:Beach_Cafe,_Traeth_Lligwy_-_geograph.org.uk_-_4293748.jpg","Beach Cafe, Traeth Lligwy - geograph.org.uk - 4293748.jpg"
lligwy,https://upload.wikimedia.org/wikipedia/commons/3/35/Butterfly_and_Shrub_-_geograph.org.uk_-_577393.jpg,3888,2592,CC BY-SA 2.0,Jeff Buck,https://commons.wikimedia.org/wiki/File:Butterfly_and_Shrub_-_geograph.org.uk_-_577393.jpg,Butterfly and Shrub - geograph.org.uk - 577393.jpg
lligwy,https://upload.wikimedia.org/wikipedia/commons/3/31/Fish_weir%2C_Lligwy_beach.jpg,4128,2322,CC BY-SA 3.0,Richerman,"https://commons.wikimedia.org/wiki/File:Fish_weir,_Lligwy_beach.jpg","Fish weir, Lligwy beach.jpg"
lligwy,https://upload.wikimedia.org/wikipedia/commons/5/59/Gored%2C_Traeth_Lligwy_-_geograph.org.uk_-_6923596.jpg,1600,1200,CC BY-SA 2.0,Chris Andrews,"https://commons.wikimedia.org/wiki/File:Gored,_Traeth_Lligwy_-_geograph.org.uk_-_6923596.jpg","Gored, Traeth Lligwy - geograph.org.uk - 6923596.jpg"
lligwy,https://upload.wikimedia.org/wikipedia/commons/d/d0/LLigwy_Bay_Beach_%287991463044%29.jpg,4288,2848,CC BY-SA 2.0,"Darren Glanville from Acle, Norfolk, UK",https://commons.wikimedia.org/wiki/File:LLigwy_Bay_Beach_(7991463044).jpg,LLigwy Bay Beach (7991463044).jpg
lligwy,https://upload.wikimedia.org/wikipedia/commons/e/e4/Lligwy_Beach_-_geograph.org.uk_-_3178376.jpg,3648,2736,CC BY-SA 2.0,Christine Courtney,https://commons.wikimedia.org/wiki/File:Lligwy_Beach_-_geograph.org.uk_-_3178376.jpg,Lligwy Beach - geograph.org.uk - 3178376.jpg
lligwy,https://upload.wikimedia.org/wikipedia/commons/7/7b/Lligwy_Beach_Fish_Weir%2C_Moelfre.JPG,4000,3000,CC BY-SA 3.0,RobinLeicester,"https://commons.wikimedia.org/wiki/File:Lligwy_Beach_Fish_Weir,_Moelfre.JPG","Lligwy Beach Fish Weir, Moelfre.JPG"
