id,channel,content_type,route_or_slug,title,region,activity,commercial_tier,priority,status,launch_visible,owner,assigned_agent,source_count,source_urls,evidence_status,image_status,image_source_url,copy_status,seo_status,schema_status,commercial_review_status,safety_or_legal_status,last_generated_at,last_reviewed_at,next_review_due,published_at,blocker_reason,review_notes,quality_score,confidence_score
activity-location-brecon-beacons-mountain-biking,evergreen,activity_location,/brecon-beacons/things-to-do/mountain-biking,Brecon Beacons / Mountain Biking,brecon-beacons,mountain-biking,not_applicable,50,qa_needed,true,content-ops,,12,https://www.metoffice.gov.uk/weather/specialist-forecasts/mountain | https://www.mountain-forecast.com/ | https://www.bikeparkwales.com/hire | https://breconbikes.com/hire/ | http://bipedcycles.co.uk/cyclehire/ | https://breconbikes.com/ | http://bipedcycles.co.uk/ | https://www.bikeparkwales.com/shop | https://www.halfords.com/stores/1253-merthyr-tydfil | https://www.starinntalybont.co.uk/ | http://www.whitehartbrecon.co.uk/ | https://www.eatdrinksleep.ltd.uk/felin-fach-griffin/the-griffin/,sourced,needs_review,,needs_review,needs_review,needs_review,not_applicable,needs_review,,,,,,Existing combo enrichment file: data/combo-pages/brecon-beacons--mountain-biking.json,70,70
activity-location-brecon-beacons-wild-swimming,evergreen,activity_location,/brecon-beacons/things-to-do/wild-swimming,Brecon Beacons / Wild Swimming,brecon-beacons,wild-swimming,not_applicable,50,qa_needed,true,content-ops,,12,https://www.metoffice.gov.uk/ | https://www.mwis.org.uk/ | http://www.breconadventure.com/ | https://www.mountainwarehouse.com/ | https://www.trespass.com/ | https://eatdrinksleep.ltd.uk/felin-fach-griffin/ | https://www.yha.org.uk/hostel/yha-brecon-beacons | https://www.peterstone-court.com/ | http://www.oldrectoryllangorse.co.uk/ | https://www.breconbeacons.org/struttures/llwyn-y-fan-bunkhouse/ | https://www.llangorselake.co.uk/ | https://www.breconbeaconsultra.com/,sourced,needs_review,,needs_review,needs_review,needs_review,not_applicable,needs_review,,,,,,Existing combo enrichment file: data/combo-pages/brecon-beacons--wild-swimming.json,70,70
activity-location-gower-hiking,evergreen,activity_location,/gower/things-to-do/hiking,Gower / Hiking,gower,hiking,not_applicable,50,qa_needed,true,content-ops,,12,https://www.metoffice.gov.uk/weather/forecast/gcpvn102g | https://www.bbc.co.uk/weather/6201424 | https://www.cotswoldoutdoor.com/stores/swansea.html | https://www.trespass.com/ | https://www.mountainwarehouse.com/ | https://www.gooutdoors.co.uk/ | https://www.verdis-cafe.co.uk/ | https://www.rhossilibayhotel.co.uk/ | https://kingarthurhotel.co.uk/ | http://www.castellamare.co.uk/ | https://www.sabrain.com/pubs-and-hotels/south-wales/swansea/the-ship-inn/ | https://www.threecliffsbay.com/,sourced,needs_review,,needs_review,needs_review,needs_review,not_applicable,needs_review,,,,,,Existing combo enrichment file: data/combo-pages/gower--hiking.json,70,70
activity-location-gower-surfing,evergreen,activity_location,/gower/things-to-do/surfing,Gower / Surfing,gower,surfing,not_applicable,50,qa_needed,true,content-ops,,12,https://magicseaweed.com/Gower-Surf-Report/664/ | https://www.windguru.cz/10313 | http://llangennithsurf.com/ | https://ripnrock.com/ | https://www.pjsurfshop.co.uk/ | https://www.kingsheadgower.co.uk/ | https://www.thebaybistro.co.uk/ | https://www.theshipinnporteynon.co.uk/ | https://verdis.co.uk/ | https://www.gowercoastcamping.co.uk/ | https://www.nationaltrust.org.uk/holidays/hill-end-campsite-gower | https://kingarthurhotel.co.uk/,sourced,needs_review,,needs_review,needs_review,needs_review,not_applicable,needs_review,,,,,,Existing combo enrichment file: data/combo-pages/gower--surfing.json,70,70
activity-location-gower-wild-swimming,evergreen,activity_location,/gower/things-to-do/wild-swimming,Gower / Wild Swimming,gower,wild-swimming,not_applicable,50,qa_needed,true,content-ops,,12,https://www.metoffice.gov.uk/weather/forecast/gcpvn095g | https://magicseaweed.com/Gower-Surf-Report/780/ | https://www.pjs-surfshop.co.uk/ | https://oxwichwatersports.co.uk/ | https://www.shorelinesurfshop.co.uk/ | https://www.kingarthurhotel.co.uk/ | https://www.kingsheadgower.co.uk/ | https://www.verdis-cafe.co.uk/ | https://www.thebaybistro.co.uk/ | https://www.thegowerinn.com/ | https://www.beachhouseoxwich.co.uk/ | https://threecliffsbay.com/,sourced,needs_review,,needs_review,needs_review,needs_review,not_applicable,needs_review,,,,,,Existing combo enrichment file: data/combo-pages/gower--wild-swimming.json,70,70
activity-location-llyn-peninsula-surfing,evergreen,activity_location,/llyn-peninsula/things-to-do/surfing,Llyn Peninsula / Surfing,llyn-peninsula,surfing,not_applicable,50,qa_needed,true,content-ops,,12,https://magicseaweed.com/Llyn-Peninsula-Surf-Report/395/ | https://www.windguru.cz/3265 | https://www.westcoastsurf.co.uk/ | http://www.abersochwatersports.co.uk/ | https://www.thesuninnabersoch.co.uk/ | https://www.venetiaabersoch.com/ | https://www.tyn.cymru/ | https://www.porthtocynhotel.com/ | https://www.brynbachlogcabins.co.uk/ | https://www.campingandcaravanningclub.co.uk/sitefinder/sites/wales/gwynedd/abersoch/ | https://www.plasgwyn.co.uk/ | https://www.abersochwatersports.co.uk/,sourced,needs_review,,needs_review,needs_review,needs_review,not_applicable,needs_review,,,,,,Existing combo enrichment file: data/combo-pages/llyn-peninsula--surfing.json,70,70
activity-location-mid-wales-hiking,evergreen,activity_location,/mid-wales/things-to-do/hiking,Mid Wales / Hiking,mid-wales,hiking,not_applicable,50,qa_needed,true,content-ops,,12,https://www.metoffice.gov.uk/ | https://www.mwis.org.uk/ | https://summitcycles.co.uk/ | https://www.mountainwarehouse.com/ | https://www.gooutdoors.co.uk/ | https://www.millets.co.uk/ | https://www.number21.wales/ | https://www.hafodhotel.com/ | https://www.yffarmers.co.uk/ | https://www.georgeborrowhotel.co.uk/ | https://www.thewynnstay.com/bistro | https://www.cambriancampsite.co.uk/bryn-meurig-hostel/,sourced,needs_review,,needs_review,needs_review,needs_review,not_applicable,needs_review,,,,,,Existing combo enrichment file: data/combo-pages/mid-wales--hiking.json,70,70
activity-location-mid-wales-mountain-biking,evergreen,activity_location,/mid-wales/things-to-do/mountain-biking,Mid Wales / Mountain Biking,mid-wales,mountain-biking,not_applicable,50,qa_needed,true,content-ops,,12,https://www.metoffice.gov.uk/weather/specialist-forecasts/mountain | https://www.summitcycles.co.uk/ | https://www.theholeytrail.co.uk/ | http://www.beicsmenai.co.uk/ | https://www.number21aber.co.uk/ | https://www.yffarmers.co.uk/ | https://www.sabrain.com/whitehorsetavern | https://www.brynarth.co.uk/ | https://www.yha.org.uk/hostel/yha-danywenallt | https://www.thehafren.co.uk/ | http://www.midwalesglamping.co.uk/ | https://www.redkitechallenge.co.uk/,sourced,needs_review,,needs_review,needs_review,needs_review,not_applicable,needs_review,,,,,,Existing combo enrichment file: data/combo-pages/mid-wales--mountain-biking.json,70,70
activity-location-pembrokeshire-hiking,evergreen,activity_location,/pembrokeshire/things-to-do/hiking,Pembrokeshire / Hiking,pembrokeshire,hiking,not_applicable,50,qa_needed,true,content-ops,,12,https://www.metoffice.gov.uk/weather/forecast/uk/wales/pembrokeshire | https://www.bbc.co.uk/weather/2641170 | https://www.tyf.com/ | https://www.masimes.co.uk/ | https://www.tyf.com/shop | https://www.mountainwarehouse.com/ | https://www.thesloopinn.co.uk/ | http://www.cafe-mor.com/ | https://www.yha.org.uk/hostel/yha-st-davids | https://www.celtic-camping.co.uk/ | https://www.warpoolcourthotel.com/ | https://thegrove-narberth.co.uk/,sourced,needs_review,,needs_review,needs_review,needs_review,not_applicable,needs_review,,,,,,Existing combo enrichment file: data/combo-pages/pembrokeshire--hiking.json,70,70
activity-location-pembrokeshire-surfing,evergreen,activity_location,/pembrokeshire/things-to-do/surfing,Pembrokeshire / Surfing,pembrokeshire,surfing,not_applicable,50,qa_needed,true,content-ops,,12,https://magicseaweed.com/Pembrokeshire-Surf-Report/963/ | https://www.windguru.cz/68866 | https://www.newsurf.co.uk/ | https://www.thesloop.co.uk/ | https://www.druidstone.co.uk/ | https://bishopsstdavids.co.uk/ | https://www.reallywildemporium.co.uk/ | https://www.yha.org.uk/hostel/broad-haven | https://celtic-camping.co.uk/ | https://www.warpoolcourthotel.com/ | https://thegrove-narberth.co.uk/ | https://www.dinashouse.co.uk/,sourced,needs_review,,needs_review,needs_review,needs_review,not_applicable,needs_review,,,,,,Existing combo enrichment file: data/combo-pages/pembrokeshire--surfing.json,70,70
activity-location-pembrokeshire-wild-swimming,evergreen,activity_location,/pembrokeshire/things-to-do/wild-swimming,Pembrokeshire / Wild Swimming,pembrokeshire,wild-swimming,not_applicable,50,qa_needed,true,content-ops,,12,https://www.metoffice.gov.uk/weather/specialist-forecasts/coast-and-sea/inshore-waters-forecast | https://magicseaweed.com/Pembrokeshire-Surf-Report/70/ | https://www.tyf.com/ | https://www.outerreefsurfschool.com/ | https://www.masimes.co.uk/ | https://www.tyf.com/shop/ | https://www.coasttocoastwatersports.co.uk/ | https://www.westwaleswindsurfandsail.co.uk/ | https://sloopinn.co.uk/ | https://www.cafemor.co.uk/ | https://grainstdavids.com/ | https://www.yha.org.uk/hostel/yha-st-davids,sourced,needs_review,,needs_review,needs_review,needs_review,not_applicable,needs_review,,,,,,Existing combo enrichment file: data/combo-pages/pembrokeshire--wild-swimming.json,70,70
activity-location-snowdonia-caving,evergreen,activity_location,/snowdonia/things-to-do/caving,Snowdonia / Caving,snowdonia,caving,not_applicable,50,qa_needed,true,content-ops,,12,https://www.metoffice.gov.uk/weather/specialist-forecasts/mountain/snowdonia | https://www.mwis.org.uk/forecasts/english-welsh/ | https://www.joe-brown.com/ | https://v12outdoor.com/ | https://www.cotswoldoutdoor.com/ | https://www.ellis-brigham.com/ | https://www.theheightsllanberis.co.uk/ | https://www.yha.org.uk/hostel/yha-snowdon-pen-y-pass | https://www.plascurig.com/ | https://www.bryngloch.co.uk/ | https://www.royalvictoria.co.uk/ | https://www.pyg.co.uk/,sourced,needs_review,,needs_review,needs_review,needs_review,not_applicable,needs_review,,,,,,Existing combo enrichment file: data/combo-pages/snowdonia--caving.json,70,70
activity-location-snowdonia-gorge-walking,evergreen,activity_location,/snowdonia/things-to-do/gorge-walking,Snowdonia / Gorge Walking,snowdonia,gorge-walking,not_applicable,50,qa_needed,true,content-ops,,12,https://www.mwis.org.uk/ | https://www.metoffice.gov.uk/weather/specialist-forecasts/mountain | https://v12outdoor.com/ | https://www.joe-brown.com/ | https://www.ellis-brigham.com/ | https://www.cotswoldoutdoor.com/ | https://www.cobdenshotel.co.uk/ | https://www.uglyhouse.co.uk/ | https://theheights-hotel.co.uk/ | https://saracens-head-hotel.co.uk/ | https://www.yha.org.uk/hostel/yha-plas-curig | https://www.bryntyrchinn.co.uk/,sourced,needs_review,,needs_review,needs_review,needs_review,not_applicable,needs_review,,,,,,Existing combo enrichment file: data/combo-pages/snowdonia--gorge-walking.json,70,70
activity-location-snowdonia-hiking,evergreen,activity_location,/snowdonia/things-to-do/hiking,Snowdonia / Hiking,snowdonia,hiking,not_applicable,50,qa_needed,true,content-ops,,12,https://www.mwis.org.uk/ | https://www.metoffice.gov.uk/weather/specialist-forecasts/mountain | https://www.joe-brown.com/ | https://v12outdoor.com/ | https://www.cotswoldoutdoor.com/ | https://www.ellis-brigham.com/ | https://www.moelsiabodcafe.co.uk/ | https://www.y-stablau.co.uk/ | https://www.heights-hotel.co.uk/ | https://www.bryntyrchinn.co.uk/ | https://www.yha.org.uk/hostel/yha-snowdon-pen-y-pass | https://www.bryndinas.co.uk/,sourced,needs_review,,needs_review,needs_review,needs_review,not_applicable,needs_review,,,,,,Existing combo enrichment file: data/combo-pages/snowdonia--hiking.json,70,70
activity-location-snowdonia-kayaking,evergreen,activity_location,/snowdonia/things-to-do/kayaking,Snowdonia / Kayaking,snowdonia,kayaking,not_applicable,50,qa_needed,true,content-ops,,12,https://www.mwis.org.uk/forecasts/english-welsh/ | https://www.ukriversguidebook.co.uk/ | https://rivers-and-seas.naturalresources.wales/ | https://www.balawatersports.com | https://www.snowdoniawatersports.com | https://pyb.co.uk | https://www.joe-brown.com/ | https://v12outdoor.com/ | https://summittosea.co.uk/ | https://www.caffisiabod.com/ | https://pyb.co.uk/ | https://gwynant.com/,sourced,needs_review,,needs_review,needs_review,needs_review,not_applicable,needs_review,,,,,,Existing combo enrichment file: data/combo-pages/snowdonia--kayaking.json,70,70
activity-location-snowdonia-mountain-biking,evergreen,activity_location,/snowdonia/things-to-do/mountain-biking,Snowdonia / Mountain Biking,snowdonia,mountain-biking,not_applicable,50,qa_needed,true,content-ops,,12,https://www.mwis.org.uk/ | https://www.metoffice.gov.uk/ | https://beicsbrenin.co.uk/ | https://www.anturstiniog.com/bike-hire/ | http://www.beicsbetws.co.uk/ | https://summittosea.co.uk/ | https://www.crossfoxes.co.uk/ | https://tysiamas.cymru/en/about-us/ | https://www.caffisiabod.com/ | https://hangin.co.uk/ | https://www.plasbrondanw.com/cafe-shop/ | https://www.yha.org.uk/hostel/yha-coed-y-brenin,sourced,needs_review,,needs_review,needs_review,needs_review,not_applicable,needs_review,,,,,,Existing combo enrichment file: data/combo-pages/snowdonia--mountain-biking.json,70,70
activity-location-south-wales-mountain-biking,evergreen,activity_location,/south-wales/things-to-do/mountain-biking,South Wales / Mountain Biking,south-wales,mountain-biking,not_applicable,50,qa_needed,true,content-ops,,12,https://www.metoffice.gov.uk/weather/forecast/gcmszc86c | https://www.mwis.org.uk/ | https://www.skylinecycles.co.uk/ | https://www.bikeparkwales.com/ | https://unsplash.com/photos/96Eb3YHQPwc | https://unsplash.com/photos/CWq4F0TD-eo | https://unsplash.com/photos/S9L47l_iYv8 | https://unsplash.com/photos/Fsej0JTQDUQ | https://unsplash.com/photos/x6ewchtit4k | https://unsplash.com/photos/x-NMfz8As04 | https://unsplash.com/photos/-antaPzkGGs | https://unsplash.com/photos/WermkM0dFho,sourced,needs_review,,needs_review,needs_review,needs_review,not_applicable,needs_review,,,,,,Existing combo enrichment file: data/combo-pages/south-wales--mountain-biking.json,70,70
activity-location-south-wales-surfing,evergreen,activity_location,/south-wales/things-to-do/surfing,South Wales / Surfing,south-wales,surfing,not_applicable,50,qa_needed,true,content-ops,,12,https://www.windguru.cz/2206 | https://magicseaweed.com/Rest-Bay-Surf-Report/735/ | https://www.porthcawlsurf.co.uk/ | https://southwalessurfschool.co.uk/ | https://driftsurf.co.uk/ | https://www.surflines.co.uk/ | https://www.sabrain.com/pubs-and-hotels/south-wales/bridgend/the-waterfront | http://www.hitideinn.com/ | https://www.seabankhotel.co.uk/ | https://www.parkdeanresorts.co.uk/location/south-wales/trecco-bay/ | https://www.southwalessurfschool.co.uk/ | https://www.freewavesurfacademy.co.uk/,sourced,needs_review,,needs_review,needs_review,needs_review,not_applicable,needs_review,,,,,,Existing combo enrichment file: data/combo-pages/south-wales--surfing.json,70,70
operator-antur-stiniog,commercial,operator,/directory/antur-stiniog,Antur Stiniog,,,strategic_big_player_or_launch_priority,47,researched,true,content-ops,,5,https://www.anturstiniog.com | https://www.tripadvisor.com/Attraction_Review-g674812-d7207052-Reviews-Antur_Stiniog-Blaenau_Ffestiniog_Snowdonia_Eryri_National_Park_North_Wales_Wales.html | https://www.anturstiniog.com/contact | https://www.anturstiniog.com/mountain-bike-uplift-wales | https://www.anturstiniog.com/mountain-bike-hire-wales,sourced,missing,,needs_review,needs_review,needs_review,needs_review,not_applicable,2026-07-03,,,,"Operator ""Antur Stiniog"" missing: no cover image | Operator ""Antur Stiniog"" missing: no cover image",Audit gap: Fill 1 missing fields | Research output exists: data/research/content-ops/operator-antur-stiniog.json. Audit gap: Fill 1 missing fields,68,70
operator-bikepark-wales,commercial,operator,/directory/bikepark-wales,Bikepark Wales,,,strategic_big_player_or_launch_priority,47,researched,true,content-ops,,9,https://www.bikeparkwales.com/ | https://www.tripadvisor.com/Attraction_Review-g1474085-d6109112-Reviews-Bike_Park_Wales-Merthyr_Tydfil_Merthyr_Tydfil_County_South_Wales_Wales.html | https://www.bikeparkwales.com/contact | https://www.bikeparkwales.com/find-us | https://www.breconbeaconstourism.org/business/bike-park-wales/ | https://www.breconbeacons.org/business/activity-bike-park-wales | https://bannaubrycheiniog.org/businesses/bike-park-wales/ | https://www.mbwales.com/agents/brecon-beacons/ | https://wanderlog.com/place/details/334644/bikepark-wales,sourced,missing,,needs_review,needs_review,needs_review,needs_review,not_applicable,2026-07-03,,,,"Operator ""BikePark Wales"" missing: no cover image | Operator ""BikePark Wales"" missing: no cover image",Audit gap: Fill 1 missing fields | Research output exists: data/research/content-ops/operator-bikepark-wales.json. Audit gap: Fill 1 missing fields,68,70
operator-coed-y-brenin-nrw,commercial,operator,/directory/coed-y-brenin-nrw,Coed Y Brenin Nrw,,,strategic_big_player_or_launch_priority,47,researched,true,content-ops,,6,https://naturalresources.wales/days-out/places-to-visit/north-west-wales/coed-y-brenin-visitor-centre/?lang=en | https://www.tripadvisor.co.uk/Attraction_Review-g552002-d295831-Reviews-Coed_y_Brenin_Forest_Park-Ganllwyd_Gwynedd_North_Wales_Wales.html | https://www.beicsbrenin.co.uk/visitor-centre/. | https://www.beicsbrenin.co.uk/visitor-centre/ | https://en.wikipedia.org/wiki/Coed-y-Brenin | https://www.mbwales.com/agents/coed-y-brenin/,sourced,missing,,needs_review,needs_review,needs_review,needs_review,not_applicable,2026-07-03,,,,"Operator ""Coed y Brenin (NRW)"" missing: no cover image | Operator ""Coed y Brenin (NRW)"" missing: no cover image",Audit gap: Fill 1 missing fields | Research output exists: data/research/content-ops/operator-coed-y-brenin-nrw.json. Audit gap: Fill 1 missing fields,68,70
