slug,name,region,lat,lon,distance_km,ascent_m,route_type,time_hours,terrain,difficulty,scramble_grade,os_map,parking,parking_lat,parking_lon,parking_cost,facilities,dog_friendly,waymarked,best_season,hazards,highlights,quality_score,tier,description,tags_audience,tags_features,tags_conditions,best_for
y-garn-ogwen,Y Garn via Devil's Kitchen,snowdonia,53.1230,-4.0150,7,700,Circular,4-5,Mountain Path,Hard,None,OL17,Ogwen Cottage,,,,Cafe|Toilets,Yes,Partial,Spring-Autumn,Steep,Devil's Kitchen|Views,93,Classic,Great circular route visiting the dramatic Devil's Kitchen chasm. Best views of Tryfan.,experienced-hikers,cafe|circular|dog-friendly|toilets,,views
carneddau-ogwen,Carnedd Llewelyn & Dafydd,snowdonia,53.1240,-4.0150,15,950,Circular,6-8,Mountain Path,Hard,None,OL17,Ogwen (A5),,,,Toilets,Yes,No,Summer,Navigation|Weather,Remoteness|High Plateau,94,Classic,High level ridge walk over the second and third highest peaks in Wales.,experienced-hikers,circular|dog-friendly|toilets,clear-weather-only|navigation-skills,ridge-walking|solitude
carneddau-aber-falls,Carneddau via Aber Falls,snowdonia,53.2190,-4.0130,16,850,Circular,6-7,Grass|Path,Moderate,None,OL17,Aber Falls Car Park,,,,Toilets,Yes,Partial,Spring-Autumn,Navigation,Waterfall|Drum,89,Gem,Longer approach passing the famous falls and ascending Drum and Foel Fras.,,circular|dog-friendly|toilets,navigation-skills,waterfalls
cadair-idris-pony,Cadair Idris Pony Path,snowdonia,52.7089,-3.8689,10,700,Out and back,4-6,Mountain Path,Moderate,None,OL23,Ty Nant,,,,Toilets,Yes,Yes,Spring-Autumn,Steep,The Chair|Views South,93,Classic,The classic easier side of Cadair Idris. Good path but steep finish.,,dog-friendly|linear|toilets|waymarked,,views
cadair-idris-minffordd,Cadair Idris Minffordd Path,snowdonia,52.6889,-3.8989,9.5,850,Circular,5-6,Steps|Path,Hard,None,OL23,Minffordd,,,,Cafe|Toilets,No,Yes,Spring-Autumn,Steep Steps,Llyn Cau|Ridges,96,Classic,Spectacular route via the rim of Cwm Cau. Steep steps to start.,experienced-hikers,cafe|circular|toilets|waymarked,,lakes|ridge-walking
cnicht-croesor,Cnicht (Welsh Matterhorn),snowdonia,52.9820,-4.0500,7.5,550,Circular,3-4,Grass|Rocky,Moderate,None,OL17,Croesor,,,,None,Yes,Partial,Spring-Autumn,Boggy,Pointy Summit|Views,92,Gem,Looks like the Matterhorn from Porthmadog. lovely ridge walk.,,circular|dog-friendly,boggy,ridge-walking|views
moel-siabod-daear-ddu,Moel Siabod via Daear Ddu,snowdonia,53.0678,-3.8989,10,700,Circular,4-5,Scramble|Path,Hard,1,OL17,Pont Cyfyng,,,,Cafe nearby,No,No,Summer,Scrambling|Bog,Views of Snowdon|Ridge,94,Gem,Superb Grade 1 scramble on the ridge. Best view of the Snowdon Horseshoe.,experienced-hikers|scramblers,cafe|circular,boggy|exposed,ridge-walking|views
rhinog-fawr-roman-steps,Rhinog Fawr via Roman Steps,snowdonia,52.8710,-4.0450,8,700,Out and back,4-6,Rough|Heather,Hard,None,OL18,Cwm Bychan,,,,None,No,No,Summer,Rough Terrain,Wilderness|Roman Steps,88,Wild,Rugged and remote. The Roman Steps are ancient medieval packhorse route.,experienced-hikers,linear,,solitude
rhinog-fach-llethr,Rhinog Fach & Y Llethr,snowdonia,52.8350,-4.0880,11,800,Circular,5-7,Rough|Wall,Severe,None,OL18,Cwm Nantcol,,,,None,No,No,Summer,Navigation|Rough,Llyn Hywel|Wilderness,90,Wild,Truly wild terrain. Heather bashing and rocky outcrops. For experienced walkers.,experienced-hikers,circular,navigation-skills,lakes|solitude
nantlle-ridge,Nantlle Ridge,snowdonia,53.0537,-4.1378,13,850,Linear,6-7,Ridge|Scramble,Hard,1,OL17,Rhyd Ddu,,,,Toilets,No,No,Summer,Scrambling|Exposure,Ridge Walk|Views,95,Classic,One of the best ridge walks in Wales. Usually done linear to Nebo.,experienced-hikers|scramblers,linear|toilets,exposed,ridge-walking|views
moel-hebog,Moel Hebog from Beddgelert,snowdonia,53.0120,-4.1010,9,750,Circular,4-5,Steep Path,Hard,None,OL17,Beddgelert,,,,Cafe|Toilets,Yes,Partial,Spring-Autumn,Steep,Village Views|Coast Views,89,Classic,Domineering peak over Beddgelert. Steep ascent but great views.,experienced-hikers,cafe|circular|dog-friendly|toilets,,views
yr-aran,Yr Aran,snowdonia,53.0240,-4.0490,10,750,Out and back,4-5,Grass|Path,Moderate,None,OL17,Bethania,,,,None,Yes,Partial,Spring-Autumn,Boggy,Quiet|Snowdon Views,87,Gem,The overlooked peak south of Snowdon. Great solitude.,,dog-friendly|linear,boggy,solitude|views
arenig-fawr,Arenig Fawr,snowdonia,52.9370,-3.7380,10,600,Out and back,4-5,Heather|Path,Moderate,None,OL18,Llyn Celyn,,,,None,Yes,No,Spring-Autumn,Pathless,Memorial|Isolation,88,Wild,Lonely mountain with a bothy memorial. superb panorama.,,dog-friendly|linear,navigation-skills,
aran-fawddwy,Aran Fawddwy,snowdonia,52.8530,-3.6740,15,900,Out and back,6-7,Ridge|Grass,Hard,None,OL23,Llanuwchllyn,,,,Pub,Yes,No,Summer,Boggy|Navigation,Highest in South|Ridge,91,Classic,Higher than Cadair Idris but much quieter. Long ridge walk.,experienced-hikers,dog-friendly|linear|pub,boggy|navigation-skills,ridge-walking
tal-y-fan,Tal y Fan,snowdonia,53.2500,-3.9000,8,450,Circular,3-4,Grass|Track,Moderate,None,OL17,Sychnant Pass,,,,None,Yes,Partial,Year-round,Navigation,Coast Views|Ancient Sites,86,Gem,Northernmost 2000ft peak. Views to Llandudno and Conwy.,,circular|dog-friendly,navigation-skills,views
mynydd-mawr,Mynydd Mawr (Elephant Mtn),snowdonia,53.0537,-4.1378,9,650,Circular,4-5,Grass|Forest,Moderate,None,OL17,Rhyd Ddu,,,,Toilets,Yes,Partial,Spring-Autumn,Steep,Views of Nantlle Ridge,88,Gem,Great standalone peak with views into the Nantlle Ridge.,,circular|dog-friendly|toilets,,ridge-walking|views
elidir-fawr,Elidir Fawr,snowdonia,53.1100,-4.0780,8,900,Out and back,4-5,Scree|Grass,Hard,None,OL17,Nant Peris,,,,Pub,No,No,Summer,Loose Scree,Electric Mountain|Views,87,Gem,Steep cone. Famous for the slate quarries and power station inside.,experienced-hikers,linear|pub,,views
moel-eilio,Moel Eilio Ridge,snowdonia,53.1190,-4.1250,10,700,Circular,4-5,Grass Ridge,Moderate,None,OL17,Llanberis,,,,Cafe|Toilets,Yes,Yes,Year-round,Wind,Easy Ridge|Sunset,89,Local,Lovely grassy ridge walk overlooking Llanberis. Great for sunsets.,,cafe|circular|dog-friendly|toilets|waymarked,,ridge-walking
moelwyn-mawr,Moelwyn Mawr,snowdonia,52.9850,-3.9600,10,650,Circular,4-5,Rocky|Grass,Moderate,None,OL17,Tanygrisiau,,,,Cafe,Yes,Partial,Spring-Autumn,Quarries,Slate History|Views,88,Gem,Interesting mix of industrial heritage and mountain wilderness.,,cafe|circular|dog-friendly,,history|views
drum-foel-fras,Drum and Foel Fras,snowdonia,53.2190,-4.0130,18,800,Circular,6-7,Grass|Track,Moderate,None,OL17,Abergwyngregyn,,,,Toilets,Yes,No,Summer,Remote|Navigation,Solitude|Wild Ponies,87,Wild,The remote northern end of the Carneddau. Very quiet.,,circular|dog-friendly|toilets,navigation-skills,solitude
