slug,name,region,lat,lon,distance_km,ascent_m,difficulty,time_hours,route_type,terrain,highlights,dog_friendly,family_friendly,buggy_friendly,parking_lat,parking_lon,parking_cost,facilities,waymarked,map_os,best_season,hazards,description
skirrid-fawr,The Skirrid (Skirrid Fawr),brecon-beacons,51.8483,-2.9753,6.0,300,moderate,2-3,circular,hill-path,"views|history|landslide",true,older-kids,false,51.8389,-2.9806,paid,none,yes,OL13,year-round,"steep-start|mud","The 'Holy Mountain'. Steep initial climb through woods then open ridge. Famous for its landslide scar and ruined chapel on summit."
blorenge,The Blorenge,brecon-beacons,51.7917,-3.0417,11.0,450,moderate,3-4,circular,moorland,"views|industrial-history|lake",true,older-kids,false,51.7917,-3.0764,free,none,partial,OL13,year-round,"weather|boggy","Diverse walk overlooking Abergavenny. Takes in the Keeper's Pond, industrial heritage, and open moorland. Great views of Sugar Loaf."
table-mountain-crickhowell,Table Mountain (Crug Hywel),brecon-beacons,51.8767,-3.1367,7.0,380,moderate,3,circular,hill-path,"views|iron-age-fort|town-start",true,kids,false,51.8600,-3.1383,paid,cafe|toilets,yes,OL13,year-round,"steep-sections","Start from Crickhowell village. Climb to the flat-topped summit with Iron Age hillfort. Stunning views over Usk Valley."
hay-bluff,Hay Bluff,brecon-beacons,52.0289,-3.1114,5.0,250,moderate,2-3,circular,hill-path,"views|border-walk|open-ridge",true,older-kids,false,52.0225,-3.1092,free,none,no,OL13,year-round,"weather|wind","Prominent bluff overlooking Hay-on-Wye. Steep start then flat ridge. Often combined with Twmpa."
lord-herefords-knob,Twmpa (Lord Hereford's Knob),brecon-beacons,52.0125,-3.1208,6.0,250,moderate,2.5,circular,hill-path,"views|ridge-walk",true,older-kids,false,52.0225,-3.1092,free,none,no,OL13,year-round,"weather","Opposite Hay Bluff across Gospel Pass. Great views into the secluded valleys. Can be done with Hay Bluff for a longer day."
waun-fach-dragons-back,Waun Fach & The Dragon's Back,brecon-beacons,51.9644,-3.1583,12.0,700,challenging,5,circular,mountain-path,"ridge-walk|highest-peak|views",true,teens,false,51.9619,-3.1883,paid,pub,partial,OL13,spring-autumn,"boggy|weather","Highest peak in the Black Mountains. Ascend via the undulating 'Dragon's Back' ridge from Pengenffordd. Classic route."
craig-cerrig-gleisiad,Craig Cerrig Gleisiad,brecon-beacons,51.8667,-3.4833,5.0,300,moderate,2,circular,mountain-path,"wildlife|glacial-cwm|quiet",true,older-kids,false,51.8667,-3.4833,free,none,partial,OL12,spring-autumn,"steep-sections","Nature reserve with dramatic glacial cwm. Great alternative to Pen y Fan. Rich in wildflowers and birdlife (Ring Ouzel)."
henrhyd-falls,Henrhyd Falls & Nant Llech,brecon-beacons,51.7967,-3.6639,5.0,200,easy-moderate,2,out-and-back,woodland-path,"tallest-waterfall|batman-cave",true,kids,false,51.7967,-3.6639,free,none,yes,OL12,year-round,"slippery-rocks|mud","Visit South Wales' highest waterfall (Batcave location). Walk down the Nant Llech valley for a peaceful woodland stroll."
llyn-y-fan-fawr,Llyn y Fan Fawr,brecon-beacons,51.8667,-3.6833,10.0,550,moderate,4,circular,mountain-path,"lake|remote|wild-swimming",true,older-kids,false,51.8417,-3.6583,free,none,no,OL12,spring-autumn,"weather|boggy","The larger, wilder lake. Start from Tafarn-y-Garreg. Steep climb up to the escarpment. Very remote feel."
tor-y-foel,Tor y Foel,brecon-beacons,51.8667,-3.2833,8.0,350,moderate,3,circular,hill-path,"reservoir-views|canal",true,older-kids,false,51.8500,-3.2833,free,cafe,partial,OL13,year-round,"mud","Overlooks Talybont Reservoir. Mix of canal towpath, woodland, and open hill. Panoramic views from summit."
ysgyryd-fach,Ysgyryd Fach (Little Skirrid),brecon-beacons,51.8250,-2.9917,5.0,200,easy,2,circular,woodland-path,"views|quiet|woods",true,kids,false,51.8250,-2.9917,free,none,partial,OL13,year-round,"mud","The smaller neighbour to the Skirrid. Gentle walk with nice views over Abergavenny. Good for a quick stretch."
fan-gyhirych,Fan Gyhirych,brecon-beacons,51.8583,-3.6333,10.0,500,moderate,4,circular,mountain-path,"views|quiet|geology",true,older-kids,false,51.8333,-3.6333,free,none,no,OL12,spring-autumn,"navigation","Lesser known peak in Fforest Fawr. Great views of the Fans. Interesting geology and sinkholes."
pen-y-crug,Pen y Crug,brecon-beacons,51.9583,-3.4000,5.0,200,easy,1.5,circular,hill-path,"views|hillfort|easy-access",true,kids,false,51.9500,-3.4000,free,none,yes,OL12,year-round,"livestock","Short walk from Brecon town. Iron Age hillfort with commanding views of the central Beacons."
talybont-reservoir,Talybont Reservoir Walk,brecon-beacons,51.8833,-3.2833,9.0,100,easy,2.5,linear,forest-track,"reservoir|flat|birdwatching",true,all-ages,true,51.8500,-3.2833,free,toilets,yes,OL12,year-round,"logging-trucks","Flat walk along the old railway line/forestry track beside the reservoir. Great for families and buggies."
llanthony-priory,Llanthony Priory Circular,brecon-beacons,51.9417,-3.0333,8.0,400,moderate,3,circular,hill-path,"ruins|history|views",true,older-kids,false,51.9417,-3.0333,free,pub|toilets,partial,OL13,spring-autumn,"steep-climb","Start at the stunning priory ruins. Climb the valley sides for views of the Black Mountains. Finish with a drink in the cellar bar."
