name,region,lat,lon,nearby_spots,bike_spaces,bus_connections,adventure_notes
Holyhead,North Wales,53.3060,-4.6320,holyhead-mountain|south-stack,"4 spaces (Avanti)","4, X4","Terminus for ferries to Dublin. Access to Holyhead Mountain and South Stack cliffs."
Bodorgan,Anglesey,53.2100,-4.4200,malltraeth-sands|newborough-forest,2 spaces,"42, 43","Closest station to Newborough Forest and Llanddwyn Island (requires walk/cycle)."
Rhosneigr,Anglesey,53.2320,-4.5120,rhosneigr-beach|cymyran-strait,2 spaces,28,"Walking distance to one of the UK's best windsurfing and kitesurfing beaches."
Ty Croes,Anglesey,53.2300,-4.4800,anglesey-circuit|coastal-path,2 spaces,28,"Access to the Anglesey Coastal Path on the western side."
Machynlleth,Mid Wales,52.5930,-3.8490,dyfi-bike-park|cadair-idris-south,4 spaces,"T2, T12, X27","Adventure capital of Mid Wales. Hub for Dyfi Bike Park and Cadair Idris access."
Dovey Junction,Mid Wales,52.5590,-3.9310,dyfi-biosphere|rspb-ynys-hir,2 spaces,None,"Remote interchange accessible only by path. Birdwatching and wilderness walking."
Borth,Mid Wales,52.4890,-4.0510,ynyslas-dunes|borth-beach,2 spaces,512,"Station right by the beach. Access to Ynyslas sand dunes and submerged forest."
Aberystwyth,Mid Wales,52.4140,-4.0810,ceredigion-coast-path|constitution-hill,4 spaces,"T1, T2, T5, 512","Major hub for Ceredigion. Start of the Ceredigion Coast Path and Vale of Rheidol Railway."
Tywyn,Mid Wales,52.5860,-4.0860,talyllyn-railway|bird-rock,2 spaces,24,"Connection to Talyllyn steam railway for hiking in the Dysynni Valley."
Llwyngwril,Mid Wales,52.6650,-4.0910,coastal-path|castell-y-gaer,2 spaces,28,"Quiet coastal village with steep access to the coast path and prehistoric sites."
Fairbourne,Mid Wales,52.6970,-4.0500,blue-lake|mawddach-trail,2 spaces,28,"Access to the Blue Lake quarry and the start of the Mawddach Trail."
Morfa Mawddach,Mid Wales,52.7050,-4.0370,mawddach-trail|barmouth-bridge,2 spaces,28,"Request stop at the end of Barmouth Bridge. Iconic estuary walking and cycling."
Barmouth,Mid Wales,52.7210,-4.0560,panorama-walk|cadair-idris-pony-path,2 spaces,T3,"Seaside resort with direct access to the Panorama Walk and ferry to Penmaenpool."
Dyffryn Ardudwy,Mid Wales,52.7840,-4.0960,dyffryn-beach|burial-chambers,2 spaces,39,"Access to vast sand dunes and Neolithic burial chambers."
Harlech,Mid Wales,52.8600,-4.1080,harlech-castle|rhinogs,2 spaces,"38, 39","Steep walk up to the castle. Good base for exploring the rugged Rhinog mountains."
Minffordd,North Wales,52.9300,-4.0670,portmeirion|traeth-bach,2 spaces,"T2, 1B","Interchange for Portmeirion village and the Ffestiniog Railway."
Porthmadog,North Wales,52.9320,-4.1260,glaslyn-osprey|welsh-highland-railway,2 spaces,"T2, S4","Hub for the Welsh Highland Railway to Beddgelert and Snowdon."
Criccieth,North Wales,52.9170,-4.2340,criccieth-castle|llyn-coast,2 spaces,3,"Victorian seaside town with a castle. Access to the eastern Llyn Peninsula."
Pwllheli,North Wales,52.8880,-4.4170,llyn-coastal-path|abersoch-access,2 spaces,"3, 8, 12, 17, 27","Terminus for the Cambrian Coast line. Bus hub for the entire Llyn Peninsula."
Fishguard & Goodwick,Pembrokeshire,52.0060,-4.9860,pembrokeshire-coast-path-north|strumble-head,2 spaces,T5,"Access to the rugged North Pembrokeshire coast and ferry to Ireland."
Haverfordwest,Pembrokeshire,51.8040,-4.9680,st-davids|newgale,2 spaces,"T11, 411, 349","County town hub. Buses to St Davids, Broad Haven, and Newgale surf beach."
Milford Haven,Pembrokeshire,51.7160,-5.0340,marloes-sands|dale-peninsula,2 spaces,"356, 307","Access to the Cleddau waterway and buses to the Dale peninsula."
Tenby,Pembrokeshire,51.6710,-4.7070,tenby-beaches|caldey-island,2 spaces,349,"Popular resort with direct access to beaches and boat trips to Caldey Island."
Saundersfoot,Pembrokeshire,51.7100,-4.7040,coastal-path|wisemans-bridge,2 spaces,381,"Walkable to the village and beach. Great section of the coast path with tunnels."
Pembroke,Pembrokeshire,51.6720,-4.9120,pembroke-castle|freshwater-west,2 spaces,387,"Historic castle town. Bus link to Freshwater West surfing beach."
Carmarthen,South Wales,51.8540,-4.3060,brechfa-forest|botanic-garden,2 spaces,"T1, 460, 222","Major transport hub. Gateway to West Wales and Brechfa Forest trails."
Llanelli,South Wales,51.6780,-4.1610,millennium-coastal-path|wetlands-centre,2 spaces,"111, L1","Direct access to the flat, traffic-free Millennium Coastal Path."
Gowerton,South Wales,51.6430,-4.0370,gower-peninsula-north|cedi-ridge,2 spaces,16,"Northern gateway to the Gower Peninsula Area of Outstanding Natural Beauty."
Swansea,South Wales,51.6250,-3.9410,gower-peninsula|mumbles,"4 spaces","118, 119, 2A, 3A","City hub. Direct buses to all Gower beaches including Rhossili and Llangennith."
Neath,South Wales,51.6620,-3.8050,afan-forest|waterfall-country,2 spaces,"T6, X7","Bus links to Waterfall Country (Pontneddfechan) and Afan Forest."
Port Talbot Parkway,South Wales,51.5930,-3.7780,afan-forest-park|margam-park,4 spaces,83,"Nearest mainline station to Afan Forest Park mountain biking centre."
Merthyr Tydfil,South Wales,51.7450,-3.3780,bikepark-wales|pen-y-fan,2 spaces,"T4, T14, 78","Closest station to BikePark Wales and bus links to Pen y Fan."
Abergavenny,South Wales,51.8190,-3.0070,sugar-loaf|black-mountains,2 spaces,"X43, 43","Perfect base for walking the Sugar Loaf, Skirrid, and Blorenge mountains."
Chepstow,South Wales,51.6390,-2.6740,wye-valley|offas-dyke-path,2 spaces,69,"Southern terminus of Offa's Dyke Path and gateway to the Wye Valley."
Llandovery,Mid Wales,51.9940,-3.7970,black-mountain-west|carmarthen-fans,2 spaces,X13,"Access to the remote western Brecon Beacons and Carmarthen Fans."
Knighton,Mid Wales,52.3440,-3.0480,offas-dyke-centre|glyndwrs-way,2 spaces,41,"Station located right on the Offa's Dyke Path. Home of the trail centre."
Llandrindod,Mid Wales,52.2400,-3.3790,elanter-valley-nearby|spa-town-walks,2 spaces,"T4, 461","Victorian spa town with local walking trails and bus links to Elan Valley."
Llanwrtyd,Mid Wales,52.1060,-3.6390,bog-snorkelling|cambrian-mountains,2 spaces,None,"Home of bog snorkelling. Mountain biking and walking in the Cambrian Mountains."
Sugar Loaf,Mid Wales,52.0620,-3.6660,sugar-loaf-viewpoint,2 spaces,None,"Remote request stop for hikers. Access to the Sugar Loaf viewpoint (not the mountain)."
Pontypool & New Inn,South Wales,51.6960,-3.0230,llandegfedd-reservoir|brecon-canal,2 spaces,X24,"Access to Llandegfedd Reservoir for watersports and fishing."
Rhymney,South Wales,51.7610,-3.2840,brecon-beacons-south,2 spaces,X38,"Valley line terminus with access to the southern edge of the Brecon Beacons."
Treherbert,South Wales,51.6680,-3.5350,rhigos-mountain|pen-prych,2 spaces,172,"Valley terminus below the Rhigos mountain. Waterfalls access nearby."
Barry Island,South Wales,51.3910,-3.2730,barry-island-beach|wales-coast-path,2 spaces,95,"Classic seaside destination with beach and coast path access."
Aberdare,South Wales,51.7140,-3.4420,dare-valley-country-park,2 spaces,6,"Direct access to Dare Valley Country Park and trails."
Bridgend,South Wales,51.5070,-3.5760,merthyr-mawr|heritage-coast,4 spaces,"303, X2","Hub for buses to the Glamorgan Heritage Coast and Merthyr Mawr dunes."
Pembrey & Burry Port,South Wales,51.6830,-4.2500,pembrey-country-park|cefne-sidan,2 spaces,"X11, 195","Walking distance to Pembrey Country Park and its 8-mile beach."
Ferryside,South Wales,51.7680,-4.3680,towy-estuary|llansteffan-castle,2 spaces,197,"Scenic estuary station. Ferry crossing (seasonal) to Llansteffan Castle."
Kidwelly,South Wales,51.7340,-4.3090,kidwelly-castle|kymer-canal,2 spaces,197,"Famous medieval castle and canal walks nearby."
Chirk,North Wales,52.9340,-3.0560,chirk-castle|llangollen-canal,2 spaces,"2, T12","Access to Chirk Castle and the Llangollen Canal aqueduct."
Ruabon,North Wales,52.9860,-3.0360,llangollen-railway|pontcysyllte,2 spaces,"5, T3","Bus link to Llangollen and the World Heritage Pontcysyllte Aqueduct."
Flint,North Wales,53.2470,-3.1360,dee-estuary|flint-castle,2 spaces,11,"Coastal path access along the Dee Estuary and historic castle."
