Pub Name,Region,Location,Website,Phone,Food Served,Real Ale,Dog Friendly,Muddy Boots,Fireplace,Beer Garden,Sunday Roast,Near Attraction,Google Rating,Price Level,description
The Skirrid Mountain Inn,Brecon Beacons,Llanvihangel Crucorney,http://www.skirridmountaininn.co.uk,01873 890258,Yes,Yes,Yes,Yes,Yes,Yes,Yes,The Skirrid,4.5,££,"Reputedly the oldest and most haunted pub in Wales. It has a grim history (it was used as a courtroom and hanging place), but today it offers a warm welcome and good food to those walking the Skirrid."
The Tai'r Bull,Brecon Beacons,Libanus,https://www.tairbull.co.uk,01874 622600,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Pen y Fan,4.0,££,"Located just down the road from the main Pen y Fan car park. It's the nearest pub for a post-summit pint. Traditional, friendly, and used to muddy walkers."
The Old Ford Inn,Brecon Beacons,Llanhamlach,http://www.theoldfordinn.co.uk,01874 665389,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Brecon Beacons,4.0,££,"A solid country pub with views towards the peaks. Good food and a friendly atmosphere. A reliable stop-off after a day exploring the central Beacons."
The Red Lion,Brecon Beacons,Llangynidr,http://www.redlionllangynidr.com,01874 730223,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Monmouthshire & Brecon Canal,4.5,££,"A lovely village pub set high in the Beacons. It has a great reputation for food (especially their pies). A warm and cozy retreat."
The Usk Inn,Brecon Beacons,Talybont-on-Usk,http://www.uskinn.co.uk,01874 676251,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Talybont Reservoir / Canal,4.5,££,"Refurbished country inn offering high-quality food and accommodation. Located in the popular hub of Talybont, it's great for cyclists and walkers using the canal or Taff Trail."
The Star Inn,Brecon Beacons,Talybont-on-Usk,http://www.starinntalybont.co.uk,01874 676635,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Talybont Reservoir,4.5,££,"A proper real ale pub. Known for its CAMRA awards and extensive beer garden by the canal. It serves simple, good value food and is a favourite with the outdoor crowd."
The White Swan,Brecon Beacons,Llanfrynach,http://www.thewhiteswanllanfrynach.co.uk,01874 665276,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Central Beacons,4.5,£££,"A gastro-pub offering top-tier food. A great place for a celebratory meal after a big hike. Muddy boots might be better in the bar area, but the welcome is warm."
The Felin Fach Griffin,Brecon Beacons,Brecon,http://www.felinfachgriffin.co.uk,01874 620111,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Brecon Beacons,4.5,£££,"A highly acclaimed dining pub with rooms. It's relaxed and unpretentious (""eat, drink, sleep"") but the food is restaurant quality. Very dog friendly."
The White Eagle,Anglesey,Rhoscolyn,http://www.white-eagle.co.uk,01407 860267,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rhoscolyn Beach / Coastal Path,4.5,£££,"Stylish pub with a large terrace overlooking the sea. Famous for its seafood and proximity to the coastal path. A great finish to a walk around the Rhoscolyn headland."
The Ship Inn,Anglesey,Red Wharf Bay,http://www.shipinnredwharfbay.co.uk,01248 852568,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Red Wharf Bay,4.5,££,"Classic pub location right on the edge of the bay. In summer, you can sit out on the wall; in winter, cozy up by the fire. Historic and very popular."
The Liverpool Arms,Anglesey,Beaumaris,http://www.liverpoolarms.co.uk,01248 810362,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Beaumaris Castle,4.0,££,"Nautical-themed pub in the historic town of Beaumaris. Traditional, friendly, and a stone's throw from the castle and pier."
The Bull,Anglesey,Beaumaris,http://www.bullsheadinn.co.uk,01248 810329,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Beaumaris,4.5,£££,"Historic coaching inn with a stylish bar and brasserie. The bar ('The Bull's Head') is full of character with ancient beams and artifacts. Great food and atmosphere."
The Oyster Catcher,Anglesey,Rhosneigr,http://www.oystercatcheranglesey.co.uk,01407 812829,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rhosneigr Dunes,4.0,££,"Modern bar and restaurant located in the dunes. Owned by the Timpson family and run as a training academy for young people. Great views and easy access to the beach."
The Seacroft,Anglesey,Trearddur Bay,http://www.theseacroft.com,01407 860348,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Trearddur Bay,4.5,£££,"Upmarket pub/restaurant with a large deck. Great for a post-surf drink or a nice meal. Very popular in summer."
The King Arthur Hotel,Gower,Reynoldston,http://www.kingarthurhotel.co.uk,01792 390775,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Cefn Bryn,4.5,££,"A Gower classic. Traditional pub with a huge fire, serving excellent food. Located under Cefn Bryn, it's perfectly placed for walkers."
The Britannia Inn,Gower,Llanmadoc,http://www.britanniagower.com,01792 386624,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Whiteford Sands,4.5,££,"Historic pub with a beer garden that has one of the best views in Gower (over the Loughor Estuary). Famous for its seafood and rustic charm. Note: steep access for cars!"
The Ship Inn,Gower,Port Eynon,http://www.shipinngower.co.uk,01792 390204,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Port Eynon Beach,4.0,££,"Right on the beach at Port Eynon. Recently renovated, it offers a great nautical atmosphere and is the perfect pitstop after a beach day or coastal walk."
The Worm's Head Hotel,Gower,Rhossili,http://www.the-worms-head.co.uk,01792 390512,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rhossili Bay / Worm's Head,4.0,££,"The view from the terrace is unbeatable – looking straight down Rhossili Bay. The bar is basic but honest, and it's all about that location."
The King's Head,Gower,Llangennith,http://www.kingsheadgower.co.uk,01792 386212,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Llangennith Beach (Surfing),4.5,££,"The surfer's pub of choice in Gower. Located just up the road from the beach, it's always busy with a mix of locals and visitors. Good food, great atmosphere."
Y Talbot,Mid Wales,Tregaron,http://www.ytalbot.com,01974 298208,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Cors Caron / Cambrian Mountains,4.5,£££,"Historic drovers' inn turned top-quality gastro pub/hotel. The food is excellent (chef is ex-Marco Pierre White). Ideally located for exploring the wilder parts of Mid Wales."
The Hafod Hotel,Mid Wales,Devil's Bridge,http://www.thehafod.co.uk,01970 890232,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Devil's Bridge Falls,4.5,££,"Right next to the famous waterfalls and the steam railway station. A grand building with a cozy bar and brasserie. Perfect for tourists and hikers alike."
The Sun Inn,Llŷn Peninsula,Llanengan,https://www.facebook.com/TheSunInnllyn/,01758 712660,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Hell's Mouth (Porth Neigwl),4.5,££,"A proper surfer's pub near Hell's Mouth. Stone floors, big fireplace, and a great beer garden. It's the go-to spot after a session in the waves."
The Blue Anchor,South Wales,East Aberthaw,http://www.blueanchoraberthaw.com,01446 750329,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Wales Coast Path,4.5,££,"One of the oldest pubs in South Wales (1380!). Thatched roof, low beams, and incredibly atmospheric. Located close to the coast path and the unique Aberthaw scenery."
The Plough and Harrow,South Wales,Monknash,http://www.ploughandharrow.org,01656 890209,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Nash Point / Heritage Coast,4.5,££,"A real gem on the Heritage Coast. Famous for its huge selection of real ciders and perries. It's a proper traditional pub with no frills but bags of character."
The Corn Mill,North Wales,Llangollen,http://www.brunningandprice.co.uk/cornmill/,01978 869555,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Llangollen Canal / Castell Dinas Bran,4.5,££,"Spectacular location overhanging the River Dee rapids. It's a Brunning & Price pub, so expect reliable quality food and a good beer selection. The deck is amazing."
The West Arms,North Wales,Llanarmon Dyffryn Ceiriog,http://www.thewestarms.com,01691 600665,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Berwyn Mountains,4.5,£££,"Tucked away in the beautiful Ceiriog Valley. A historic inn with a warm welcome. Ideally placed for those exploring the quieter Berwyn Mountains."
