slug,name,region,lat,lon,near_spots,specialty,dog_friendly,outdoor_seating,description
wavecrest-cafe,Wavecrest Cafe,anglesey,53.3810,-4.5200,Church Bay,Cafe menu,Yes,Yes,Cafe at Church Bay.
abersoch-beach-cafe,Abersoch Beach Cafe,llyn-peninsula,52.8240,-4.5000,Abersoch,Cafe menu,Check restrictions,Yes,Beachside cafe in Abersoch.
zinc-cafe,Zinc Cafe,llyn-peninsula,52.8240,-4.5000,Abersoch,Cafe menu,Yes,Yes,Cafe and bar in Abersoch with harbour views.
caffi-meinir,Caffi Meinir,llyn-peninsula,52.9350,-4.5230,Nant Gwrtheyrn,Cafe menu,Yes,Yes,Cafe at the Nant Gwrtheyrn language centre.
alpine-coffee-shop,Alpine Coffee Shop,snowdonia,53.0920,-3.8000,Betws-y-Coed,Cafe menu,Yes,Yes,Popular coffee shop in Betws-y-Coed station.
hangin-pizzeria,Hangin' Pizzeria,snowdonia,53.0920,-3.8000,Betws-y-Coed,Cafe menu,Yes,Yes,Pizzeria and cafe in Betws-y-Coed.
conwy-falls-cafe,Conwy Falls Cafe,snowdonia,53.0920,-3.8000,Betws-y-Coed,Cafe menu,Yes,Yes,Cafe designed by Clough Williams-Ellis near Conwy Falls.
llangorse-lake-cafe,Llangorse Lake Cafe,brecon-beacons,51.9230,-3.2600,Llangorse Lake,Cafe menu,Yes,Yes,Cafe overlooking Llangorse Lake.
black-mountain-activity-centre-cafe,Black Mountain Activity Centre Cafe,brecon-beacons,52.0400,-3.1800,Three Cocks,Cafe menu,Yes,Yes,Cafe at the Black Mountain Activity Centre.
borth-beach-cafe,Borth Beach Cafe,mid-wales,52.4900,-4.0500,Borth Beach,Cafe menu,Check restrictions,Yes,Cafe at Borth Beach.
ynyslas-visitor-centre-cafe,Ynyslas Visitor Centre Cafe,mid-wales,52.5200,-4.0500,Ynyslas Beach,Cafe menu,Check restrictions,Yes,Seasonal cafe at the Ynyslas Visitor Centre.
machynlleth-cafe,Machynlleth Cafe,mid-wales,52.5900,-3.8500,Machynlleth,Cafe menu,Yes,Yes,"Cafe in Machynlleth, near Dyfi Forest trails."
devils-bridge-cafe,Devil's Bridge Cafe,mid-wales,52.3770,-3.8500,Devil's Bridge,Cafe menu,Yes,Yes,Cafe at the Devil's Bridge Waterfalls.
caffi-clywedog,Caffi Clywedog,mid-wales,52.4700,-3.5800,Llyn Clywedog,Cafe menu,Yes,Yes,Cafe overlooking Llyn Clywedog.
blue-china,Blue China,llyn-peninsula,52.9180,-4.2330,Criccieth,Cafe menu,Yes,Yes,Tea room in Criccieth.
dylans-criccieth,Dylan's Criccieth,llyn-peninsula,52.9180,-4.2330,Criccieth,Cafe menu,Yes,Yes,Restaurant and cafe in the Art Deco building at Criccieth.
rest-bay-cafe,Rest Bay Cafe,south-wales,51.4934,-3.7234,Rest Bay,Cafe menu,Yes,Yes,Cafe at the Rest Bay Watersports Centre.
barry-island-cafe,Barry Island Cafe,south-wales,51.3900,-3.2750,Barry Island,Cafe menu,Yes,Yes,Cafe on the Barry Island promenade.
marcos-cafe,Marco's Cafe,south-wales,51.3900,-3.2750,Barry Island,Cafe menu,Yes,Yes,Famous cafe from Gavin & Stacey on Barry Island.
