name,location,region,type,provider,url,lat,lon,description
Valley Weather,Valley,anglesey,weather-station,Met Office,https://www.metoffice.gov.uk/weather/forecast/gcmk6075z,53.2500,-4.5350,"RAF Valley weather station."
Mumbles Head Weather,Mumbles,gower,weather-station,Met Office,https://www.metoffice.gov.uk/weather/forecast/gcjwp2c30,51.5660,-3.9800,"Coastal weather data for Gower."
Aberporth Weather,Aberporth,mid-wales,weather-station,Met Office,https://www.metoffice.gov.uk/weather/forecast/gcm05p4k0,52.1390,-4.5700,"Cardigan Bay weather station."
Milford Haven Weather,Milford Haven,pembrokeshire,weather-station,Met Office,https://www.metoffice.gov.uk/weather/forecast/gcm0b2y10,51.7130,-5.0380,"Pembrokeshire coast weather."
Lake Vyrnwy Weather,Lake Vyrnwy,mid-wales,weather-station,Met Office,https://www.metoffice.gov.uk/weather/forecast/gcqk4z840,52.7600,-3.4600,"Inland weather station."
Sennybridge Weather,Sennybridge,brecon-beacons,weather-station,Met Office,https://www.metoffice.gov.uk/weather/forecast/gcjq5y920,51.9480,-3.5750,"Military range weather station."
Bala Lake Webcam,Bala,snowdonia,webcam,Bala Sailing Club,https://balasc.co.uk/webcam/,52.8876,-3.6277,"View over Llyn Tegid."
Hell's Mouth Surf,Porth Neigwl,llyn-peninsula,surf-forecast,Surfline,https://www.surfline.com/surf-report/hells-mouth/5842041f4e65fad6a7708d13,52.8123,-4.5234,"Exposed beach break on the Llyn."
Porth Oer Surf,Whistling Sands,llyn-peninsula,surf-forecast,Surfline,https://www.surfline.com/surf-report/whistling-sands/584204204e65fad6a7708d7c,52.8456,-4.7123,"Scenic cove surf spot."
Aberdyfi Webcam,Aberdyfi,mid-wales,webcam,Aberdyfi Tourism,https://www.aberdyfi.com/webcams/,52.5447,-4.0566,"Estuary and beach views."
Barmouth Harbour,Barmouth,mid-wales,webcam,Barmouth Harbour,https://www.barmouth-harbour.co.uk/webcam,52.7214,-4.0583,"Harbour and bridge view."
Cader Idris Weather,Cader Idris,snowdonia,weather-station,Mountain Weather Information Service,https://www.mwis.org.uk/forecasts/english-and-welsh/snowdonia,52.7019,-3.9067,"Mountain forecast for Southern Snowdonia."
Portmeirion,Portmeirion,snowdonia,webcam,Portmeirion Village,https://portmeirion.wales/about/webcams,52.9133,-4.0967,"Views of the Italianate village."
Conwy Castle,Conwy,north-wales,webcam,Conwy Marina,https://www.conwymarina.co.uk/webcam,53.2829,-3.8322,"View towards the castle and marina."
Holyhead Breakwater,Holyhead,anglesey,weather-station,Met Office,https://www.metoffice.gov.uk/weather/forecast/gcmk4k1z0,53.3300,-4.6300,"Weather at the ferry port."
Hawarden Airport,Hawarden,north-wales,weather-station,Met Office,https://www.metoffice.gov.uk/weather/forecast/gcmy2t790,53.1780,-2.9780,"North East Wales weather."
Rhossili Surf,Rhossili,gower,surf-forecast,Surfline,https://www.surfline.com/surf-report/rhossili/5842041f4e65fad6a7708d0e,51.5667,-4.2889,"Surf check for Rhossili Bay."
