slug,name,region,lat,lon,species,type,best_time,best_season,description,tags,quality_score,tier,source_url
newport-wetlands,Newport Wetlands,south-wales,51.536,-2.964,"Bearded Tits, Avocets",Bird,Daytime,all-year,"RSPB reserve with reedbeds. Good for bearded tits, avocets, and bitterns.","accessible,family-friendly,birdwatching",8,B,https://www.rspb.org.uk/reserves-and-events/reserves-a-z/newport-wetlands/
kenfig,Kenfig National Nature Reserve,south-wales,51.517,-3.733,"Fen Orchids, Birds",Plant|Bird,"Summer (orchids)",summer,"Huge dune system. Home to the rare Fen Orchid and diverse birdlife.","walking,botany,dunes",7,B,https://www.kenfignaturecorporation.com/
elan-valley,Elan Valley,mid-wales,52.268,-3.583,"Raptors, Red Kites",Bird,Daytime,all-year,"'Welsh Lake District'. Good for raptors, red kites, and peregrines.","scenic,walking,driving",9,A,https://www.elanvalley.org.uk/
lake-vyrnwy,Lake Vyrnwy,mid-wales,52.763,-3.456,"Peregrines, Pied Flycatchers",Bird,Daytime,spring|summer,"RSPB reserve. Peregrines on the dam, pied flycatchers in the woods.","scenic,walking,birdwatching",9,A,https://www.rspb.org.uk/reserves-and-events/reserves-a-z/lake-vyrnwy/
ynys-hir,RSPB Ynys-hir,mid-wales,52.562,-3.951,"White-fronted Geese, Lapwings",Bird,"Winter (geese)",winter|spring,"Diverse mix of oak woodland and saltmarsh. BBC Springwatch location.","birdwatching,walking,scenic",9,A,https://www.rspb.org.uk/reserves-and-events/reserves-a-z/ynys-hir/
conwy-rspb,RSPB Conwy,north-wales,53.284,-3.811,"Waders, Waterbirds",Bird,High tide,all-year,"Wetland reserve on the estuary. Great for waders and ducks. Accessible trails.","family-friendly,accessible,birdwatching",8,B,https://www.rspb.org.uk/reserves-and-events/reserves-a-z/conwy/
bardsey-island,Bardsey Island (Ynys Enlli),llyn-peninsula,52.759,-4.787,"Manx Shearwaters, Grey Seals",Bird|Mammal,Summer,summer,"'Island of 20,000 Saints'. Huge Manx Shearwater colony and grey seals.","boat-trip,remote,historic",9,A,https://www.bardsey.org/
gwaith-powdwr,Gwaith Powdwr,snowdonia,52.924,-4.062,"Reptiles, Nightjars",Reptile|Bird,"Summer (warm days)",summer,"North Wales Wildlife Trust reserve. Good for adders, slow worms, and nightjars.","walking,wildlife,hidden-gem",7,B,https://www.northwaleswildlifetrust.org.uk/nature-reserves/gwaith-powdwr
cors-goch,Cors Goch,anglesey,53.313,-4.275,"Red Squirrels, Orchids",Mammal|Plant,Spring/Summer,spring|summer,"Wildlife Trust reserve. Fenland with orchids and red squirrels.","walking,botany,wildlife",7,B,https://www.northwaleswildlifetrust.org.uk/nature-reserves/cors-goch
goldcliff-lagoons,Goldcliff Lagoons,south-wales,51.543,-2.906,"Avocets, Lapwings",Bird,High tide,winter|spring,"Part of the Gwent Levels. Excellent for waders.","birdwatching,wetlands",7,B,https://www.rspb.org.uk/reserves-and-events/reserves-a-z/newport-wetlands/
