Event Name,Type,Date(s)/Month,Location,Region,Website,Registration Cost (£),Participant Capacity,Description,description,who_its_for,difficulty_honest,atmosphere,tip
Medieval Backyard Ultra,Ultra Running,April 25,Cosmeston Lakes,South Wales,https://www.gertlushevents.co.uk,50-80,200+,Last one standing endurance event,"The Medieval Backyard Ultra is a last-person-standing event where runners complete a 4.167-mile loop every hour, on the hour, until only one remains. Embrace the absurdity and test your mental fortitude amidst the beautiful (and occasionally muddy) trails of Cosmeston Lakes, with a medieval twist in honor of the location.","Ultra runners of all abilities are welcome, from seasoned veterans to those curious about pushing their limits. This is a great way to experience the distance without pressure; it's less about speed and more about endurance and strategy.","This isn't your average trail run. The distance is relentless, and the sleep deprivation is real. While each loop individually isn't overly technical, the cumulative effect of repeated loops, lack of sleep, and enforced breaks takes a toll. Even experienced marathoners find this format surprisingly challenging.","The atmosphere is surprisingly supportive and communal. During the hourly breaks, runners share stories, offer encouragement, and enjoy snacks. While the competition intensifies as the field thins, the overall vibe is one of camaraderie and shared suffering.","Plan your hourly break strategy carefully. Efficiently managing your time for eating, resting, and using the restroom is crucial. Don't waste precious minutes, and have a crew if possible to help with your needs."
Radyr Trail Races,Trail Running,May 9,"Radyr, Cardiff",South Wales,https://www.limitlesstrails.co.uk,30-55,1000+,Half marathon and trail marathon,"Radyr Trail Races offers a variety of distances on the scenic trails surrounding Radyr, Cardiff. Expect a friendly, community-focused atmosphere with a mix of challenging climbs and fast, runnable sections. It's a great introduction to trail running, but experienced runners can also push their limits.",Beginner to intermediate trail runners. Walkers are welcome in some of the shorter distances. Families looking for an active morning out will find options for all ages and abilities.,"Moderate. While there are some steep inclines, the distances are manageable for anyone with a reasonable level of fitness. The terrain is mostly well-maintained trails, but expect some uneven surfaces and potential for mud depending on the weather.","More fun run than hardcore race. Expect a supportive and encouraging environment, with plenty of cheering and a relaxed atmosphere at the finish line. It's a good opportunity to meet other trail running enthusiasts.","Parking can be limited, so arrive early or consider carpooling. Trail shoes are recommended, especially if it's been raining."
Barry Island 10K,Running,May 17,Barry Island,South Wales,https://www.run4wales.org,25-35,2000+,Coastal 10K with iconic backdrop,"The Barry Island 10K is a road race that takes you on a scenic tour of the iconic Welsh seaside resort. Expect bracing sea air, cheerful crowds, and views across the Bristol Channel as you tackle a relatively flat course with a few cheeky undulations thrown in to keep things interesting. It's a great opportunity to chase a PB or simply enjoy a fun run in a beautiful location.","This race welcomes runners of all abilities, from seasoned club athletes looking for a fast time to first-time 10K participants. While the course is generally accessible, it's less suitable for those with significant mobility limitations.","The course is mostly flat with some gentle inclines, making it a good option for runners of all levels. However, don't underestimate the wind coming off the sea – it can definitely add an extra challenge, especially in exposed sections. It's not a walk in the park, but definitely achievable with a reasonable level of fitness.","The Barry Island 10K has a lively and supportive atmosphere. While some runners are focused on their personal bests, most are there to enjoy the experience and soak up the seaside vibes. Expect plenty of cheering, music, and a general sense of camaraderie amongst the participants.","Pay close attention to the weather forecast in the days leading up to the race and be prepared for all conditions. Barry Island can be particularly exposed, so pack layers and consider a windproof jacket even if the forecast looks promising."
Abersoch 10K,Running,May 30,Abersoch,Llŷn Peninsula,https://www.abersoch10k.co.uk,25-35,1000+,"Beach finish, part of Triple Crown","The Abersoch 10K is a popular coastal road race known for its stunning views of Cardigan Bay and lively atmosphere. It's a looped course starting and ending in the heart of Abersoch village, offering a mix of flat sections and challenging undulations. Expect a buzzing race village and plenty of local support along the route.","This race is suitable for a broad range of runners, from those aiming for a personal best to those simply looking to enjoy a scenic run. Families and social runners are welcome, but be aware the course has some hills.","While not a flat course, the Abersoch 10K is manageable for most reasonably fit runners. There are a couple of significant climbs that will test your legs, but the descents offer a chance to recover. Training on undulating terrain is recommended.","The atmosphere is generally fun and friendly, with a good mix of serious runners and those taking a more relaxed approach. Expect plenty of cheering from spectators and a post-race buzz in the village pubs and cafes.","Parking in Abersoch can be tricky on race day, so arrive early or consider using the park-and-ride service to avoid stress. And remember to factor in the wind – being a coastal race, conditions can vary!"
Swansea Half Marathon,Running,June 7,Swansea,South Wales,https://www.swanseahalfmarathon.co.uk,35-50,4000+,Biggest summer fun run in Wales,"The Swansea Half Marathon is a popular road race known for its relatively flat, scenic course along Swansea Bay. Expect a well-organized event with enthusiastic local support, catering to a wide range of abilities. It's a great opportunity to achieve a personal best while enjoying the coastal scenery.",This race welcomes everyone from seasoned half-marathon veterans aiming for a fast time to first-time runners looking to complete their first 13.1 miles. There's also a strong contingent of charity runners.,"While the course is mostly flat, there are a few gentle undulations that can be tiring in the later stages. Good training is still essential, but it's considered a beginner-friendly half marathon.","The atmosphere is supportive and encouraging, with plenty of spectators lining the route, especially along the seafront. Expect a mix of serious runners focused on performance and others just enjoying the experience. It's more 'community' than 'cutthroat'.","Accommodation in Swansea can get booked up well in advance, so secure your lodging early, especially if you're travelling from outside the area."
ABP Newport Marathon Festival,Running,April 19,Newport,South Wales,https://www.newportmarathon.co.uk,35-60,5000+,One of Europe's flattest marathon courses,"The ABP Newport Marathon Festival is a full-day running celebration centered around a flat, fast marathon course. It also includes a 10K and family-friendly fun run, creating a vibrant atmosphere for runners of all abilities. Expect strong local support and a scenic route alongside the River Usk.","The marathon primarily attracts experienced runners aiming for personal bests or qualifying times, but the 10k and fun run make it a suitable event for beginners and families looking to participate in a larger festival. Walkers are welcome in the fun run.","The marathon course is largely flat and considered fast, making it a good option for chasing a personal best. However, any marathon is a significant physical challenge. The 10k is also relatively flat and beginner-friendly. The fun run is untimed and accessible to all fitness levels.","The event has a friendly and supportive atmosphere, with local community involvement adding to the positive energy. While some runners are serious about their times, the overall vibe is inclusive and encouraging. Expect music, cheering crowds, and a festival-like atmosphere at the event village.","Book your accommodation early, as Newport can get busy during the festival weekend. Also, take advantage of the course being flat and try to negative split if you are aiming for a PB."
Cardiff Half Marathon,Running,October 4,Cardiff,South Wales,https://www.cardiffhalfmarathon.co.uk,40-60,25000+,"Part of SuperHalfs Series, largest in Wales","The Cardiff Half Marathon is a massive city-center race that's become a staple on the UK running calendar. Expect a vibrant course showcasing Cardiff's landmarks, and a buzzing atmosphere fueled by enthusiastic crowds. It's a great option for a fast time or a first half.","Beginners looking for a well-supported first half marathon, experienced runners aiming for a PB, and charity runners enjoying the atmosphere.","Relatively flat and fast, making it beginner-friendly. However, any half marathon requires solid training and endurance. Expect some minor undulations, but nothing too taxing.","Electric! Think huge crowds, live music along the course, and a real party vibe at the finish line. It's a well-organized and supportive event.","Book accommodation well in advance as Cardiff gets very busy on race weekend. Also, familiarize yourself with the city-center road closures to avoid travel headaches."
Anglesey Trail Half Marathon,Trail Running,November 1,Newborough Forest,Anglesey,https://www.alwaysaimhighevents.com,35-50,1000+,Trail through forest and Llanddwyn Island,"A stunning trail half marathon weaving through the diverse landscapes of Newborough Forest and along the iconic Anglesey coastline. Expect sandy trails, woodland paths, and breathtaking views of Llanddwyn Island. It's a proper challenge, but with a friendly, supportive atmosphere that celebrates personal achievement over cutthroat competition.","Trail runners of all abilities are welcome, but some prior experience running off-road is recommended. While families often come to spectate and enjoy the forest, the half marathon distance isn't suitable for children to participate in unless they are experienced runners. Walkers are not permitted.","This isn't a flat road race. Expect undulating terrain with a mix of soft sand, uneven forest trails, and potentially muddy sections depending on the weather. There are some short, sharp climbs that will test your legs and lungs. It's achievable for anyone with a reasonable base level of fitness and some trail running experience, but be prepared to work for it.","More fun run than fiercely competitive race. Expect plenty of encouragement along the route, a lively race village with food and music, and a general sense of camaraderie amongst the participants. People are here to enjoy the scenery, challenge themselves, and have a good time.","Bring trail shoes! Road shoes will likely struggle with the sand and uneven surfaces. Also, be prepared for changeable weather – layers are your friend."
Conwy Half Marathon,Running,November 15,Conwy,North Wales,https://www.runwales.com,35-50,2000+,Top 5 most scenic UK half marathon,"A classic road half marathon circling the historic walled town of Conwy, North Wales. Expect stunning views of Conwy Castle, the estuary, and Snowdonia mountains, alongside a supportive, community-focused atmosphere.","Suitable for all levels of runners, from seasoned half-marathoners chasing a personal best to first-timers looking for an achievable challenge. Walkers are welcome but should be aware of the course time limit.","Moderate. The course is mostly flat with some gentle undulations, but a few short, sharp hills provide a decent challenge, particularly around the 8-mile mark. Weather in Conwy can be unpredictable, so be prepared for wind and potential rain.","Friendly and encouraging, with local support lining much of the route. Expect a mix of runners taking it seriously and those enjoying the experience. It's more community fun-run than elite competition, though there are competitive runners present.","Parking in Conwy is limited, especially on race day. Arrive early or consider using the park-and-ride service from nearby Llandudno to avoid pre-race stress."
Slateman Triathlon,Triathlon,June 14,Llanberis,Snowdonia,https://www.alwaysaimhighevents.com,80-150,2000+,"Iconic Snowdonia triathlon - swim in lake, bike, run","The Slateman Triathlon is a uniquely Welsh race through the heart of Snowdonia National Park. You'll swim in a glacial lake, cycle through slate quarries, and run up challenging mountain trails, all while surrounded by stunning scenery. It's a tough but rewarding experience that tests your grit and celebrates the beauty of North Wales.","While experienced triathletes will be pushing for top times, the Slateman also welcomes first-timers and those looking for a memorable challenge. There are different distance options to cater to varying fitness levels, but it's best suited for those with a decent base level of fitness and a spirit for adventure.","This is a HARD triathlon. The swim is in a cold lake, the bike course features steep climbs and technical descents, and the run includes significant elevation gain on uneven terrain. Be prepared for tough conditions and don't underestimate the cumulative effect of the climbs.","The atmosphere is supportive and encouraging, but definitely leans towards the serious side. It's not a party race; people are there to push themselves. Expect a good amount of pre-race nerves and a collective sense of accomplishment at the finish line.","The weather in Snowdonia is notoriously unpredictable. Pack for all conditions, including rain gear, warm layers, and sunscreen. Check the forecast religiously in the days leading up to the race and adjust your gear accordingly."
Llandudno Triathlon,Triathlon,June 28,Llandudno,North Wales,https://www.alwaysaimhighevents.com,70-140,1000+,"Sea swim, coastal bike, run","The Llandudno Triathlon is a classic UK triathlon set against the stunning backdrop of the North Wales coast. Expect a challenging sea swim, a hilly bike course showcasing the region's beauty, and a run along the Victorian promenade. The event is known for its friendly atmosphere and supportive community, making it a great option for all abilities.","This triathlon welcomes all abilities, from seasoned triathletes to first-timers. While there are definitely serious competitors, the overall vibe is inclusive and encouraging. Families often come to support, creating a great atmosphere.","The sea swim can be choppy depending on the weather, so some open water experience is recommended. The bike course is undeniably hilly, with some steep climbs that will test your legs. The run is relatively flat but comes after a tough bike section, so pacing is key. Overall, a challenging but achievable triathlon.","Expect a buzzing atmosphere with plenty of enthusiastic supporters lining the route. While some competitors are focused on their times, the overall vibe is friendly and supportive. Post-race, there's a real sense of camaraderie among participants.",Check the tide times before the race! A low tide can make the swim exit more challenging due to exposed rocks.
IRONMAN Wales,Triathlon,September 13,Tenby,Pembrokeshire,https://www.ironman.com/wales,400-600,2500+,"Full Ironman - challenging sea swim, hilly bike","IRONMAN Wales is a full-distance triathlon renowned for its challenging course and electric atmosphere. Expect a brutal swim, a hilly bike leg through stunning Pembrokeshire, and a marathon with relentless elevation changes, all fueled by passionate Welsh support.","Experienced triathletes seeking a tough and memorable challenge. First-time IRONMAN athletes are welcome, but be prepared for a significant test of endurance and mental fortitude. This isn't a beginner-friendly event, and adequate training is crucial.","Extremely difficult. The swim can be rough due to unpredictable sea conditions. The bike course is relentlessly hilly with over 11,000 feet of elevation gain. The run is also very challenging with constant undulation. This is widely considered one of the toughest IRONMAN courses in the world.","Incredibly supportive and electric. The Welsh crowds are famous for their enthusiastic cheering and encouragement, which will help you push through the tough moments. Expect a party atmosphere in Tenby throughout the weekend, but also a serious commitment from athletes focused on conquering the course.","Book accommodation well in advance as Tenby fills up quickly. Also, practice hill repeats on your bike and run to prepare for the elevation changes."
IRONKIDS Wales,Junior Triathlon,September 12,Tenby,Pembrokeshire,https://www.ironman.com/wales,15-25,500+,Participation-focused kids event,"IRONKIDS Wales is a junior triathlon giving kids aged 3-14 the chance to experience the thrill of triathlon in a safe, supportive environment. It's all about participation and fun, with a focus on finishing rather than racing to win, letting kids feel like true IRONMAN athletes.",Kids aged 3-14 of all athletic abilities. No prior triathlon experience is necessary. Families are welcome to cheer on their kids and enjoy the event atmosphere.,"The distances are age-appropriate and designed to be achievable for most kids. Some minimal training is recommended, like getting comfortable swimming a short distance and riding a bike. It's more about completing the event than setting records.","Energetic and fun! Expect cheering crowds, music, and a real sense of accomplishment as kids cross the finish line. It's a very supportive environment with lots of encouragement from volunteers and spectators.","Arrive early to allow plenty of time for parking, registration, and familiarizing yourself with the transition area. Knowing where to rack your bike and find your gear will help reduce stress on race day."
Trails & Tarmac Winter Backyard Ultra,Ultra Running,February 14,Black Mountains,Brecon Beacons,https://www.limitlesstrails.co.uk,60-90,200+,4.2 mile laps every hour until one remains,"The Trails & Tarmac Winter Backyard Ultra is a last-person-standing running event set against the stark beauty of the Black Mountains. Participants run a 4.167-mile loop every hour, on the hour, until only one runner remains. Expect mud, hills, darkness, and a serious test of mental fortitude in a minimalist, winter setting.","Experienced runners with ultra ambitions, but also those curious about testing their limits in a supportive (initially!) environment. Newcomers to ultra running are welcome if they understand the format, but be prepared for a potentially humbling experience. Not suitable for families with young children due to the nature and duration of the event.","Extremely challenging. While each loop is manageable, the accumulated fatigue and sleep deprivation make this a brutal test of endurance. Winter conditions in the Black Mountains add another layer of difficulty. Prepare for icy patches, mud, and potential route changes depending on the weather. Completing even 24 hours is a significant achievement.","Initially supportive and encouraging, with runners sharing stories and strategies. As the hours tick by, the atmosphere becomes more focused and introspective. While camaraderie remains, the primary focus shifts to individual survival. Expect a mix of quiet determination and the occasional burst of nervous energy.",Practice running through the night and experiment with sleep strategies beforehand. Managing sleep deprivation is as important as physical fitness in a backyard ultra.
Trail Marathon Wales,Trail Running,June (TBC),Coed y Brenin,Snowdonia,https://www.trailmarathonwales.co.uk,50-80,1000+,Mountain marathon in forest park,"Trail Marathon Wales isn't just a marathon; it's a proper mountain running experience through the stunning, but relentlessly hilly, Coed y Brenin forest. Expect technical trails, lung-busting climbs, and breathtaking views that might just make you forget how much your legs hurt. It's a tough but rewarding challenge, likely to be wet underfoot, set in a truly beautiful part of the world.","Experienced trail runners with a decent level of fitness. While there are shorter distance options, the marathon itself isn't for beginners. Hikers used to long days on tough terrain will cope better than road marathoners unprepared for the technical aspects.","This is a HARD marathon. The elevation gain is significant, the trails are technical with rocks, roots, and potential mud, and the weather in Wales can be unpredictable. Even experienced marathoners should adjust their pace expectations and be prepared to hike sections. Consider the half marathon if you're newer to trail running or unsure about the full distance.","More serious than a party, but incredibly supportive. Expect camaraderie amongst runners battling the course together. The focus is on personal achievement and conquering the challenge, with a post-race atmosphere of shared accomplishment and plenty of hearty Welsh food.","Pack for all weather conditions, even in summer. Waterproof jacket, trail shoes with good grip, and gaiters are highly recommended. The midges can be fierce, so bring repellent!"
Dragons Back Race,Ultra Running,September (TBC),Conwy to Cardiff,Wales (full length),https://www.dragonsbackrace.com,800-1200,200+,"6-day mountain race, 315km","The Dragons Back Race is a legendary five-day, point-to-point ultra running challenge that traverses the mountainous spine of Wales, from Conwy Castle in the north to Cardiff Castle in the south. It's a brutal test of endurance, navigation, and self-sufficiency amidst some of the UK's most stunning and unforgiving terrain. Expect long days, minimal sleep, and serious bragging rights if you finish.","Experienced ultra runners only. This is not a beginner-friendly event. You need extensive experience in mountain running, navigation, and self-sufficiency in challenging terrain. Prior multi-day race experience is highly recommended.","Extremely difficult. This is one of the toughest mountain races in the world. Each day involves significant elevation gain and loss over technical terrain, often in unpredictable weather conditions. Expect long hours on your feet, potential for sleep deprivation, and a high attrition rate.","Serious and demanding. While camaraderie exists amongst participants, the focus is primarily on survival and completing the course. Expect a supportive but competitive atmosphere, where self-reliance and mental fortitude are crucial.","Navigation skills are paramount. The course is not fully marked, and you will be relying on your own map and compass skills for significant portions of the race. Practice navigating in similar terrain before the event."
