Activity Name,Type,Operator,Region,Location/Meeting Point,Price Range (£),Duration,Difficulty,Season,Min Age,Booking URL,Source URL,description,best_for,skip_if,local_tip
White Water Rafting,Rafting,National White Water Centre,Snowdonia,"Canolfan Tryweryn, Bala",55-75,2-4 hours,Moderate/Advanced,Mar-Oct,12,https://www.ukrafting.co.uk,https://www.ukrafting.co.uk,"Experience the thrill of controlled whitewater rafting on the River Tryweryn, a dam-controlled river in Snowdonia. The consistent water levels, especially during the summer, make this a reliable option for guaranteed rapids. Be prepared for a full soaking as you navigate class 3-4 rapids, guided by experienced professionals.","Adventurous individuals, families with teens (12+), or groups seeking a guaranteed whitewater experience regardless of weather.","You are strictly afraid of being cold, dislike fast-moving water, or prefer calm, leisurely river experiences.","Bring a waterproof camera or rent one. The consistent water release ensures great action shots, and you don't want to miss capturing the moment!"
Gorge Walking,Gorge Scrambling,Adventure Britain,Snowdonia,Bala area,65-95,Half day,Moderate,Mar-Oct,8,https://www.adventurebritain.com,https://www.adventurebritain.com,"Gorge walking with Adventure Britain involves scrambling up a Welsh river, navigating small waterfalls, and wading through sections that can be chest-deep. This particular experience stands out as it is run in the Bala area of Snowdonia, known for its rugged, less-crowded gorges compared to other regions. Be prepared for a proper workout, as you'll be using all your limbs to clamber over rocks.","Adventurous families with kids aged 8+, active adults seeking a physical challenge, and groups wanting a unique outdoor experience in Snowdonia.","You're uncomfortable with cold water, have a significant fear of heights or falling, or prefer leisurely walks to strenuous activity.","Bring a waterproof camera or phone case – you'll want to capture the scenery, but there's a very high chance your devices will get wet!"
Underground Adventure,Mine Exploration,Zip World Llechwedd,Snowdonia,Blaenau Ffestiniog,20-35,1-2 hours,Family,Year-round,5,https://www.zipworld.co.uk,https://www.zipworld.co.uk,"The Underground Adventure at Zip World Llechwedd is a guided walking tour through a section of the historic Llechwedd slate mine. Unlike a typical museum, you'll be actively walking through the tunnels, seeing the environment as it was left, though it is designed to be accessible and not too strenuous. It's a chance to experience a real mine environment without the extreme physical demands of some other mine tours.","Families with children aged 5+, history buffs, and those curious about the slate mining industry who prefer a less physically demanding experience.","You are claustrophobic, have significant mobility issues, or are looking for a thrilling adrenaline-pumping adventure.","Wear sturdy shoes! Even though it's a walking tour, the mine floor can be uneven and damp in places."
Llanberis Path Guided Walk,Hiking,MountainXperience,Snowdonia,Llanberis,45-65,5-7 hours,Moderate,Mar-Oct,8,https://www.mountainxperience.uk,https://www.mountainxperience.uk,"Join a guided hike up Snowdon via the Llanberis Path, the most gradual route to the summit. This experience provides extra support and knowledge from a local guide, making a challenging mountain accessible to a wider range of people. The small group size allows for a more personalized experience and a better opportunity to learn about the area.","Families with older children (8+), less experienced hikers seeking a safe Snowdon summit, or anyone who wants to learn about the local area.","You are looking for a challenging scramble, want to hike alone, or are very sensitive to group pace.","Pack layers! Even on a sunny day, the summit of Snowdon can be significantly colder and windier than Llanberis. Check the mountain weather forecast before you go and be prepared for all conditions."
Coasteering Classic,Coasteering,TYF Adventure,Pembrokeshire,St Davids,60,3.5 hours,All Levels,Mar-Oct,8,https://www.tyf.com,https://www.tyf.com,"Coasteering with TYF Adventure in St Davids involves traversing the rocky Pembrokeshire coastline by swimming, climbing, and jumping into the sea. This particular trip stands out due to TYF's long-standing reputation and commitment to environmental education, making it a good choice for those wanting a bit more than just thrills. Expect to get very wet, potentially a bit cold, and be prepared for some scrambling over slippery rocks.","Families with adventurous kids (8+), active individuals, and those interested in coastal ecology.","You're afraid of heights or cold water, or prefer a completely dry and predictable activity.","Bring a rash vest to wear under your wetsuit to prevent chafing, especially on warmer days when you might not need the full wetsuit zipped up."
Sea Kayaking Safari,Sea Kayaking,TYF Adventure,Pembrokeshire,St Davids,60-85,3.5-7 hours,All Levels,Mar-Oct,8,https://www.tyf.com,https://www.tyf.com,"The Sea Kayaking Safari with TYF Adventure in St Davids takes you along the Pembrokeshire coast, exploring hidden coves and wildlife hotspots from a kayak. This trip stands out due to TYF's commitment to responsible tourism and their deep knowledge of the local environment, often spotting seals and seabirds. Be prepared for potentially choppy waters and the physical exertion of paddling, even on shorter trips.","Families with older children (8+) comfortable with water, nature enthusiasts, and those seeking a moderately active outdoor experience.","You're prone to seasickness, have significant shoulder or back issues, or are looking for a completely relaxing, non-physical activity.","Bring a small dry bag for your phone and camera, and consider wearing layers as the weather on the Pembrokeshire coast can change quickly, even in summer."
Surfing Lesson,Surfing,TYF Adventure,Pembrokeshire,Whitesands Beach,60,3.5 hours,Beginner,Year-round,8,https://www.tyf.com,https://www.tyf.com,"This surfing lesson with TYF Adventure at Whitesands Beach provides a solid introduction to surfing, focusing on fundamental skills and ocean safety. What sets it apart is TYF's emphasis on environmental awareness and responsible interaction with the Pembrokeshire coast, making it more than just a surf lesson. Be prepared for a thorough land-based instruction session before hitting the waves, so your time actually surfing will be shorter than you might expect.",Beginners aged 8+ who want a structured introduction to surfing with a focus on environmental responsibility.,"You're an experienced surfer looking for advanced techniques or prefer a less structured, more independent surfing experience.","Whitesands Beach can get very crowded, especially during peak season. Book your lesson for an early morning slot to enjoy quieter waves and a less congested beach."
Rock Climbing,Climbing,TYF Adventure,Pembrokeshire,St Davids coast,60,3.5 hours,All Levels,Mar-Oct,8,https://www.tyf.com,https://www.tyf.com,"This is a 3.5-hour rock climbing session on the coast near St Davids, Pembrokeshire, led by experienced TYF Adventure instructors. The climbing focuses on accessible routes with stunning coastal views, making it great for beginners but still enjoyable for those with some experience. The group setting encourages learning from each other and creates a supportive environment.","Families with children aged 8+, beginners looking for an introduction to outdoor climbing, or anyone seeking a fun physical challenge with beautiful scenery.","You have a significant fear of heights that would prevent you from attempting even low climbs, or you're looking for extreme, challenging climbs.","Bring layers of clothing, even on a sunny day, as the coastal weather can change quickly and the rock face can be exposed to wind."
Coasteering,Coasteering,Preseli Venture,Pembrokeshire,St Davids area,55-75,Half-Full day,All Levels,Mar-Oct,8,https://www.preseliventure.co.uk,https://www.preseliventure.co.uk,"Coasteering with Preseli Venture involves traversing the Pembrokeshire coastline by swimming, climbing, and jumping off rocks into the sea. It's unique because of its location in the St Davids area, known for its dramatic cliffs and clear waters. Expect a thorough safety briefing, wetsuit fitting, and then several hours of exploring the intertidal zone at your own pace, with encouragement to push your boundaries.","Families with adventurous kids (8+), active adults seeking a unique physical challenge, and those who enjoy being in and around the water.","You're not comfortable in the sea, have a significant fear of heights, or prefer gentle activities.","Bring a waterproof camera to capture the adventure, and wear old trainers or wetsuit boots as the rocks can be sharp."
Surfing,Surfing,Preseli Venture,Pembrokeshire,Newgale/Whitesands,55-75,Half day,Beginner,Year-round,8,https://www.preseliventure.co.uk,https://www.preseliventure.co.uk,"Learn to surf the waves of the Pembrokeshire coast with experienced instructors. This half-day session focuses on getting you standing up and riding your first waves, with a strong emphasis on safety and understanding the ocean environment. The small group sizes offered by Preseli Venture ensure personalized attention.",Beginners aged 8+ who are comfortable in the water and keen to try surfing for the first time.,You're expecting to become an expert surfer in a single session or dislike cold water.,"Check the surf report and tide times before you go; Newgale is best at low to mid tide, while Whitesands can handle a wider range of conditions."
Sea Kayaking,Sea Kayaking,Preseli Venture,Pembrokeshire,St Davids coast,65-95,Half-Full day,All Levels,Mar-Oct,8,https://www.preseliventure.co.uk,https://www.preseliventure.co.uk,"Explore the rugged Pembrokeshire coastline from a sea kayak, getting up close to wildlife and hidden coves. This guided trip focuses on experiencing the natural beauty of the area, with knowledgeable guides sharing insights about the local ecology and geology. Be prepared for some paddling even on calmer days, and potentially getting splashed by waves.","Families with adventurous kids (8+), nature lovers of any fitness level, and those seeking a relaxed but active coastal experience.",You are seeking extreme thrills or have significant back or shoulder problems.,"Bring a dry bag for your phone and camera, even if the weather looks calm; unexpected splashes are common!"
Boat Trip - Ramsey Island,Wildlife Boat Tour,Preseli Venture,Pembrokeshire,St Justinian,45-65,2-3 hours,Family,Mar-Oct,All,https://www.preseliventure.co.uk,https://www.preseliventure.co.uk,"This boat trip circles Ramsey Island, a RSPB reserve just off the Pembrokeshire coast, offering fantastic views of seabirds, seals, and potentially dolphins or porpoises. What makes this tour special is its focus on the island's wildlife, giving you an up-close look at the impressive biodiversity. Be aware that the sea conditions can sometimes be choppy, leading to a bumpier ride.","Families with children (all ages), birdwatchers, and anyone interested in seeing coastal wildlife up close.","You are prone to seasickness, dislike boats, or are expecting a high-speed thrill ride.","Bring binoculars for a better view of the birds, and dress in layers as the sea air can be surprisingly chilly even on sunny days."
Wild Swimming,Wild Swimming,Preseli Venture,Pembrokeshire,Various locations,45-65,2-4 hours,Moderate,May-Sep,12,https://www.preseliventure.co.uk,https://www.preseliventure.co.uk,"Experience the invigorating thrill of swimming in Pembrokeshire's wild coastal waters with expert guidance. This isn't just a dip; it's a guided exploration of hidden coves and refreshing plunge pools. The unique aspect is the focus on safety and local knowledge, ensuring a comfortable and informative experience even for those new to wild swimming.",Adventurous beginners (12+) to experienced swimmers who want a safe and guided introduction to Pembrokeshire's wild swimming spots.,"You are uncomfortable in cold water, have a significant fear of open water, or are looking for a purely leisurely swim.",Bring a flask of something warm to enjoy after your swim – it makes the post-swim glow even better!
Coasteering,Coasteering,Activity Pembrokeshire,Pembrokeshire,Stackpole Quay,55-75,3-4 hours,All Levels,Mar-Oct,8,https://www.activitypembrokeshire.wales,https://www.activitypembrokeshire.wales,"Coasteering with Activity Pembrokeshire at Stackpole Quay involves traversing the rocky coastline through a combination of scrambling, swimming, and cliff jumping. This particular experience stands out because of the instructors' focus on family groups and creating a supportive environment for children and less confident participants. Expect a moderately strenuous 3-4 hours in and out of the water.","Families with children aged 8+, adventurous beginners, and those looking for a guided introduction to coasteering.","You are uncomfortable in the water, have a significant fear of heights, or prefer a purely adrenaline-fueled experience without a focus on safety and instruction.","Bring a rash vest to wear under your wetsuit to prevent chafing, especially on warmer days when you might spend more time swimming."
Sea Kayak Safari,Sea Kayaking,Activity Pembrokeshire,Pembrokeshire,Stackpole Quay,55-75,3-4 hours,All Levels,Mar-Oct,8,https://www.activitypembrokeshire.wales,https://www.activitypembrokeshire.wales,"This sea kayak safari takes you along the stunning Pembrokeshire coastline from Stackpole Quay to Barafundle Bay, exploring caves and searching for local wildlife. This trip is unique because of the intimate access it provides to secluded coves and the chance to see seals and other marine life up close in their natural habitat.","Families with children aged 8+, beginners comfortable with being on the water, and wildlife enthusiasts.","You are prone to seasickness, looking for extreme kayaking challenges, or dislike being in enclosed spaces (caves).","Bring a small dry bag for your phone and valuables, even if you're confident you won't fall in – unexpected splashes happen!"
Coasteering,Coasteering,Tenby Adventure,Pembrokeshire,Tenby,50-70,2-3 hours,All Levels,Mar-Oct,8,https://www.visitpembrokeshire.com,https://www.visitpembrokeshire.com,"Coasteering with Tenby Adventure involves traversing the rocky coastline of Tenby, combining scrambling, swimming, and optional cliff jumping. This particular experience stands out due to its location in the heart of Tenby, making it easily accessible and offering stunning views of the town and coastline. Expect to get wet, work your muscles, and potentially face some fears!","Adventurous families with kids aged 8+, confident swimmers, and anyone looking for an active challenge with a splash of adrenaline.","You are extremely afraid of heights or open water, have limited mobility, or prefer relaxing on the beach.","Wear old trainers or wetsuit boots as the rocks can be sharp, and consider bringing a waterproof camera to capture the adventure."
Sea Kayaking,Sea Kayaking,Tenby Adventure,Pembrokeshire,Tenby,50-70,2-3 hours,All Levels,Mar-Oct,8,https://www.visitpembrokeshire.com,https://www.visitpembrokeshire.com,"Explore the Pembrokeshire coast from a unique perspective on a guided sea kayaking tour. This trip focuses on the area around Tenby's iconic coastline and is an ideal way to explore the area. While the operator says 'all levels', expect to feel it in your arms the next day if you're not used to paddling.","Families with older children (8+), active beginners wanting a scenic introduction to kayaking, and those who enjoy wildlife spotting from the water.","You are severely afraid of open water, have limited upper body strength, or are looking for extreme whitewater kayaking.","Wear sunscreen even on overcast days, as the sun reflects strongly off the water. Consider bringing a waterproof camera to capture the stunning coastal views and wildlife encounters!"
Paddle Boarding,SUP,Outer Reef Surf School,Pembrokeshire,Stackpole/Barafundle,45-65,2-3 hours,All Levels,Apr-Oct,8,https://www.outerreefsurfschool.com,https://www.outerreefsurfschool.com,"This is a guided paddle boarding tour in the beautiful Stackpole/Barafundle area of Pembrokeshire. It's a relaxed way to explore the coastline, suitable for beginners, and includes instruction and equipment, with the added bonus of Outer Reef's extensive experience teaching watersports globally. Expect some initial wobbly moments followed by calm paddling, hopefully spotting some local wildlife, and potentially some wet feet!","Families with children aged 8+, beginners wanting a safe introduction to SUP, and those who appreciate experienced instructors.","You're looking for a high-intensity workout, are afraid of falling in the water, or prefer total solitude on the water.","Bring a dry bag for your phone and valuables, and wear sunscreen even on cloudy days – the sea reflects the sun strongly."
Coasteering,Coasteering,Outer Reef Surf School,Pembrokeshire,Stackpole Quay,55-75,3-4 hours,All Levels,Mar-Oct,8,https://www.outerreefsurfschool.com,https://www.outerreefsurfschool.com,"Coasteering with Outer Reef at Stackpole Quay involves traversing the rocky Pembrokeshire coastline at sea level, combining swimming, scrambling, and cliff jumping. This particular experience stands out because Outer Reef has a long-standing relationship with the National Trust at Stackpole, indicating responsible access and a deep knowledge of the area. Expect a thorough safety briefing, wetsuit fitting, and then several hours navigating the coast, with optional (but encouraged!) jumps of varying heights.","Adventurous individuals and families (ages 8+) who enjoy swimming, a physical challenge, and are comfortable with heights and the sea.","You have a significant fear of heights or deep water, aren't reasonably fit, or prefer a relaxed, dry activity.","Bring a waterproof camera or phone case to capture the experience, and wear old trainers as footwear since they will get wet and scraped on the rocks."
Surfing,Surfing,MUUK Adventures,Pembrokeshire,St Davids/Blue Lagoon,50-70,Half day,Beginner,Year-round,8,https://www.muuk-adventures.com,https://www.muuk-adventures.com,"Learn to surf with MUUK Adventures on the beautiful Pembrokeshire coast, usually at the Blue Lagoon. This half-day surfing lesson is tailored to beginners and those looking to build confidence in the water, with experienced instructors focused on creating a positive and encouraging environment. The small class sizes and focus on individual attention make it ideal for nervous newcomers.","First-time surfers, families with children (8+), and anyone wanting a gentle introduction to the sport.","You're an experienced surfer looking for challenging waves or dislike cold water, even in a wetsuit.",Bring a towel and a warm change of clothes for after your session; the coastal winds can make it feel colder than you expect.
Coasteering,Coasteering,MUUK Adventures,Pembrokeshire,Abereiddy Blue Lagoon,50-70,Half day,All Levels,Mar-Oct,8,https://www.muuk-adventures.com,https://www.muuk-adventures.com,"Coasteering with MUUK Adventures at Abereiddy Blue Lagoon involves traversing the rocky coastline, swimming in the sea, and optional cliff jumping. This particular experience focuses on building confidence in the outdoors, making it great for those new to the sport. Expect some scrambling over barnacle-covered rocks, getting splashed by waves, and the adrenaline rush of controlled jumps into deep water.","Beginners, families with children (8+), and anyone seeking a supportive introduction to coasteering.",You are an experienced coasteerer looking for extreme challenges or have significant mobility issues.,"Bring water shoes or old trainers with good grip, even if wetsuits are provided – the rocks can be slippery and hard on bare feet."
Canyoning,Canyoning,Adventure Britain,Brecon Beacons,Bannau Brycheiniog,75-120,Half-Full day,Moderate/Advanced,Mar-Oct,12,https://www.adventurebritain.com,https://www.adventurebritain.com,"Canyoning with Adventure Britain in the Brecon Beacons involves navigating a natural watercourse using a combination of scrambling, swimming, and controlled jumps/slides. This experience stands out due to its location in the rugged Brecon Beacons, offering a more intense and remote feel compared to some other canyoning locations. Expect to get very wet and cold, and be prepared for some challenging physical sections, although routes can be adapted based on group ability.","Adventurous individuals or groups (12+) with a reasonable level of fitness and a thirst for adrenaline, comfortable with heights and cold water.","You have a fear of heights or deep water, are not comfortable with cold temperatures, or have limited mobility.","Bring a waterproof camera or phone case to capture the experience, and wear quick-drying layers under your wetsuit to stay as warm as possible."
Caving,Caving/Potholing,Adventure Britain,Brecon Beacons,Black Mountains,65-95,Half day,Moderate,Year-round,10,https://www.adventurebritain.com,https://www.adventurebritain.com,"Explore the Black Mountains from the inside out! This caving experience takes you into the depths of the Brecon Beacons, squeezing through tight passages and marveling at underground formations. This is a real caving experience, not a tourist-friendly walk-through; expect to get muddy and maybe a little claustrophobic at times.","Adventurous families with kids 10+, thrill-seeking adults, and anyone curious about exploring the hidden world beneath our feet.","You are extremely claustrophobic, dislike getting dirty, or aren't comfortable with physical exertion in confined spaces.","Bring a complete change of clothes (including shoes!) and a large plastic bag for your muddy gear – you'll thank yourself later. Also, waterproof camera is a must to capture this unforgettable moment."
Gorge Walking,Gorge Scrambling,Adventure Britain,Brecon Beacons,Waterfall Country,65-95,Half day,Moderate,Mar-Oct,8,https://www.adventurebritain.com,https://www.adventurebritain.com,"Gorge walking with Adventure Britain is all about scrambling up a Welsh river, wading through pools, and navigating small waterfalls in the Brecon Beacons. This experience stands out because it is tailored to a wide range of abilities, making it a good introductory experience. Don't expect huge jumps or extreme challenges; this is a gentler, more accessible take on gorge scrambling.","Families with adventurous kids (8+), groups looking for a fun but not overly strenuous outdoor activity, or first-timers to gorge walking.","You're an experienced canyoneer seeking adrenaline-pumping challenges, or you have significant mobility issues or a strong aversion to cold water.","Bring a waterproof camera; there are plenty of photo opportunities, and you won't want to risk your phone getting wet. Wear old sneakers, not hiking boots, as they'll get waterlogged."
Rock Climbing,Climbing,Adventure Britain,Brecon Beacons,Black Mountains,65-95,Half day,All Levels,Mar-Oct,8,https://www.adventurebritain.com,https://www.adventurebritain.com,"This is a half-day rock climbing experience in the Black Mountains, part of the Brecon Beacons. Adventure Britain provides the equipment and instruction, focusing on accessible climbs for a range of abilities. What sets this apart is its location in a less-crowded climbing area, offering a more secluded experience than some other popular spots.",Beginners and families with children aged 8+ looking for an introduction to outdoor rock climbing.,You're an experienced climber looking for challenging routes or dislike heights and physical exertion.,"Bring layers, even in summer, as the weather in the Black Mountains can change quickly; gloves can also help protect your hands on rougher rock."
Mountain Biking,Mountain Biking,Black Mountain Adventure,Brecon Beacons,Three Cocks,45-85,2-3 hours,All Levels,Year-round,12,https://www.visitmidwales.co.uk,https://www.visitmidwales.co.uk,"Explore the Brecon Beacons on two wheels with Black Mountain Adventure. This mountain biking experience offers trails around Three Cocks, catering to a range of skill levels, but stands out due to its guided options which help beginners and advanced riders alike discover hidden gems and improve their technique on the varied terrain. The guides provide insight into the local area, and carefully select routes based on group ability, making this an ideal choice for those seeking personalized instruction.",Individuals or groups (ages 12+) looking for a guided mountain biking experience with tailored routes and instruction.,"You're looking for extreme downhill or freestyle biking, or if you are not comfortable on uneven terrain.","Wear layers, even in summer, as the weather in the Brecon Beacons can change rapidly, and consider bringing a small backpack with water and snacks."
Caving,Caving,Black Mountain Adventure,Brecon Beacons,Three Cocks,45-85,2-3 hours,Moderate,Year-round,10,https://www.visitmidwales.co.uk,https://www.visitmidwales.co.uk,"Explore the fascinating world beneath the Brecon Beacons with Black Mountain Adventure's caving experience. This isn't just walking into a cave; expect some scrambling and crawling through tight spaces to discover hidden chambers. What makes this experience special is the raw, untouched nature of the cave system, offering a genuine sense of adventure.",Adventurous individuals and families (with kids 10+) who enjoy physical challenges and aren't claustrophobic.,"You are strongly claustrophobic, have limited mobility, or dislike getting muddy and potentially scraped.","Wear old clothes you don't mind getting dirty or even ripped, and bring a complete change of clothes for afterwards, including shoes – you'll thank yourself!"
Paddle Boarding,SUP,Black Mountain Adventure,Brecon Beacons,Llangorse Lake,45-85,2-3 hours,All Levels,Apr-Oct,8,https://www.visitmidwales.co.uk,https://www.visitmidwales.co.uk,"Paddle boarding on Llangorse Lake with Black Mountain Adventure offers a tranquil way to experience the Brecon Beacons. You'll be gliding across the largest natural lake in South Wales, surrounded by stunning scenery and enjoying the calm waters. This experience stands out due to the lake's size, providing ample space to explore away from crowds.","Beginners aged 8+ seeking a calm introduction to paddle boarding, families wanting a relaxed water activity, or anyone who enjoys peaceful nature experiences.","You're looking for a high-adrenaline water sport, or you dislike the possibility of getting wet or falling in the water.","Bring a dry bag for your phone and valuables, and check the weather forecast beforehand as wind can significantly affect the ease of paddling on the open lake."
