slug,name,website,email,phone,address,lat,lon,regions,activities,category,service_types,price_range,google_rating,tripadvisor_url,social_media,unique_selling_point,affiliate_program,trust_signals,logo_url,tagline,description,group_friendly
adventure-tours-uk,Adventure Tours UK,https://adventuretoursuk.com,hello@adventuretoursuk.com,,Denbighshire,53.11,-3.3,North Wales|South Wales,Walking,activity_provider,Small Group Tours|Tailor-made|Self-Guided Tours|Trail Running,,,,,,,,,,Expertly-crafted group experiences and self-guided active tours in the UK's wild spaces.,true
adventures-wales,Adventures Wales,https://www.adventureswales.co.uk,info@adventureswales.co.uk,01656 782 222,"Porthcawl, Bridgend CF36 3UU",51.488,-3.680,"South Wales, Brecon Beacons",Multi-activities|Stag/Hen|Corporate|Climbing|Coasteering|Surfing,activity_provider,Rock Climbing|Gorge Walking|Canyoning|Coasteering|High Ropes|Abseiling,Mid-Range,4.5/5 (400+),https://www.tripadvisor.co.uk,@adventureswales,"Adventures Wales offers thrilling outdoor activities in the heart of South Wales, just 20 minutes from Cardiff, making adventure easily accessible.",No,"{""years_in_business"": 22, ""certifications"": [""AALA Licensed Activity Centre""], ""awards"": [""Wales Prestige Award""], ""review_count"": 400}",https://garbmipansiok1l0.public.blob.vercel-storage.com/operators/adventures-wales/logo.png,"South Wales Adventure, Sorted.","Looking for adventure near Cardiff? Look no further than Adventures Wales! These guys have been delivering top-notch outdoor experiences since 2004. Seriously, they're pros at crafting unforgettable stag and hen weekends, school trips, corporate team-building events, and family fun days. 

What sets Adventures Wales apart? Location, location, location! They're perfectly positioned just 20 minutes from Cardiff, offering easy access to both the stunning Brecon Beacons and the South Wales coastline. Plus, they've earned the Wales Prestige Award for their consistently high standards. Whether you're after a thrilling quad biking session or a scenic waterfall hike, Adventures Wales has got you covered.

Adventures Wales are closed from 19th December to 5th January, so bookings will not be immediately confirmed, but they're still taking bookings for 2026!",true
afan-a-blast,Afan A Blast,,,,Afan Valley,51.644,-3.738,South Wales,MTB,activity_provider,Coaching|Guided Rides,,,,,,,,,,Coaching and guiding services in the Afan Valley.,true
anglesey-adventures,Anglesey Adventures,https://www.angleseyadventures.com,info@angleseyadventures.com,01407 000 000,"Rhosneigr, Anglesey",53.290,-4.660,Anglesey,Sea Kayaking|Coasteering|Climbing|Kayaking|Surfing,activity_provider,Coasteering|Kayaking|Gorge Scrambling|Rock Climbing|Abseiling|Mountain Days,Mid-Range,4.5/5 (250+),https://www.tripadvisor.co.uk,@angleseyadventures,"Anglesey Adventures is the original and most experienced adventure company on Anglesey, offering unmatched local expertise and facilities.",No,"{""years_in_business"": null, ""certifications"": [""AALA License"", ""LOtC Quality Badge"", ""Adventure Mark""], ""awards"": [], ""review_count"": 250}",https://garbmipansiok1l0.public.blob.vercel-storage.com/operators/anglesey-adventures/logo.png,"Anglesey Adventures: Your Island Adventure, Sorted.","Anglesey Adventures isn't just another outdoor adventure company; they're the *original* premier operator on Anglesey. Seriously, these guys practically wrote the book on adventure on the island. They've been leading the charge with exciting and unique activities across North Wales for years, and were the first to offer coasteering commercially in the region. Whether you're after heart-pumping thrills or a bespoke team development course, Anglesey Adventures has you covered. 

Based at Anglesey Outdoors, they provide comforts others can't, like changing facilities and hot showers after a day of exploring. Their activities cater to all abilities, from families and stag/hen parties to school groups, corporate teams, and even military personnel. With a solid Google rating built on hundreds of reviews, you can trust that you're in good hands. They make safety a priority and back it up with full accreditation.",true
anglesey-walking-holidays,Anglesey Walking Holidays,https://angleseywalkingholidays.com,info@angleseywalkingholidays.com,07483 229606,Menai Bridge,53.22,-4.16,North Wales,Walking,activity_provider,Self-Guided Tours|Luggage Transfer|Multi-day Tours,,,,,,,,,,Explore the unspoilt beauty of the Isle of Anglesey Coastal Path with bespoke self-guided walking itineraries.,true
antur-stiniog,Antur Stiniog,https://www.anturstiniog.com,info@anturstiniog.com,01766 238 007,Blaenau Ffestiniog LL41 3NB,52.994,-3.939,Snowdonia,Downhill Mountain Biking|Bike Hire|Hire|MTB,activity_provider,Bike Hire|Uplift Service,Mid-Range,4.5/5 (500+),https://www.tripadvisor.co.uk/Attraction_Review-g1073364-d2711704,@anturstiniog,"Antur Stiniog provides the best uplift service in the UK, maximizing your downhill mountain biking time on a diverse range of trails within a community-focused environment.",No,"{""years_in_business"": 17, ""certifications"": [], ""awards"": [], ""review_count"": 500}",https://garbmipansiok1l0.public.blob.vercel-storage.com/operators/antur-stiniog/logo.png,Unleash gravity in the heart of Snowdonia.,"If you're serious about downhill mountain biking in Wales, you absolutely have to hit up Antur Stiniog. I've seen this place grow from a brilliant idea into a world-class riding destination, and it's all thanks to the passionate community behind it. Nestled in the heart of Snowdonia near Blaenau Ffestiniog, they offer a thrilling mix of 14 gravity-fed trails, from gentle greens to adrenaline-pumping blacks that have drawn international acclaim. 

What truly sets Antur Stiniog apart, beyond the incredible scenery, is their uplift service, consistently hailed as the best in the UK. You'll get more runs in a day than you thought possible, leaving you buzzing. Plus, as a community-led social enterprise established in 2007, they're dedicated to giving back, working to restore local woodlands. They also offer top-tier Saracen bike hire, an on-site cafe, bike shop and wash facilities, and coaching.",true
arete-outdoor-centre,Arete Outdoor Centre,https://www.arete.co.uk,,,"Llanrug, Caernarfon",,,North Wales,Surfing,,,,,,,,,,,,Outdoor education centre in Snowdonia.,
bala-adventure-watersports,Bala Adventure & Watersports,https://www.balawatersports.com,hello@balawatersports.com,01678 521615,"Bala Lake Foreshore, Bala, Gwynedd, LL23 7SR",52.909,-3.600,snowdonia,Kayaking,activity_provider,Kayaking|Canoeing|SUP|Sailing,,,,,,,,,,"Offers a wide range of watersports including kayaking, canoeing, and SUP on Bala Lake.",true
bala-watersports,Bala Watersports,https://balawatersports.com,,01678 521059,Bala,52.910,-3.590,Snowdonia,Hire|Surfing,activity_provider,Kayak Hire|SUP Hire,,,,,,,,,,Watersports centre on Llyn Tegid.,true
beddgelert-bikes,Beddgelert Bikes,https://www.beddgelertbikes.co.uk,,01766 890434,Beddgelert,53.010,-4.100,Snowdonia,Hire,activity_provider,Bike Hire|Shop,,,,,,,,,,Bike hire in the heart of Snowdonia.,false
beics-betws,Beics Betws,https://www.beicsbetws.co.uk,,01690 710766,Betws-y-Coed,53.090,-3.800,Snowdonia,Hire,activity_provider,Bike Hire|Shop,,,,,,,,,,Bike hire in Betws-y-Coed.,false
beics-brenin,Beics Brenin,https://www.beicsbrenin.co.uk,,01341 440728,"Coed y Brenin, Dolgellau",52.809,-3.896,North Wales|Snowdonia,Hire|MTB,activity_provider,Bike Hire|Shop,,,,,,,,,,"The trail head bike shop at Coed y Brenin, offering quality bike hire.",false
big-blue-experience,Big Blue Experience,https://www.bigblueexperience.co.uk,,07816 169359,Newgale,51.850,-5.120,Pembrokeshire,Hire,activity_provider,Kitesurf Hire|SUP Hire,,,,,,,,,,Watersports school and hire in Newgale.,true
bike-corris,Bike Corris,https://bikecorris.co.uk,,,Corris,52.641,-3.837,Mid Wales,MTB,activity_provider,Coaching|Guided Rides,,,,,,,,,,Personalised coaching and guiding in the Dyfi Forest.,true
bikepark-wales,BikePark Wales,https://www.bikeparkwales.com,info@bikeparkwales.com,01685 723 750,"Pentrebach, Merthyr Tydfil CF48 4TT",51.717,-3.361,Brecon Beacons,Mountain Biking|Coaching|Bike Hire|Hire|MTB,activity_provider,Mountain Biking|Bike Hire|Uplift Service,Budget-Mid,4.5/5 (1000+),https://www.tripadvisor.co.uk/Attraction_Review-g186428-d3849669,@bikeparkwales,"BikePark Wales is the UK's largest bike park, boasting over 40 expertly designed trails for riders of all abilities.",No,"{""years_in_business"": null, ""certifications"": [], ""awards"": [], ""review_count"": 1000}",https://garbmipansiok1l0.public.blob.vercel-storage.com/operators/bikepark-wales/logo.png,Unleash Your Inner Rider at the UK's Biggest Bike Park.,"BikePark Wales isn't just a bike park; it's a mountain biking mecca nestled in the heart of the Brecon Beacons. These guys have single-handedly redefined the UK's downhill and trail riding scene. They've meticulously crafted over 40 trails catering to all skill levels, from absolute beginners finding their flow to seasoned pros hitting massive features. Forget average, this is adrenaline-fueled, grin-inducing riding at its finest.

What sets BikePark Wales apart isn't just the sheer scale of the operation, it's their commitment to quality and rider experience. They offer expert coaching to help you improve your skills, and a well-stocked bike hire fleet to get you rolling even if you don't have your own rig. This is a professionally run operation with a genuine passion for mountain biking, ensuring every visit is unforgettable.",true
black-mountain-adventure,Black Mountain Adventure,https://www.visitmidwales.co.uk,info@blackmountainadventure.co.uk,01497 000 000,"Three Cocks, Brecon LD3 0SD",52.030,-3.200,Brecon Beacons,Multi-activities: MTB|Caving|SUP|Gorge Walking|Climbing|Coasteering|Kayaking,activity_provider,Rock Climbing|Caving|Gorge Adventure|Canoeing|Kayaking|High Ropes,Mid-Range,4.5/5 (350+),https://www.tripadvisor.co.uk,@blackmountainadv,"Black Mountain Adventure is an award-winning, family-run business that offers uniquely tailored multi-activity adventures in the Brecon Beacons.",No,"{""years_in_business"": null, ""certifications"": [], ""awards"": [""Award-winning operator""], ""review_count"": 350}",https://garbmipansiok1l0.public.blob.vercel-storage.com/operators/black-mountain-adventure/logo.png,Your Brecon Beacons adventure starts here.,"When it comes to adventure in the Brecon Beacons, Black Mountain Adventure is the real deal. We know these guys personally – they're a family-run operation with a passion for the outdoors that's infectious. Forget cookie-cutter experiences; Black Mountain Adventure crafts memorable, hands-on adventures with a personal touch. You're not just a number; you're part of the family (for the day, at least!). They offer everything from adrenaline-pumping mountain biking descents and mysterious caving explorations to serene SUP sessions and exhilarating gorge walking experiences. 

Located in the heart of the Brecon Beacons, they've built a solid reputation for delivering top-notch adventures for all skill levels. The team's local knowledge and unwavering commitment to safety shine through in every activity. And, as an award-winning operator, you can be confident that your adventure with Black Mountain Adventure will exceed your expectations. Expect professional guidance, well-maintained equipment, and memories that will last a lifetime.",true
black-mountains-cycle-centre,Black Mountains Cycle Centre,https://blackmountainscyclecentre.com,,,Abergavenny,51.933,-3.064,South Wales,MTB,activity_provider,Uplift Service,,,,,,,,,,Downhill and freeride centre in the Black Mountains.,true
blue-ocean-activities,Blue Ocean Activities,https://www.blueoceanactivities.co.uk,info@blueoceanactivities.co.uk,,"Cardiff, South Wales",51.480,-3.180,South Wales|Brecon Beacons,Climbing|Surfing,activity_provider,Canyoning|Gorge Walking|Coasteering|Abseiling|Caving|Climbing,,,,,,,,,,"Adventure activities in South Wales, Brecon Beacons, and Cardiff.",true
boulder-adventures,Boulder Adventures,https://boulderadventures.co.uk,info@boulderadventures.co.uk,01286 870556,"Bryn Du Mountain Centre, Ty Du Road, Llanberis, Gwynedd, LL55 4HE",53.118,-4.127,North Wales|Snowdonia,Climbing,activity_provider,Rock Climbing|Mountain Days|Coasteering|Gorge Scrambling|Canyoning,,,,,,,,,,"Adventure activities and accommodation based in Llanberis, at the foot of Snowdon.",true
caersws-dh,Caersws DH,,,,Caersws,52.518,-3.430,Mid Wales,MTB,activity_provider,Uplift Service,,,,,,,,,,Downhill tracks and uplift.,true
call-of-the-wild,Call of the Wild,https://www.callofthewild.co.uk,info@callofthewild.co.uk,01639 700 388,"Ty Anturiaeth, 83 Church Rd, Seven Sisters, Neath, SA10 9DT",51.760,-3.720,South Wales|Brecon Beacons,Climbing,activity_provider,Team Building|Leadership|Canyoning|Caving|Climbing,,,,,,,,,,Leadership training and team building in the Brecon Beacons.,true
campbell-coaching,Campbell Coaching,https://campbellcoaching.eu,,,Afan Forest,51.650,-3.800,South Wales,MTB,activity_provider,Skills Coaching|Women's Specific|Youth Coaching,,,,,,,,,,Professional MTB skills coaching and leadership awards.,true
ciww,Cardiff International White Water,https://www.ciww.com,info@ciww.com,029 2082 9970,Cardiff,51.450,-3.180,South Wales,Hire,activity_provider,SUP Hire|Kayak Hire|Rafting,,,,,,,,,,White water centre with equipment hire.,true
cardiff-international-white-water,Cardiff International White Water,https://www.ciww.com,info@ciww.com,029 2082 9970,"Watkiss Way, Cardiff Bay, CF11 0SY",51.448,-3.183,south-wales,Kayaking,activity_provider,White Water Rafting|Kayaking|SUP,,,,,,,,,,"Premier white water centre offering rafting, kayaking courses, and SUP in Cardiff Bay.",true
cardigan-bay-active,Cardigan Bay Active,https://www.cardiganbayactive.co.uk,,,,,,Mid Wales,Surfing,,,,,,,,,,,,Adventure activities in Cardigan Bay.,
celtic-canoes,Celtic Canoes,https://celticcanoes.co.uk,,01497 820604,Hay-on-Wye,52.070,-3.120,Mid Wales|Wye Valley,Hire,activity_provider,Canoe Hire,,,,,,,,,,Canoe hire specialists on the Wye.,true
climb-snowdon,Climb Snowdon,https://climbsnowdon.co.uk,info@walesoutdoors.co.uk,,Llanberis,53.116,-4.128,North Wales,Walking,activity_provider,Guided Walks|Private Guiding,,,,,,,,,,We’re all about you joining us on one of our open walks to the summit of the UK’s most popular mountain.,true
clyne-farm-centre,Clyne Farm Centre,https://clynefarm.com,hello@clynefarm.com,01792 403333,"Westport Avenue, Mayals, Swansea, SA3 5AR",51.590,-4.010,South Wales|Gower,Climbing,activity_provider,Horse Riding|Assault Course|Climbing|Challenge Valley,,,,,,,,,,"Family run self-catering holiday cottages and adventure activities in Swansea, Gower.",true
coed-y-brenin-nrw,Coed y Brenin (NRW),https://naturalresources.wales,enquiries@naturalresourceswales.gov.uk,0300 065 3000,Dolgellau LL40 2HZ,,,Snowdonia,"Mountain Biking, Walking, Trail Running",,,Budget (parking only),4.5/5 (1200+),https://www.tripadvisor.co.uk/Attraction_Review-g1073364-d1557424,@natreswales,"Coed y Brenin is the UK's first purpose-built mountain biking centre, a title it continues to uphold with exceptional trails and facilities.",No,"{""years_in_business"": null, ""certifications"": [], ""awards"": [], ""review_count"": 1200}",https://garbmipansiok1l0.public.blob.vercel-storage.com/operators/coed-y-brenin-nrw-/logo.png,The original mountain biking mecca of the UK.,"Coed y Brenin, managed by Natural Resources Wales, isn't just a place to ride; it's where mountain biking in the UK found its soul. As the UK's *first* purpose-built mountain biking centre, it has been setting the standard for trail design and rider experience for decades. We're talking about world-class trails carved into the stunning Snowdonia landscape. From flowing singletrack for beginners to challenging black runs that will test even the most seasoned pros, there's something for every level. And it's not just about the bikes. Coed y Brenin also offers fantastic walking and trail running opportunities, making it a haven for outdoor enthusiasts of all kinds.",
compass-holidays,Compass Holidays,https://www.compass-holidays.com,info@compass-holidays.com,01242 250 642,Cheltenham,51.9,-2.0,North Wales|South Wales,Walking,activity_provider,Self-Guided Tours|Cycling Tours|Luggage Transfer,,,,,,,,,,"Creating self-guided walking holidays, cycling tours and activity breaks for over 30 years.",true
contours-walking-holidays,Contours Walking Holidays,https://www.contours.co.uk,info@contours.co.uk,01629 821 900,UK Wide,53.1,-4.0,North Wales|South Wales|Mid Wales,Walking,activity_provider,Self-Guided Tours|Luggage Transfer|Dog Friendly,,,,,,,,,,"Self-guided walking holidays in the UK, with expert advice, daily accommodation and luggage transfers.",true
drover-cycles,Drover Cycles,https://www.drovercycles.co.uk,info@drovercycles.co.uk,01497 822419,Hay-on-Wye,52.040,-3.143,Mid Wales|Brecon Beacons,Hire|MTB,activity_provider,Bike Hire|Guided Rides,,,,,,,,,,Bike hire and guided tours in the Brecon Beacons and Hay-on-Wye.,true
drover-holidays,Drover Holidays,https://www.droverholidays.co.uk,info@droverholidays.co.uk,01497 821134,Hay-on-Wye,52.07,-3.12,Mid Wales,Walking,activity_provider,Self-Guided Tours|Guided Walks|Dog Friendly|Bike Hire,,,,,,,,,,"Walking & Cycling Holidays in Wales, covering the length and breadth of the country.",true
dyfi-bike-park,Dyfi Bike Park,https://www.dyfibikepark.co.uk,,,Machynlleth,52.625,-3.858,Mid Wales,MTB,activity_provider,Uplift Service|Coaching,,,,,,,,,,"Created by the Athertons, offering world-class downhill trails.",true
edge-of-wales-walk,Edge of Wales Walk,https://www.edgeofwaleswalk.co.uk,enquiries@edgeofwaleswalk.co.uk,01758 760652,Aberdaron,52.80,-4.71,North Wales,Walking,activity_provider,Self-Guided Tours|Luggage Transfer|Multi-day Tours,,,,,,,,,,Discover the spectacular scenery of the Llŷn Peninsula coast path with walking holiday packages.,true
elan-valley-lodge,Elan Valley Lodge,,,,Rhayader,52.283,-3.550,Mid Wales,MTB,activity_provider,Multi-day Tours,,,,,,,,,,Accommodation and guided riding packages.,true
evolution-bikes,Evolution Bikes,https://www.evolution-bikes.co.uk,,01248 355770,Bangor,53.220,-4.120,North Wales,Hire,activity_provider,Bike Hire|Shop,,,,,,,,,,Bike shop and hire in Bangor.,false
expedition-guide,Expedition Guide,https://www.expeditionguide.com,rob@expeditionguide.com,,"Llanberis, North Wales",53.120,-4.120,North Wales|Snowdonia,Climbing,activity_provider,Scrambling|Rock Climbing|Mountain Navigation|Winter Courses|Alpine Trekking,,,,,,,,,,"Mountaineering instruction and courses in Snowdonia, North Wales, led by Rob Johnson.",true
forest-freeride,Forest Freeride,,,,Denbigh,53.0,-3.5,North Wales,MTB,activity_provider,Uplift Service,,,,,,,,,,Uplift in North Wales.,true
funsport-rhosneigr,Funsport Rhosneigr,https://www.funsportonline.co.uk,info@funsportonline.co.uk,01407 810 899,"Rhosneigr, Anglesey",53.255,-4.5363,Anglesey,Kitesurfing|Windsurfing|Lessons|Hire|Coasteering,activity_provider,kitesurfing|windsurfing,Mid-Range,4.5/5 (400+),https://www.tripadvisor.co.uk,@funsportrhosneigr,Funsport Rhosneigr provides expert tuition and equipment as Rhosneigr's premier watersports specialist.,No,"{""years_in_business"": 29, ""certifications"": [], ""awards"": [], ""review_count"": 400}",https://garbmipansiok1l0.public.blob.vercel-storage.com/operators/funsport-rhosneigr/logo.png,"Your Rhosneigr gateway to wind, waves, and watersports.","If you're heading to Anglesey for watersports, you *need* to know Funsport Rhosneigr. These guys are the real deal, a fixture on the Rhosneigr scene since 1995. That's over two decades of getting people out on the water and sharing their passion for kitesurfing, windsurfing, wing-foiling, and more. They're not just a shop; they're a community hub, offering expert tuition, top-quality gear, and the kind of local knowledge that can make or break your session.

Funsport Rhosneigr lives and breathes watersports. Whether you're a seasoned pro or a complete beginner, their experienced and enthusiastic team will get you sorted. From rentals to lessons, they cover all the bases for kitesurfing, windsurfing, stand-up paddleboarding, and surfing. Plus, with a solid 4.5-star Google rating based on hundreds of reviews, you know you're in good hands. They're more than just a business; they're dedicated to making watersports accessible, enjoyable, and unforgettable for everyone.",true
gaynor-lee-coaching,Gaynor Lee Coaching,,,,Snowdonia,53.0,-3.9,North Wales,MTB,activity_provider,Skills Coaching|Women's Specific,,,,,,,,,,Female specific coaching and guiding.,false
