slug,name,region,lat,lon,parking_lat,parking_lon,parking_cost,beach_type,length_m,facilities,blue_flag,lifeguards,lifeguard_season,dog_rules,water_sports,rock_pools,family_friendly,best_season,hazards,quality_score,tier,tags_audience,tags_features,tags_conditions,description,source_urls,best_for
broughton-bay,Broughton Bay,gower,51.6150,-4.2800,51.6130,-4.2750,free,sand,800,none,false,false,none,allowed,"fishing,walking",true,2,summer,"strong-currents,tides",6,B,"dog-walkers,explorers,fishermen,remote,walkers","caravans-nearby,dangerous-swimming,parking-free,tide-pools",tide-dependent,"A north Gower beach facing the Loughor estuary. Not for swimming due to powerful currents and tides. Backed by a caravan park but feels wild. Famous for the ""Blue Pool"", a natural rock pool accessible at low tide (careful of tides). Great for beachcombing and solitude.",thegower.com,"Best for dog walkers, explorers, fishermen, remote, walkers."
whiteford-sands,Whiteford Sands,gower,51.6250,-4.2500,51.6180,-4.2600,free,sand,3000,none,false,false,none,allowed,"walking,nature-watching",false,2,all-year,"sinking-sand,isolation,tides",7,B,"dog-friendly,nature-lovers,walkers","estuary,forest-walk,lighthouse,parking-free,wild","quiet,tide-dependent","A hauntingly beautiful expanse of sand leading to the rusting cast-iron Whiteford Lighthouse. Accessed via a walk through Whiteford Burrows pine forest and nature reserve. Remote, quiet, and atmospheric. Not a swimming beach. Watch out for sinking sand/mud on the estuary side.",nationaltrust.org.uk,"Best for dog friendly, nature lovers, walkers."
pwll-du-bay,Pwll Du Bay,gower,51.5650,-4.0600,51.5750,-4.0550,none,pebble,300,none,false,false,none,allowed,"walking,swimming",false,2,summer,"rocks,isolation",6,C,"adventurers,dog-walkers,secluded,walkers","hike-access,historic,pebbles,sheltered",quiet,"One of the most remote beaches on Gower, accessible only by foot (closest parking Bishopston or Southgate). A large shingle bank backs the beach. A former smuggling cove with a few cottages. Very sheltered and quiet. The sea gets deep quickly. A true hideaway.",visitswanseabay.com,"Best for adventurers, dog walkers, secluded, walkers."
mewslade-bay,Mewslade Bay,gower,51.5600,-4.2800,51.5650,-4.2750,£3,sand,400,none,false,false,none,allowed,"walking,climbing",true,3,summer,"rocks,tides,access-scramble",8,B,"climbers,dog-walkers,geologists,walkers","parking-paid,scenic,scramble,spectacular-cliffs,tide-dependent","crowds-high,tide-dependent",A dramatic bay surrounded by jagged limestone cliffs. The beach almost disappears at high tide. Accessed via a pleasant valley walk from Pitton. Popular with climbers and geologists. The scenery is rugged and spectacular. Check tide tables before visiting.,goweros.com,"Best for climbers, dog walkers, geologists, walkers."
fall-bay,Fall Bay,gower,51.5580,-4.2850,51.5650,-4.2750,none,sand,200,none,false,false,none,allowed,"walking,climbing",true,2,summer,"rocks,tides,remote",6,C,"climbers,dog-walkers,secluded,walkers","hard-to-find,no-crowds,rocky",tide-dependent,"A tiny, hard-to-reach cove just round the corner from Mewslade and the Worms Head causeway. Often completely empty. No parking nearby; you must walk from Rhossili or Pitton. A wild, rocky spot for those who want to escape everyone else.",thegower.com,"Best for climbers, dog walkers, secluded, walkers."
bracelet-bay,Bracelet Bay,gower,51.5660,-3.9780,51.5670,-3.9780,paid,pebble,200,"toilets,cafe,restaurant,bar",true,true,May-Sep,seasonal-ban-May-Sep,"rock-pooling,swimming",true,4,all-year,rocks,7,B,"families,foodies,rock-poolers","amenities,cafe,lighthouse-views,parking-onsite,parking-paid,rocky,toilets",rocky,"Just around Mumbles Head. Famous for its rock pools and views of the lighthouse. Not a sandy sunbathing beach (mostly pebble/rock), but great for kids exploring. Home to Castellamare restaurant/cafe with great views. Convenient parking right above the beach.",swansea.gov.uk,"Best for families, foodies, rock poolers."
limeslade-bay,Limeslade Bay,gower,51.5670,-3.9850,51.5670,-3.9850,none,mixed,100,"toilets,cafe",false,true,peak,seasonal-ban-May-Sep,"walking,rock-pooling",true,3,summer,rocks,5,C,"locals,small,walkers","cafe,coastal-path,ice-cream,rocky,toilets","crowds-high,tide-dependent","A tiny cove next to Bracelet Bay. More of a rocky inlet than a beach. Popular starting point for the coastal path walk to Langland. Has an ice cream parlour. Good for a quick stop or rock pooling, but vanishes at high tide.",swansea.gov.uk,"Best for locals, small, walkers."
rotherslade-bay,Rotherslade Bay,gower,51.5680,-4.0100,51.5685,-4.0142,none,sand,150,cafe,false,false,none,seasonal-ban-May-Sep,"swimming,relaxing",true,4,summer,steps,7,B,"families,locals","cafe,scenic,sheltered,steps-access,terraces",tide-dependent,"Naturally connected to Langland at low tide (the ""Little Langland""). Famous for its concrete terraces (recently landscaped). Sheltered and sunny. No parking of its own; park at Langland and walk round. Great cafe (Surfside) tucked in the corner.",visitswanseabay.com,"Best for families, locals."
hunts-bay,Hunts Bay,gower,51.5650,-4.0850,51.5732,-4.0950,none,mixed,300,none,false,false,none,allowed,"walking,solitude",true,2,summer,"rocks,currents",5,C,"dog-walkers,loners,walkers,wild","no-facilities,pebbly,remote",quiet,"A pebbly/sandy cove west of Pwll Du. Deep valley behind it. Very quiet because of the walk required to reach it. Not a swimming beach due to currents and rocks, but a lovely wild spot for a picnic away from the masses.",thegower.com,"Best for dog walkers, loners, walkers, wild."
blue-pool-bay,Blue Pool Bay,gower,51.6180,-4.2850,51.6130,-4.2750,none,sand,200,none,false,false,none,allowed,"jumping (caution),exploring",true,3,summer,"tides,cliffs,deep-water",7,B,"adventurers,dog-walkers,instagrammers,teens","cliff-jump,natural-pool,tide-dependent,wild",tide-dependent,"Named after a deep natural rock pool (Blue Pool) said to be bottomless (it's not, but it is deep). Located near Broughton Bay. Can be dangerous to swim in the sea here, but the pool is a magnet for cliff jumpers (extreme caution advised). Access is tricky.",thegower.com,"Best for adventurers, dog walkers, instagrammers, teens."
