Service Type,Name/Route,Region Covered,Stops/Locations,Frequency,Season,Cost (£),Website,Notes
Bus,X1 (Wrexham-Llandudno),North Wales,"Wrexham, Llandudno, Colwyn Bay",Frequent,Year-round,2-8,https://www.arrivabus.co.uk,North coast east-west
Bus,Puffin Shuttle (400),Pembrokeshire,"St Davids, Newgale, Broad Haven, Marloes",3x daily (summer),May-September,2-5,https://www.pembrokeshire.gov.uk,Coastal bus for walkers
Bus,Strumble Shuttle (404),Pembrokeshire,"Newport, Fishguard, St Davids",3x daily (summer),May-September,2-5,https://www.pembrokeshire.gov.uk,North Pembrokeshire coast
Bus,Poppit Rocket (405),Pembrokeshire,"Cardigan, St Dogmaels, Newport, Fishguard",3x daily (summer),May-September,2-5,https://www.pembrokeshire.gov.uk,North coast path access
Bus,Coastal Cruiser (387/388),Pembrokeshire,"Pembroke, Stackpole, Freshwater West",3x daily (summer),May-September,2-5,https://www.pembrokeshire.gov.uk,South coast access
Bus,Celtic Coaster (403),Pembrokeshire,St Davids Peninsula circular,Every 30 min (summer),May-September,2-5,https://www.pembrokeshire.gov.uk,St Davids area
Bus,Fflecsi (on-demand),Pembrokeshire,Various,On-demand,Year-round,2-5,https://www.fflecsi.wales,Book via app or phone
Bus,349 (Tenby-Pembroke),Pembrokeshire,"Tenby, Pembroke",Regular,Year-round,2-5,https://www.transportforwales.co.uk,Coastal towns connection
Bus,351 (Tenby-Amroth),Pembrokeshire,"Tenby, Saundersfoot, Amroth",Regular,Year-round,2-5,https://www.transportforwales.co.uk,South coast path
Bus,315 (Haverfordwest-Marloes),Pembrokeshire,"Haverfordwest, Dale, Marloes",Regular,Year-round,2-5,https://www.pembrokeshire.gov.uk,Milford Haven waterway
Bus,T4 (TrawsCymru),South/Mid Wales,"Cardiff, Merthyr, Brecon, Llandrindod",Hourly,Year-round,Free-8,https://www.trawscymru.info,Cross-Wales route
Bus,T6 (TrawsCymru),South Wales,"Swansea, Brecon, Hay-on-Wye",Hourly,Year-round,Free-8,https://www.trawscymru.info,Swansea to Brecon
Bus,X43 (Brecon-Abergavenny),South Wales,"Brecon, Abergavenny",Regular,Year-round,2-8,https://www.stagecoachbus.com,East Beacons access
Bus,Taff Trail Bus,South Wales,"Brecon, Merthyr (key points)",Limited,Summer mainly,2-5,https://www.breconbeacons.org,For Taff Trail users
Bus,42 (Bangor-Holyhead),Anglesey,"Bangor, Llanfairpwll, Rhosneigr, Holyhead",Hourly,Year-round,2-5,https://www.arrivabus.co.uk,Cross-Anglesey route
Bus,4 (Llangefni-Rhosneigr),Anglesey,"Llangefni, Rhosneigr",Regular,Year-round,2-5,https://www.arrivabus.co.uk,To Rhosneigr beaches
Bus,X4 (Holyhead-Llandudno),Anglesey/North Wales,"Holyhead, Bangor, Llandudno",Regular,Year-round,2-8,https://www.arrivabus.co.uk,Coastal route
Bus,114 (Swansea-Rhossili),Gower,"Swansea, Rhossili",Regular (summer),Year-round (reduced),2-5,https://www.swansea.gov.uk,To Rhossili Bay
Bus,115 (Swansea-Llangennith),Gower,"Swansea, Llangennith",Regular (summer),Year-round (reduced),2-5,https://www.swansea.gov.uk,To Llangennith surfing beach
Bus,118 (Swansea-Port Eynon),Gower,"Swansea, Port Eynon",Regular (summer),Year-round (reduced),2-5,https://www.swansea.gov.uk,South Gower coast
Bus,119 (Swansea-Oxwich),Gower,"Swansea, Oxwich",Regular (summer),Year-round (reduced),2-5,https://www.swansea.gov.uk,To Oxwich Bay
Bus,X50 (Wrexham-Denbigh-Rhyl),Mid/North Wales,"Wrexham, Llandegla, Denbigh, Rhyl",Regular,Year-round,2-8,https://www.arrivabus.co.uk,Passes Llandegla forest
Bus,T12 (TrawsCymru),Mid Wales,"Machynlleth, Newtown, Brecon",Hourly,Year-round,Free-8,https://www.trawscymru.info,Cross-Wales
Bike Rental,Beics Brenin (Coed y Brenin),Snowdonia,Coed y Brenin Visitor Centre,Daily,Year-round,35-110,https://www.beicsbrenin.co.uk,Full range MTB hire
Bike Rental,One Planet Adventure,North Wales,Llandegla Forest,Daily,Year-round,35-80,https://www.oneplanetadventure.co.uk,"MTB hire, trail centre"
Bike Rental,Antur Stiniog,Snowdonia,Blaenau Ffestiniog,Daily,Year-round,75 (+damage waiver),https://www.anturstiniog.com,Downhill bike hire
Bike Rental,BikePark Wales Hire,Brecon Beacons,BikePark Wales,Daily,Year-round,90-110,https://www.bikeparkwales.com,Enduro and DH bikes
Bike Rental,TYF Bike Hire,Pembrokeshire,St Davids,Daily,Mar-Oct,25-50,https://www.tyf.com,"Beach bikes, hybrids"
Gear Rental,Funsport Rhosneigr,Anglesey,Rhosneigr,Daily,Year-round,20-100,https://www.funsportonline.co.uk,"Kitesurf, windsurf, wetsuits"
Gear Rental,Gecko Surf,Anglesey,Rhosneigr,Daily,Year-round,20-80,https://www.geckosurf.co.uk,"Surf, kitesurf hire"
Gear Rental,TYF Adventure,Pembrokeshire,St Davids,Daily,Mar-Oct,15-50,https://www.tyf.com,"Wetsuits, kayaks, surfboards"
Gear Rental,Preseli Venture,Pembrokeshire,Mathry,Daily,Mar-Oct,15-50,https://www.preseliventure.co.uk,Activity equipment
Gear Rental,Plas y Brenin,Snowdonia,Capel Curig,Daily,Year-round,20-60,https://pyb.co.uk,"Climbing, paddling gear"
Shuttle,Snowdon Sherpa,Snowdonia,"Pen-y-Pass, Llanberis, Rhyd Ddu",Frequent,Year-round,2-5,https://www.snowdonia.gov.wales,Park & ride to mountain
Shuttle,BikePark Wales Shuttle,Brecon Beacons,BikePark Wales uplift,Continuous,Year-round,Included in pass,https://www.bikeparkwales.com,Uplift service
Shuttle,Antur Stiniog Uplift,Snowdonia,Antur Stiniog,Continuous,Year-round,35-45,https://www.anturstiniog.com,Best UK uplift service
Shuttle,Llandegla Shuttle,North Wales,Llandegla (limited),Limited,Summer,Free-5,https://www.oneplanetadventure.co.uk,Some uplift available
Shuttle,Coastal Bus Shuttles,Pembrokeshire,Various coastal points,Scheduled,May-September,2-5,https://www.pembrokeshire.gov.uk,For coast path walkers
