Activity Name,Type,Operator,Region,Location/Meeting Point,Price Range (£),Duration,Difficulty,Season,Min Age,Booking URL,Source URL
Sailing,Sailing,Plas Menai,Anglesey,Menai Strait,150-500,1-5 days,All Levels,Apr-Oct,8,https://www.plasmenai.co.uk,https://www.plasmenai.co.uk
Powerboating,Powerboating,Plas Menai,Anglesey,Menai Strait,150-400,1-3 days,All Levels,Apr-Oct,16,https://www.plasmenai.co.uk,https://www.plasmenai.co.uk
RIB Boat Ride,Boat Tour,Plas Menai,Anglesey,Menai Strait,35-55,1-2 hours,Family,Apr-Oct,All,https://www.plasmenai.co.uk,https://www.plasmenai.co.uk
Coasteering,Coasteering,Gower Activity Centres,Gower,Rhossili/Port Eynon,55-85,Half-Full day,All Levels,Mar-Oct,8,https://www.goweractivitycentres.co.uk,https://www.nationalcoasteeringcharter.org.uk
Coasteering,Coasteering,Rip N Rock,Gower,Gower Peninsula,55-85,Half-Full day,All Levels,Mar-Oct,8,https://www.ripnrock.co.uk,https://www.nationalcoasteeringcharter.org.uk
Surfing,Surfing,Rip N Rock,Gower,Llangennith/Rhossili,45-75,Half day,Beginner,Year-round,8,https://www.ripnrock.co.uk,https://www.nationalcoasteeringcharter.org.uk
Rock Climbing,Climbing,Rip N Rock,Gower,Gower coast,55-85,Half day,All Levels,Mar-Oct,8,https://www.ripnrock.co.uk,https://www.nationalcoasteeringcharter.org.uk
Surfing,Surfing,Llangennith Surf School,Gower,Llangennith Beach,40-65,Half day,Beginner,Year-round,8,https://www.llangennithsurf.co.uk,https://www.visitwales.com
Coasteering,Coasteering,Quest Adventure,Gower,Swansea/Gower,50-75,Half day,All Levels,Mar-Oct,8,https://www.questadventure.co.uk,https://www.nationalcoasteeringcharter.org.uk
Surfing,Surfing,Oxwich Watersports,Gower,Oxwich Bay,45-65,Half day,Beginner,Year-round,8,https://www.oxwichwatersports.co.uk,https://www.nationalcoasteeringcharter.org.uk
SUP Boarding,SUP,Oxwich Watersports,Gower,Oxwich Bay,35-55,2 hours,All Levels,Apr-Oct,8,https://www.oxwichwatersports.co.uk,https://www.nationalcoasteeringcharter.org.uk
Mountain Biking,Mountain Biking,Coed y Brenin,Mid Wales,Dolgellau,Free (parking),1-4 hours,All Levels,Year-round,All,https://www.beicsbrenin.co.uk,https://naturalresources.wales
Trail Running,Trail Running,Coed y Brenin,Mid Wales,Dolgellau,Free (parking),1-3 hours,All Levels,Year-round,All,https://www.beicsbrenin.co.uk,https://naturalresources.wales
Mountain Biking,Mountain Biking,Llandegla Oneplanet,Mid Wales,Llandegla,Free (parking £4.50),1-4 hours,All Levels,Year-round,All,https://www.oneplanetadventure.co.uk,https://www.alwaysonthego.co.uk
Bike Hire,Bike Hire,Llandegla Oneplanet,Mid Wales,Llandegla,35-80,Full day,All Levels,Year-round,All,https://www.oneplanetadventure.co.uk,https://www.mtb-rider.net
Surfing,Surfing,AberAdventures,Mid Wales,Borth/Ynyslas,40-65,Half day,Beginner,Year-round,8,https://www.aberadventures.co.uk,https://www.visitmidwales.co.uk
Paddle Boarding,SUP,AberAdventures,Mid Wales,Borth/Llyn Pendam,35-55,2 hours,All Levels,Apr-Oct,8,https://www.aberadventures.co.uk,https://www.visitmidwales.co.uk
Kayaking,Kayaking,AberAdventures,Mid Wales,Borth area,40-65,Half day,All Levels,Apr-Oct,8,https://www.aberadventures.co.uk,https://www.visitmidwales.co.uk
SUP,SUP,Meadow Springs,Mid Wales,Trefeglwys,35-50,2 hours,All Levels,Apr-Oct,8,https://www.visitmidwales.co.uk,https://www.visitmidwales.co.uk
Surfing,Surfing,Hell's Mouth Surf School,Llŷn Peninsula,Porth Neigwl (Hell's Mouth),40-65,Half day,Intermediate/Advanced,Year-round,12,https://www.hellsmouthsurfschool.co.uk,https://www.visitwales.com
Surfing,Surfing,Porth Neigwl Surf School,Llŷn Peninsula,Porth Neigwl,40-65,Half day,All Levels,Year-round,8,https://www.porthneigwlsurf.co.uk,https://www.visitwales.com
Sea Kayaking,Sea Kayaking,Llŷn Adventures,Llŷn Peninsula,Abersoch/Pwllheli,55-85,Half-Full day,All Levels,Mar-Oct,8,https://www.llynadventures.co.uk,https://www.visitwales.com
Coasteering,Coasteering,Llŷn Adventures,Llŷn Peninsula,Abersoch area,55-85,Half day,All Levels,Mar-Oct,8,https://www.llynadventures.co.uk,https://www.visitwales.com
Stand Up Paddleboarding,SUP,Llŷn Adventures,Llŷn Peninsula,Abersoch,45-65,2-3 hours,All Levels,Apr-Oct,8,https://www.llynadventures.co.uk,https://www.visitwales.com
Sailing,Sailing,Abersoch Sailing School,Llŷn Peninsula,Abersoch,150-400,1-5 days,All Levels,Apr-Oct,8,https://www.abersochsailingschool.co.uk,https://www.visitwales.com
Jet Skiing,Jet Ski,Abersoch Watersports,Llŷn Peninsula,Abersoch,60-120,1-2 hours,Intermediate,Apr-Oct,16,https://www.abersochwatersports.co.uk,https://www.visitwales.com
Powerboat Tours,Boat Tour,Abersoch Watersports,Llŷn Peninsula,Abersoch,45-85,1-2 hours,Family,Apr-Oct,All,https://www.abersochwatersports.co.uk,https://www.visitwales.com
