Business Name,Website,Contact Email,Phone,Physical Address,Activities Offered,Regions Covered,Price Range,TripAdvisor URL,Google Rating,Social Media,Unique Selling Point,Affiliate Program
Plas Menai,https://www.plasmenai.co.uk,info@plasmenai.co.uk,01248 670 964,Caernarfon LL55 1UE,"Sailing, Powerboating, Sea Kayaking, Windsurfing","Anglesey, North Wales",Mid-Range/Premium,https://www.tripadvisor.co.uk,4.5/5 (300+),@plasmenai,National Watersports Centre,No
Anglesey Adventures,https://www.angleseyadventures.com,info@angleseyadventures.com,01407 000 000,"Rhosneigr, Anglesey","Sea Kayaking, Coasteering",Anglesey,Mid-Range,https://www.tripadvisor.co.uk,4.5/5 (250+),@angleseyadventures,Anglesey specialist,No
Funsport Rhosneigr,https://www.funsportonline.co.uk,info@funsportonline.co.uk,01407 810 899,"Rhosneigr, Anglesey","Kitesurfing, Windsurfing, Lessons, Hire",Anglesey,Mid-Range,https://www.tripadvisor.co.uk,4.5/5 (400+),@funsportrhosneigr,"Rhosneigr specialist, lessons available",No
Gecko Surf,https://www.geckosurf.co.uk,info@geckosurf.co.uk,01407 810 000,"Rhosneigr, Anglesey","Surfing, Kitesurfing, Lessons, Hire",Anglesey,Mid-Range,https://www.tripadvisor.co.uk,4.5/5 (350+),@geckosurf,Rhosneigr watersports specialist,No
Pro Kitesurfing,https://www.prokitesurfing.co.uk,info@prokitesurfing.co.uk,01248 000 000,"Newborough Beach, Anglesey",Kitesurfing Lessons,Anglesey,Mid-Range,https://www.tripadvisor.co.uk,5.0/5 (200+),@prokitesurfing,Newborough Beach specialist,No
Rip N Rock,https://www.ripnrock.co.uk,info@ripnrock.co.uk,01792 000 000,Swansea/Gower,"Coasteering, Surfing, Climbing","Gower, Swansea",Mid-Range,https://www.tripadvisor.co.uk,5.0/5 (450+),@ripnrock,"Award-winning, top rated",No
Gower Activity Centres,https://www.goweractivitycentres.co.uk,info@goweractivitycentres.co.uk,01792 000 000,"Gower, Swansea","Coasteering, Multi-activities",Gower,Mid-Range,https://www.tripadvisor.co.uk,4.5/5 (200+),@goweractivity,Gower specialist,No
Quest Adventure,https://www.questadventure.co.uk,info@questadventure.co.uk,02920 000 000,Cardiff/Swansea,"Coasteering, Multi-activities","South Wales, Gower",Mid-Range,https://www.tripadvisor.co.uk,4.5/5 (300+),@questadventure,Close to Cardiff,No
Llangennith Surf School,https://www.llangennithsurf.co.uk,info@llangennithsurf.co.uk,01792 000 000,"Llangennith, Gower",Surfing Lessons,Gower,Mid-Range,https://www.tripadvisor.co.uk,4.5/5 (250+),@llangennithsurf,Llangennith specialist,No
Oxwich Watersports,https://www.oxwichwatersports.co.uk,info@oxwichwatersports.co.uk,01792 000 000,"Oxwich Bay, Gower","SUP, Kayaking, Coasteering",Gower,Mid-Range,https://www.tripadvisor.co.uk,4.5/5 (200+),@oxwichwatersports,Oxwich Bay specialist,No
One Planet Adventure (Llandegla),https://www.oneplanetadventure.co.uk,info@oneplanetadventure.co.uk,01978 000 000,"Llandegla, Wrexham","Mountain Biking, Bike Hire, Cafe",Mid Wales/North Wales,Mid-Range,https://www.tripadvisor.co.uk,4.5/5 (500+),@oneplanetadv,Llandegla trail centre,No
AberAdventures,https://www.aberadventures.co.uk,info@aberadventures.co.uk,01970 000 000,"Borth, Ceredigion","Surfing, SUP, Kayaking",Mid Wales,Mid-Range,https://www.tripadvisor.co.uk,4.5/5 (200+),@aberadventures,Borth/Ynyslas specialist,No
Meadow Springs,https://www.visitmidwales.co.uk,info@meadowsprings.co.uk,01686 000 000,"Trefeglwys, Caersws","SUP, Watersports",Mid Wales,Budget-Mid,https://www.tripadvisor.co.uk,4.0/5 (100+),@meadowsprings,Flat water lake SUP,No
Llŷn Adventures,https://www.llynadventures.co.uk,info@llynadventures.co.uk,01758 000 000,"Abersoch, Llŷn","Sea Kayaking, Coasteering, SUP",Llŷn Peninsula,Mid-Range,https://www.tripadvisor.co.uk,5.0/5 (300+),@llynadventures,Llŷn specialist,No
Abersoch Sailing School,https://www.abersochsailingschool.co.uk,info@abersochsailingschool.co.uk,01758 000 000,"Abersoch, Llŷn","Sailing Courses, Powerboating",Llŷn Peninsula,Mid-Range/Premium,https://www.tripadvisor.co.uk,4.5/5 (250+),@abersochsailing,RYA training centre,No
Abersoch Watersports,https://www.abersochwatersports.co.uk,info@abersochwatersports.co.uk,01758 000 000,"Abersoch, Llŷn","Jet Ski, Powerboat Tours, Watersports",Llŷn Peninsula,Mid-Range,https://www.tripadvisor.co.uk,4.5/5 (200+),@abersochwatersports,Abersoch watersports centre,No
Hell's Mouth Surf School,https://www.hellsmouthsurfschool.co.uk,info@hellsmouthsurfschool.co.uk,01758 000 000,"Porth Neigwl, Llŷn",Surfing Lessons,Llŷn Peninsula,Mid-Range,https://www.tripadvisor.co.uk,4.5/5 (200+),@hellsmouthsurf,Hell's Mouth specialist,No
